"Awards
    b",In current payment status,"Terminations
    c",Time period,"Numberof 
     appli-cations a",Number,Increaseover priorperiod,"Percentof 
    appli-cations",Numberat endof period,Increaseover priorperiod.1,Number.1,Increaseover priorperiod.2,Termi-nationrate
2016 Q1,578655.0,185123.0,-0.99%,31.99%,8888588.0,-0.23%,203524.0,2.53%,2.23%,,,
2016 Q2,598009.0,196205.0,5.99%,32.81%,8872165.0,-0.18%,206988.0,1.70%,2.27%,,,
2016 Q3,627794.0,190045.0,-3.14%,30.27%,8841345.0,-0.35%,216542.0,4.62%,2.38%,,,
2016 Q4,517125.0,172895.0,-9.02%,33.43%,8808736.0,-0.37%,202990.0,-6.26%,2.24%,,,
,,,,,,,,,,,,
—by month—,,,,,,,,,,,,
2015 Dec,163844.0,60991.0,8.29%,37.23%,8909430.0,-0.07%,66607.0,5.55%,0.73%,,,
2016 Jan,211118.0,63041.0,3.36%,29.86%,8899047.0,-0.12%,72491.0,8.83%,0.80%,,,
2016 Feb,181752.0,64259.0,1.93%,35.36%,8896604.0,-0.03%,65663.0,-9.42%,0.72%,,,
2016 Mar,185785.0,57823.0,-10.02%,31.12%,8888588.0,-0.09%,65370.0,-0.45%,0.72%,,,
2016 Apr,235612.0,71648.0,23.91%,30.41%,8887654.0,-0.01%,70380.0,7.66%,0.78%,,,
2016 May,187647.0,65310.0,-8.85%,34.80%,8883832.0,-0.04%,68026.0,-3.34%,0.75%,,,
2016 Jun,174750.0,59247.0,-9.28%,33.90%,8872165.0,-0.13%,68582.0,0.82%,0.76%,,,
2016 Jul,220353.0,62339.0,5.22%,28.29%,8860637.0,-0.13%,72730.0,6.05%,0.80%,,,
2016 Aug,186226.0,66305.0,6.36%,35.60%,8850860.0,-0.11%,73910.0,1.62%,0.82%,,,
2016 Sep,221215.0,61401.0,-7.40%,27.76%,8841345.0,-0.11%,69902.0,-5.42%,0.77%,,,
2016 Oct,168393.0,65121.0,6.06%,38.67%,8833909.0,-0.08%,71645.0,2.49%,0.79%,,,
2016 Nov,155329.0,50275.0,-22.80%,32.37%,8821435.0,-0.14%,62884.0,-12.23%,0.70%,,,
2016 Dec,193403.0,57499.0,14.37%,29.73%,8808736.0,-0.14%,68461.0,8.87%,0.76%,,,
2017 Jan,167168.0,69910.0,21.58%,41.82%,8795964.0,-0.14%,80314.0,17.31%,0.89%,,,
2017 Feb,170806.0,57982.0,-17.06%,33.95%,8787797.0,-0.09%,67487.0,-15.97%,0.75%,,,
"a  The number of applications is for disabled-worker benefits only and,  as such, excludes disabled child's and disabled widow(er)'s benefits.  These applications are those received at Social Security field offices,  teleservice centers, and claims filed electronically on the internet.  Applications ultimately result in either a denial or award of  benefits. These counts include applications that are denied because the individual is not insured for  disability benefits.  Because the application data are tabulated on a weekly basis,  some months include 5 weeks of data while others include only 4 weeks.  This weekly method of tabulation accounts for much of the month-to-month  variation in the monthly application data. This method also  occasionally causes quarterly data to have either 12 or 14 weeks of data  instead of 13 weeks, annual data may include an extra week of data.  b  Award data are unedited and may contain duplicates.  Awards as a percentage of applications is a crude allowance rate. This  rate expresses the number of awards in a given time period as a percentage  of the number of applications in the same time period. Some of the awards  in any time period, however, resulted from applications in previous time  period(s).  c  The number of terminations is the number of beneficiaries who leave  the disability rolls for any reason. The number is calculated on the  basis of the change in the total number of entitled beneficiaries  (those in current payment status plus those whose benefits are  withheld for any reason) and the number of awards. The termination  rate is the ratio of the terminations to the number  of beneficiaries who could potentially leave the rolls. This latter  number is approximated as the sum of the number entitled at the beginning  of the time period plus half the number of awards in that period.",,,,,,,,,,,,
