,Â,Persons (thousands),Person  trips (thousands),Person-miles (millions),Personal-use  vehicle trips (thousands),Personal-use vehicle-miles (millions),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
35,Household  type,277208,100.0,2617126,100.0,1360813,100.0,2336094,100.0,760325,100.0
36,"One  adult, no children",13743,5.0,139195,5.3,84619,6.2,119661,5.1,38003,5.0
37,"One  adult, youngest child 0-5",5736,2.1,25736,1.0,15239,1.1,21777,0.9,6528,0.9
38,"One  adult, youngest child 6-15",8242,3.0,70325,2.7,31689,2.3,63413,2.7,18918,2.5
39,"One  adult, youngest child 16-21",2614,0.9,22080,0.8,7677,0.6,18741,0.8,4967,0.7
40,"One  adult, retired, no children",8750,3.2,42932,1.6,23648,1.7,36142,1.5,11325,1.5
41,"Two  or more adults, no children",50160,18.1,620148,23.7,355433,26.1,542463,23.2,175694,23.1
42,"Two  or more adults, youngest child 0-5",69688,25.1,593106,22.7,291117,21.4,536070,22.9,172395,22.7
43,"Two  or more adults, youngest child 6-15",64237,23.2,590787,22.6,292422,21.5,530746,22.7,167498,22.0
44,"Two  or more adults, youngest child 16-21",18741,6.8,205093,7.8,101686,7.5,182859,7.8,57110,7.5
45,"Two  or more adults, retired, no children",35297,12.7,307725,11.8,157284,11.6,284221,12.2,107887,14.2
46,"Educational attainment, total (Persons 16 years and over)",208479,100.0,2173473,100.0,1144890,100.0,1940042,100.0,624049,100.0
47,Less  than high school graduate,30601,14.7,183801,8.5,84797,7.4,162768,8.4,49856,8.0
48,High  school graduate,63428,30.4,585117,26.9,225637,19.7,554002,28.6,168467,27.0
49,"Some  college, no degree",43377,20.8,458953,21.1,211462,18.5,423517,21.8,137884,22.1
50,Associate's  degree,13570,6.5,162145,7.5,80413,7.0,146649,7.6,46528,7.5
51,Bachelor's  degree,33063,15.9,437767,20.1,285168,24.9,369402,19.0,126532,20.3
52,Some  grad school or grad degree,23237,11.1,339237,15.6,253592,22.1,278227,14.3,93484,15.0
53,Not  reported,1202,0.6,6453,0.3,3822,0.3,5477,0.3,1299,0.2
54,"Activity status, total (Persons 16 years and over)",208479,100.0,2173473,100.0,1144890,100.0,1940042,100.0,624049,100.0
55,Working  full time,115428,55.4,1426531,65.6,716671,62.6,1275103,65.7,382355,61.3
56,Retired,35611,17.1,254291,11.7,137388,12.0,230254,11.9,85957,13.8
57,Other,57098,27.4,491046,22.6,289717,25.3,433191,22.3,155015,24.8
58,Not  reported,342,0.2,1605,0.1,1115,0.1,1495,0.1,722,0.1
