,Table of Contents,File Formats,Unnamed: 2,Unnamed: 3,Unnamed: 4
91,"2-16 - Airline Passenger Screening Results by Type of Weapons Detected, Persons Arrested, and Bomb Threats Received",Â,HTML  (36KB),Excel  (19KB),CSV  (19KB)
92,Section C. Highway,Â,Â,Â,Â
93,2-17 - Motor Vehicle Safety Data,Â,HTML  (37KB),Excel  (22KB),CSV  (22KB)
94,"2-18 - Motor Vehicle Fatalities, Vehicle-Miles, and Associated Rates by Highway Functional System",Â,HTML  (62KB),Excel  (25KB),CSV  (25KB)
95,2-19 - Occupant Fatalities by Vehicle Type and Nonoccupant Fatalities,Â,HTML  (53KB),Excel  (22KB),CSV  (22KB)
96,2-20 - Occupant and Non-Motorist Fatalities in Crashes by Number of Vehicles and Alcohol Involvement,Â,HTML  (68KB),Excel  (29KB),CSV  (29KB)
97,2-21 - Passenger Car Occupant Safety Data,Â,HTML  (35KB),Excel  (22KB),CSV  (22KB)
98,2-22 - Motorcycle Rider Safety Data,Â,HTML  (30KB),Excel  (20KB),CSV  (20KB)
99,2-23 - Truck Occupant Safety Data,Â,HTML  (43KB),Excel  (25KB),CSV  (25KB)
100,2-24 - Bus Occupant Safety Data,Â,HTML  (36KB),Excel  (22KB),CSV  (22KB)
101,2-25 - Fatalities by Highest Blood Alcohol Concentration (BAC) in Highway Crashes,Â,HTML  (46KB),Excel  (24KB),CSV  (24KB)
102,2-26 - Number of States with Different Types of Anti-DUI/DWI Legislation in Effect as of January 1 of the Listed Year,Â,HTML  (21KB),Excel  (18KB),CSV  (18KB)
103,"2-27 - Motor Vehicle Fatal Crashes by Day of Week, Time of Day, and Weather and Light Conditions",Â,HTML  (35KB),Excel  (22KB),CSV  (22KB)
104,2-28 - Motor Vehicle Fatal Crashes by Posted Speed Limit,Â,HTML  (25KB),Excel  (20KB),CSV  (20KB)
105,2-29 - Safety Belt and Motorcycle Helmet Use,Â,HTML  (22KB),Excel  (17KB),CSV  (17KB)
106,2-30 - Estimated Number of Lives Saved by Use of Restraints,Â,HTML  (19KB),Excel  (16KB),CSV  (16KB)
107,Section D. Transit,Â,Â,Â,Â
108,2-31 - Transit Safety and Property Damage Data,Â,HTML  (29KB),Excel  (30KB),CSV  (30KB)
109,2-32 - Transit Safety Data by Mode for All Reported Accidents,Â,HTML  (74KB),Excel  (62KB),CSV  (62KB)
110,2-33 - Transit Safety Data by Mode for All Reported Incidents,Â,HTML  (96KB),Excel  (56KB),CSV  (56KB)
111,"2-34 - Reports of Violent Crime, Property Crime, and Arrests by Transit Mode",Â,HTML  (81KB),Excel  (36KB),CSV  (36KB)
112,Section E. Railroad,Â,Â,Â,Â
113,2-35 - Railroad and Grade-Crossing Fatalities by Victim Class,Â,HTML  (41KB),Excel  (27KB),CSV  (27KB)
114,2-36 - Railroad and Grade-Crossing Injured Persons by Victim Class,Â,HTML  (44KB),Excel  (27KB),CSV  (27KB)
115,"2-37 - Train Fatalities, Injuries, and Accidents by Type of Accident",Â,HTML  (28KB),Excel  (25KB),CSV  (25KB)
116,2-38 - Railroad Passenger Safety Data,Â,HTML  (27KB),Excel  (21KB),CSV  (21KB)
117,2-39 - Railroad System Safety and Property Damage Data,Â,HTML  (36KB),Excel  (25KB),CSV  (25KB)
118,2-40 - Fatalities and Injuries of On-Duty Railroad Employees,Â,HTML  (48KB),Excel  (28KB),CSV  (28KB)
119,Section F. Water,Â,Â,Â,Â
120,2-41 - Waterborne Transportation Safety and Property Damage Data Related to Vessel Casualties,Â,HTML  (22KB),Excel  (18KB),CSV  (18KB)
121,2-42 - Waterborne Transportation Safety Data not Related to Vessel Casualties,Â,HTML  (21KB),Excel  (17KB),CSV  (17KB)
122,"2-43 - Recreational Boating Safety, Alcohol Involvement, and Property Damage Data",Â,HTML  (38KB),Excel  (19KB),CSV  (19KB)
123,2-44 - Personal Watercraft Safety Data,Â,HTML  (21KB),Excel  (18KB),CSV  (18KB)
124,"2-45 - U.S. Coast Guard Search and Rescue Statistics, Fiscal Year",Â,HTML  (38KB),Excel  (22KB),CSV  (22KB)
125,Section G. Pipeline,Â,Â,Â,Â
126,2-46 - Hazardous Liquid and Natural Gas Pipeline Safety and Property Damage Data,Â,HTML  (40KB),Excel  (22KB),CSV  (22KB)
127,Chapter 3. Transportation and the Economy,Â,Â,Â,Â
128,Section A. Transportation And The Total Economy,Â,Â,Â,Â
129,3-1a - U.S. Gross Domestic Product (GDP) Attributed to For-Hire Transportation Services (Current $ billions),Â,HTML  (55KB),Excel  (26KB),CSV  (26KB)
130,3-1b - U.S. Gross Domestic Product (GDP) Attributed to For-Hire Transportation Services (Chained 1996 $ billions),Â,HTML  (34KB),Excel  (24KB),CSV  (24KB)
131,3-2a - U.S. Gross Domestic Product (GDP) Attributed to Transportation-Related Final Demand (Current $ billions),Â,HTML  (58KB),Excel  (27KB),CSV  (27KB)
132,3-2b - U.S. Gross Domestic Product (GDP) Attributed to Transportation-Related Final Demand (Chained 1996 $ billions),Â,HTML  (60KB),Excel  (28KB),CSV  (28KB)
133,3-3a - U.S. Gross Domestic Demand (GDD) Attributed to Transportation-Related Final Demand (Current $ billions),Â,HTML  (45KB),Excel  (27KB),CSV  (27KB)
134,3-3b - U.S. Gross Domestic Demand (GDD) Attributed to Transportation-Related Final Demand (Chained 1996 $ billions),Â,HTML  (39KB),Excel  (25KB),CSV  (25KB)
135,3-4a - Contributions to Gross Domestic Product (GDP): Selected Industries (Current $ billions),Â,HTML  (37KB),Excel  (30KB),CSV  (30KB)
136,3-4b - Contributions to Gross Domestic Product (GDP): Selected Industries (Chained 1996 $ billions),Â,HTML  (41KB),Excel  (32KB),CSV  (32KB)
137,3-5 - Gross Domestic Product (GDP) by Major Social Function,Â,HTML  (29KB),Excel  (18KB),CSV  (18KB)
138,3-6 - National Transportation and Economic Trends,Â,HTML  (33KB),Excel  (22KB),CSV  (22KB)
139,Section B. Transportation And Consumer Expenditures,Â,Â,Â,Â
140,3-7 - Passenger and Freight Transportation Expenditures,Â,HTML  (61KB),Excel  (26KB),CSV  (26KB)
141,3-8 - Sales Price of Transportation Fuel to End-Users,Â,HTML  (25KB),Excel  (18KB),CSV  (18KB)
142,3-9 - Price Trends of Gasoline v. Other Consumer Goods and Services,Â,HTML  (27KB),Excel  (20KB),CSV  (20KB)
143,3-10 - Producer Price Indices for Transportation Services,Â,HTML  (24KB),Excel  (18KB),CSV  (18KB)
144,3-11 - Producer Price Indices for Transportation Equipment,Â,HTML  (28KB),Excel  (21KB),CSV  (21KB)
145,3-12 - Personal Expenditures by Category,Â,HTML  (34KB),Excel  (20KB),CSV  (20KB)
146,3-13 - Personal Consumption Expenditures on Transportation by Subcategory,Â,HTML  (32KB),Excel  (20KB),CSV  (20KB)
147,3-14 - Average Cost of Owning and Operating an Automobile,Â,HTML  (27KB),Excel  (27KB),CSV  (27KB)
148,3-15a - Average Passenger Fares (Current $),Â,HTML  (24KB),Excel  (20KB),CSV  (20KB)
149,3-15b - Average Passenger Fares (Chained 1996 $),Â,HTML  (22KB),Excel  (19KB),CSV  (19KB)
150,"Section C. Transportation Revenues, Employment, And Productivity",Â,Â,Â,Â
151,3-16 - Average Passenger Revenue per Passenger-Mile,Â,HTML  (31KB),Excel  (23KB),CSV  (23KB)
152,3-17 - Average Freight Revenue per Ton-Mile,Â,HTML  (31KB),Excel  (23KB),CSV  (23KB)
153,3-18 - Total Operating Revenues,Â,HTML  (46KB),Excel  (26KB),CSV  (26KB)
154,3-19 - Employment in For-Hire Transportation and Selected Transportation-Related Industries,Â,HTML  (101KB),Excel  (38KB),CSV  (38KB)
155,3-20 - Employment in Transportation Occupations,Â,HTML  (54KB),Excel  (61KB),CSV  (61KB)
156,3-21 - Average Wage and Salary Accruals per Full-Time Equivalent Employee by Transportation Industry,Â,HTML  (31KB),Excel  (21KB),CSV  (21KB)
157,3-22 - Median Weekly Earnings of Full-Time Wage and Salary Workers in Transportation by Detailed Occupation,Â,HTML  (31KB),Excel  (35KB),CSV  (35KB)
158,3-23 - Total Wage and Salary Accruals by Transportation Industry,Â,HTML  (32KB),Excel  (19KB),CSV  (19KB)
159,3-24 - Labor Productivity Indices for Selected Transportation Industries,Â,HTML  (26KB),Excel  (19KB),CSV  (19KB)
160,Section D. Government Finance,Â,Â,Â,Â
161,"3-25a - Federal, State, and Local Government Transportation-Related Revenues and Expenditures, Fiscal Year (Current $ millions)",Â,HTML  (22KB),Excel  (17KB),CSV  (17KB)
162,"3-25b - Federal, State, and Local Government Transportation-Related Revenues and Expenditures, Fiscal Year (Constant 1996 $ millions)",Â,HTML  (22KB),Excel  (19KB),CSV  (19KB)
163,"3-26a - Federal Transportation-Related Revenues, Fiscal Year (Current $ millions)",Â,HTML  (34KB),Excel  (21KB),CSV  (21KB)
164,"3-26b - Federal Transportation-Related Revenues, Fiscal Year (Constant 1996 $ millions)",Â,HTML  (30KB),Excel  (20KB),CSV  (20KB)
165,"3-27a - Federal Transportation-Related Expenditures by Mode, Fiscal Year (Current $ millions)",Â,HTML  (31KB),Excel  (20KB),CSV  (20KB)
166,"3-27b - Federal Transportation-Related Expenditures by Mode, Fiscal Year (Constant 1996 $ millions)",Â,HTML  (26KB),Excel  (20KB),CSV  (20KB)
167,"3-28 - Cash Balances of the Transportation-Related Federal Trust Funds, Fiscal Year",Â,HTML  (30KB),Excel  (20KB),CSV  (20KB)
168,"Chapter 4. Transportation, Energy, and the Environment",Â,Â,Â,Â
169,Section A. U.S. and Transportation Sector Energy Consumption,Â,Â,Â,Â
170,"4-1 - Overview of U.S. Petroleum Production, Imports, Exports, and Consumption",Â,HTML  (43KB),Excel  (25KB),CSV  (25KB)
171,4-2 - U.S. Consumption of Energy from Primary Sources by Sector,Â,HTML  (49KB),Excel  (24KB),CSV  (24KB)
172,4-3 - Domestic Demand for Refined Petroleum Products by Sector,Â,HTML  (31KB),Excel  (19KB),CSV  (19KB)
173,Section B. Transportation Energy Consumption By Mode,Â,Â,Â,Â
174,4-4 - U.S. Energy Consumption by the Transportation Sector,Â,HTML  (48KB),Excel  (26KB),CSV  (26KB)
175,4-5 - Fuel Consumption by Mode of Transportation,Â,HTML  (57KB),Excel  (33KB),CSV  (33KB)
176,4-6 - Energy Consumption by Mode of Transportation,Â,HTML  (62KB),Excel  (35KB),CSV  (35KB)
177,4-7 - Domestic Demand for Gasoline by Mode,Â,HTML  (23KB),Excel  (19KB),CSV  (19KB)
178,4-8 - Certificated Air Carrier Fuel Consumption and Travel,Â,HTML  (30KB),Excel  (22KB),CSV  (22KB)
179,4-9 - Motor Vehicle Fuel Consumption and Travel,Â,HTML  (21KB),Excel  (17KB),CSV  (17KB)
180,4-10 - Estimated Consumption of Alternative and Replacement Fuels for Highway Vehicles,Â,HTML  (28KB),Excel  (20KB),CSV  (20KB)
181,4-11 - Passenger Car and Motorcycle Fuel Consumption and Travel,Â,HTML  (43KB),Excel  (72KB),CSV  (72KB)
182,4-12 - Other 2-Axle 4-Tire Vehicle Fuel Consumption and Travel,Â,HTML  (20KB),Excel  (19KB),CSV  (19KB)
183,4-13 - Single-Unit 2-Axle 6-Tire or More Truck Fuel Consumption and Travel,Â,HTML  (19KB),Excel  (18KB),CSV  (18KB)
184,4-14 - Combination Truck Fuel Consumption and Travel,Â,HTML  (19KB),Excel  (17KB),CSV  (17KB)
185,4-15 - Bus Fuel Consumption and Travel,Â,HTML  (25KB),Excel  (20KB),CSV  (20KB)
186,4-16 - Transit Industry Electric Power and Primary Energy Consumption and Travel,Â,HTML  (26KB),Excel  (20KB),CSV  (20KB)
187,4-17 - Class I Rail Freight Fuel Consumption and Travel,Â,HTML  (33KB),Excel  (24KB),CSV  (24KB)
188,4-18 - Amtrak Fuel Consumption and Travel,Â,HTML  (31KB),Excel  (23KB),CSV  (23KB)
189,4-19 - U.S. Government Energy Consumption by Agency and Source,Â,HTML  (41KB),Excel  (23KB),CSV  (23KB)
190,Section C. Transportation Energy Intensity And Fuel Efficiency,Â,Â,Â,Â
191,4-20 - Energy Intensity of Passenger Modes,Â,HTML  (38KB),Excel  (25KB),CSV  (25KB)
192,"4-21 - Energy Intensity of Certificated Air Carriers, All Services",Â,HTML  (83KB),Excel  (30KB),CSV  (30KB)
193,"4-22 - Energy Intensity of Passenger Cars, Other 2-Axle 4-Tire Vehicles, and Motorcycles",Â,HTML  (47KB),Excel  (25KB),CSV  (25KB)
194,4-23 - Average Fuel Efficiency of U.S. Passenger Cars and Light Trucks,Â,HTML  (27KB),Excel  (20KB),CSV  (20KB)
195,4-24 - Energy Intensity of Transit Motor Buses,Â,HTML  (22KB),Excel  (19KB),CSV  (19KB)
196,4-25 - Energy Intensity of Class I Railroad Freight Service,Â,HTML  (22KB),Excel  (19KB),CSV  (19KB)
197,4-26 - Energy Intensity of Amtrak Services,Â,HTML  (25KB),Excel  (20KB),CSV  (20KB)
198,4-27 - Annual Wasted Fuel Due to Congestion,Â,HTML  (71KB),Excel  (31KB),CSV  (31KB)
199,4-28 - Wasted Fuel per Eligible Driver,Â,HTML  (66KB),Excel  (32KB),CSV  (32KB)
200,Section D. Air Pollution,Â,Â,Â,Â
201,4-29 - Federal Exhaust Emission Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Light-Duty Vehicles,Â,HTML  (100KB),Excel  (27KB),CSV  (27KB)
202,4-30a - Federal Exhaust Emission Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Light Duty Trucks (Category LDT1) (Grams per mile),Â,HTML  (143KB),Excel  (162KB),CSV  (162KB)
203,4-30b - Federal Exhaust Emission Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Light Duty Trucks (Category LDT2) (Grams per mile),Â,HTML  (134KB),Excel  (164KB),CSV  (164KB)
204,4-30c - Federal Exhaust Emission Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Light Duty Trucks (Category LDT3) (Grams per mile),Â,HTML  (127KB),Excel  (164KB),CSV  (164KB)
205,4-30d - Federal Exhaust Emission Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Light Duty Trucks (Category LDT4) (Grams per mile),Â,HTML  (125KB),Excel  (169KB),CSV  (169KB)
206,4-31 - Federal Exhaust Emission Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Medium-Duty Passenger Vehicles (MDPV),Â,HTML  (75KB),Excel  (161KB),CSV  (161KB)
207,4-32a - Federal Exhaust Emissions Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Light Heavy-Duty Trucks (Grams per brake horsepower-hour),Â,HTML  (65KB),Excel  (22KB),CSV  (22KB)
208,4-32b - Federal Exhaust Emissions Certification Standards for Newly Manufactured Gasoline- and Diesel-Powered Heavy Heavy-Duty Trucks (Grams per brake horsepower-hour),Â,HTML  (50KB),Excel  (22KB),CSV  (22KB)
209,4-33 - Federal Exhaust Emissions Standards for Newly Manufactured Motorcycles,Â,HTML  (29KB),Excel  (19KB),CSV  (19KB)
210,4-34 - Federal Exhaust Emissions Standards for Newly Manufactured and In-Use Aircraft Engines,Â,HTML  (42KB),Excel  (23KB),CSV  (23KB)
211,4-35 - Federal Exhaust Emissions Standards for Locomotives,Â,HTML  (34KB),Excel  (21KB),CSV  (21KB)
212,"4-36 - Federal Exhaust Emissions Standards for Newly Manufactured Marine Spark-Ignition Outboard, Personal Watercraft, and Jet-Boat Engines",Â,HTML  (29KB),Excel  (20KB),CSV  (20KB)
213,4-37 - Tier 2 Federal Exhaust Emissions Standards for Newly Manufactured Commercial Marine Compression-Ignition Engines,Â,HTML  (38KB),Excel  (23KB),CSV  (23KB)
214,4-38 - Estimated National Average Vehicle Emissions Rates by Vehicle Type and Fuel,Â,HTML  (42KB),Excel  (25KB),CSV  (25KB)
215,4-39 - Estimated National Average Vehicle Emissions Rates by Vehicle Type Using Reformulated Gasoline,Â,HTML  (32KB),Excel  (21KB),CSV  (21KB)
216,4-40 - Estimated National Emissions of Carbon Monoxide,Â,HTML  (34KB),Excel  (22KB),CSV  (22KB)
217,4-41 - Estimated National Emissions of Nitrogen Oxides,Â,HTML  (34KB),Excel  (23KB),CSV  (23KB)
218,4-42 - Estimated National Emissions of Volatile Organic Compounds,Â,HTML  (35KB),Excel  (23KB),CSV  (23KB)
219,4-43 - Estimated National Emissions of Particulate Matter (PM-10),Â,HTML  (37KB),Excel  (23KB),CSV  (23KB)
220,4-44 - Estimated National Emissions of Particulate Matter (PM-2.5),Â,HTML  (35KB),Excel  (22KB),CSV  (22KB)
221,4-45 - Estimated National Emissions of Sulfur Dioxide,Â,HTML  (40KB),Excel  (21KB),CSV  (21KB)
222,4-46 - Estimated National Emissions of Lead,Â,HTML  (28KB),Excel  (21KB),CSV  (21KB)
223,4-47 - Air Pollution Trends in Selected Metropolitan Statistical Areas,Â,HTML  (72KB),Excel  (33KB),CSV  (33KB)
224,4-48 - Areas in Nonattainment of National Ambient Air Quality Standards for Criteria Pollutants,Â,HTML  (181KB),Excel  (88KB),CSV  (88KB)
225,"4-49 - U.S. Carbon Dioxide Emissions from Energy Use by Sector, 1990-1998",Â,HTML  (34KB),Excel  (18KB),CSV  (18KB)
