,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
13,State  and local,U,U,2611,8297.0,9655.0,9355.0,7621,7488,7725,8411,9205,10525,10979.0,11106.0,11597.0,12658.0,13235.0,15831.0,17811.0,17921.0
14,Federal,U,U,1094,970.0,916.0,817.0,554,604,741,860,984,1117,1302.0,1596.0,2024.0,2243.0,2523.0,2540.0,2568.0,3086.0
15,"Operating  expenses2, total ($ millions)",1377,1996,"(R) 6,247",15742.0,17920.0,17849.0,16302,16963,17580,18781,20009,21529,22933.0,24185.0,25427.0,27238.0,29025.0,31304.0,33479.0,34638.0
16,Motor  bus,U,U,U,8903.0,10144.0,10321.0,8996,9422,9713,10342,11026,11814,12613.0,13316.0,13790.0,14666.0,15796.0,16812.0,17963.0,18313.0
17,Heavy  rail,U,U,U,3825.0,3786.0,3523.0,3402,3474,3530,3693,3931,4180,4267.0,4446.0,4734.0,5145.0,5287.0,5888.0,6129.0,6311.0
18,Light  rail,U,U,U,237.0,413.0,376.0,440,471,493,536,597,676,778.0,815.0,887.0,978.0,1070.0,1163.0,1259.0,1393.0
19,Trolley  bus,U,U,U,109.0,133.0,139.0,135,140,146,167,177,172,187.0,183.0,185.0,196.0,197.0,199.0,214.0,233.0
20,Demand  responsive,U,U,U,518.0,943.0,1000.0,750,873,995,1104,1225,1410,1636.0,1779.0,1902.0,2071.0,2286.0,2539.0,2861.0,3053.0
21,Ferryboata,U,U,U,171.0,200.0,210.0,188,201,210,226,242,290,314.0,318.0,304.0,332.0,367.0,429.0,507.0,500.0
22,Commuter  rail,U,U,U,1939.0,2228.0,2211.0,2294,2275,2355,2569,2679,2852,2995.0,3173.0,3436.0,3657.0,3765.0,4001.0,4294.0,4538.0
23,Otherb,U,U,U,41.0,73.0,69.0,98,108,137,144,131,133,143.0,156.0,188.0,193.0,256.0,274.0,253.0,298.0
24,"Average  passenger revenue per passenger-mile3, all modes ($)",U,U,0.06,0.14,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.24,0.2,0.21,0.22
25,Motor  bus,U,U,0.08,0.14,0.17,0.17,U,U,U,U,U,U,0.18,0.19,0.2,0.21,0.29,0.22,0.22,0.23
26,Heavy  rail,U,U,0.07,0.15,0.19,0.19,U,U,U,U,U,U,0.18,0.2,0.2,0.21,0.22,0.21,0.22,0.23
27,Light  rail,U,U,0.08,0.14,0.16,0.15,U,U,U,U,U,U,0.16,0.16,0.15,0.15,0.16,0.16,0.18,0.18
28,Trolley  bus,U,U,0.12,0.24,0.29,0.29,U,U,U,U,U,U,0.32,0.3,0.32,0.33,0.37,0.38,0.39,0.41
29,Demand  responsive,U,U,U,0.09,0.3,0.24,U,U,U,U,U,U,0.28,0.25,0.26,0.26,0.28,0.27,0.26,0.27
30,Ferryboata,U,U,U,0.2,0.16,0.23,U,U,U,U,U,U,0.21,0.24,0.25,0.26,0.2,0.31,0.31,0.32
31,Commuter  rail,U,U,U,0.13,0.14,0.13,U,U,U,U,U,U,0.15,0.16,0.17,0.18,0.18,0.18,0.2,0.2
32,Otherb,U,U,0.01,0.05,0.2,0.11,U,U,U,U,U,U,0.1,0.11,0.13,0.12,0.17,0.15,0.12,0.14
33,"Average  passenger fare, per unlinked trip4, all modes ($)",0.14,0.22,0.30,0.67,0.85,0.88,0.92,0.90,0.91,0.90,0.92,0.93,0.9,0.96,1.01,1.03,1.26,1.07,1.11,1.17
34,Motor  bus,U,U,0.31,0.52,0.67,0.68,U,U,U,U,U,U,0.68,0.72,0.75,0.77,1.13,0.85,0.87,0.91
35,Heavy  rail,U,U,0.34,0.74,0.91,0.99,U,U,U,U,U,U,0.93,0.99,1.06,1.07,1.1,0.97,1.03,1.09
36,Light  rail,U,U,0.23,0.47,0.48,0.5,U,U,U,U,U,U,0.67,0.68,0.67,0.65,0.72,0.74,0.82,0.84
37,Trolley  bus,U,U,0.18,0.36,0.46,0.45,U,U,U,U,U,U,0.51,0.49,0.52,0.54,0.6,0.61,0.63,0.66
38,Demand  responsive,U,U,U,0.6,1.94,1.66,U,U,U,U,U,U,2.33,2.15,2.17,2.22,2.36,2.28,2.26,2.37
39,Ferryboata,U,U,U,1.12,0.87,1.28,U,U,U,U,U,U,1.25,1.43,1.58,1.59,1.26,1.9,1.94,1.93
40,Commuter  rail,U,U,U,2.9,3.19,3.13,U,U,U,U,U,U,3.49,3.79,3.9,4.08,4.22,4.32,4.58,4.68
41,Otherb,U,U,0.75,0.2,1.41,0.95,U,U,U,U,U,U,1.06,1.06,1.15,1.18,1.73,1.67,1.63,1.86
