,Â,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,(R) 2010,(R) 2011,(R) 2012,2013,2014
34,Manufacturing,U,U,919.2,1079.7,1114.2,"(R) 1,365.1","(R) 1,431.1","(R) 1,509.4","(R) 1,603.3","(R) 1,538.5","(R) 1,553.7","(R) 1,632.1","(R) 1,737.5","(R) 1,776.7","(R) 1,864.9","(R) 1,924.8","(R) 1,869.1","(R) 1,726.7",1818.2,1823.2,1836.8,1862.6,1924.3
35,Wholesale trade,U,U,309.7,383.8,419.2,(R) 620.1,(R) 672.3,(R) 697.8,(R) 740.7,(R) 754.2,(R) 757.0,(R) 802.0,(R) 845.7,(R) 889.6,(R) 923.3,(R) 954.4,(R) 943.4,(R) 822.8,848.3,866.0,893.6,907.6,930.4
36,Retail trade,U,U,450.8,558.8,610.4,(R) 672.0,(R) 735.2,(R) 759.7,(R) 782.7,(R) 804.7,(R) 835.0,(R) 882.7,(R) 895.4,(R) 925.0,(R) 929.8,(R) 904.1,(R) 866.4,(R) 842.1,862.1,867.5,881.8,902.8,930.5
37,Transportation and warehousing,U,U,203.8,263.2,277.6,(R) 357.4,(R) 370.4,(R) 373.8,(R) 379.9,(R) 354.5,(R) 343.2,(R) 357.1,(R) 392.2,(R) 414.4,(R) 439.9,(R) 434.4,(R) 433.9,(R) 398.8,421.4,436.5,437.5,440.5,446.8
38,Information,U,U,250.1,305.2,324.4,(R) 373.8,(R) 409.2,(R) 455.2,(R) 444.7,(R) 470.0,(R) 515.4,(R) 529.4,(R) 588.0,(R) 620.4,(R) 635.6,(R) 697.3,(R) 732.0,(R) 705.3,735.1,736.1,748.5,781.5,808.1
39,"Finance, insurance, real estate, rental, and leasing",U,U,1598.2,1809.1,1851.7,"(R) 1,975.7","(R) 2,069.1","(R) 2,211.3","(R) 2,325.7","(R) 2,475.1","(R) 2,505.8","(R) 2,535.6","(R) 2,573.8","(R) 2,743.3","(R) 2,815.6","(R) 2,866.6","(R) 2,762.9","(R) 2,874.0",2925.4,2986.1,3066.6,3147.7,3198.1
40,Professional and business services,U,U,878.2,958.7,1024.7,"(R) 1,224.1","(R) 1,279.5","(R) 1,337.9","(R) 1,410.8","(R) 1,447.1","(R) 1,468.9","(R) 1,508.7","(R) 1,547.4","(R) 1,612.5","(R) 1,658.2","(R) 1,701.2","(R) 1,777.8","(R) 1,661.1",1718.0,1782.9,1861.3,1895.0,1988.0
41,"Educational services, health care, and social assistance",U,U,700.5,756.1,764.8,(R) 869.0,(R) 875.8,(R) 898.8,(R) 922.4,(R) 946.1,(R) 984.5,"(R) 1,017.5","(R) 1,057.7","(R) 1,075.8","(R) 1,117.3","(R) 1,128.0","(R) 1,187.8","(R) 1,214.0",1220.5,1239.8,1257.3,1281.3,1312.2
42,"Arts, entertainment, recreation, accommodation, and food services",U,U,323.6,357.4,372.5,(R) 457.1,(R) 467.7,(R) 493.0,(R) 520.9,(R) 504.4,(R) 517.4,(R) 533.3,(R) 557.5,(R) 559.3,(R) 572.1,(R) 572.8,(R) 558.7,(R) 522.3,541.3,562.5,574.7,586.1,602.2
43,"Other services, except government",U,U,294.2,322.5,325.4,(R) 376.8,(R) 391.9,(R) 394.7,(R) 403.5,(R) 363.4,(R) 373.3,(R) 361.7,(R) 367.3,(R) 368.6,(R) 370.1,(R) 360.9,(R) 347.4,(R) 329.5,323.9,322.7,329.0,331.3,337.2
44,Total civilian labor force (thousands),106940,115461,125840,132304,133943,136297,137673,139368,142583,143734,144863,146510,147401,149320,151428,153124,154287,154142,153889,153617,154975,155389,155922
45,Participation rate of men (percent),77.4,76.3,76.4,75.0,74.9,75.0,74.9,74.7,74.8,74.4,74.1,73.5,73.3,73.3,73.5,73.2,73.0,72.0,71.2,70.5,70.2,69.7,69.2
46,Participation rate of women (percent),51.5,54.5,57.5,58.9,59.3,59.8,59.8,60.0,59.9,59.8,59.6,59.5,59.2,59.3,59.4,59.3,59.5,59.2,58.6,58.1,57.7,57.2,57.0
47,Number of households (thousands),80776,86789,93347,98990,99627,101018,102528,103874,104705,108209,109297,111278,112000,113343,114384,116011,116783,117181,117538,119927,121084,122459,123229
48,Average size of households,2.76,2.69,2.63,2.65,2.65,2.64,2.62,2.61,2.62,2.58,2.58,2.57,2.57,2.57,2.57,2.56,2.56,2.57,2.59,2.56,2.55,2.54,2.54
49,Median household incomeh (constant 2009 dollars),"(R) 43,920","(R) 44,928","(R) 47,691","(R) 47,674","(R) 48,345","(R) 49,340","(R) 51,155","(R) 52,422","(R) 52,314","(R) 51,174","(R) 50,576","(R) 50,533","(R) 50,357","(R) 50,896","(R) 51,293","(R) 51,981","(R) 50,129","(R) 49,777",48492,47751,47674,49357,48628
50,Mean household incomeh (constant 2009 dollars),"(R) 52,234","(R) 55,290","(R) 59,572","(R) 62,869","(R) 64,188","(R) 66,256","(R) 68,216","(R) 70,506","(R) 71,181","(R) 70,538","(R) 68,993","(R) 68,904","(R) 68,680","(R) 69,592","(R) 70,840","(R) 69,962","(R) 68,185","(R) 67,976",66318,66471,66604,69262,68638
51,Average household expendituresh (constant 2009 dollars),U,"(R) 44,684","(R) 45,203","(R) 45,138","(R) 46,036","(R) 46,425","(R) 46,747","(R) 47,654","(R) 47,399","(R) 47,889","(R) 48,511","(R) 47,615","(R) 49,290","(R) 50,987","(R) 51,503","(R) 51,365","(R) 50,311","(R) 49,067",47343,47419,48072,47068,48481
