,Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),Annual congestion cost (2014 dollars- millions),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
10,"Baltimore, MD",Large,1007,1062,1072,1145,1177,1199,1227,1208,1200,1182,1095,1073,1086.0,1068.0,1068.0,1075,1115,27,28,27,19,19,19,18,19,20,20,30,30,28.0,27.0,28.0,27,25,1874,1976,1996,2131,2191,2232,2283,2249,2233,2201,2039,1997,2021.0,1987.0,1989.0,2001,2075,16,16,16,16,16,16,16,17,17,17,17,18,18.0,19.0,19.0,19.0,18.0
11,"Baton Rouge, LA",Medium,738,775,787,795,820,851,862,909,1122,1154,1160,1160,1208.0,1177.0,1180.0,1222,1262,67,67,68,71,71,72,71,67,28,25,21,19,11.0,14.0,15.0,12,12,365,383,389,393,405,420,426,449,554,570,573,573,596.0,581.0,583.0,603,623,66,65,65,65,66,66,65,64,56,55,54,53,53.0,53.0,53.0,53.0,51.0
12,"Beaumont, TX",Small,575,612,639,676,741,809,840,872,858,848,728,768,785.0,767.0,757.0,784,800,82,84,81,81,78,74,74,71,73,75,84,78,76.0,78.0,78.0,76,77,137,146,152,161,176,192,200,207,204,202,173,183,187.0,182.0,180.0,187,190,91,91,92,92,90,88,88,88,88,88,91,88,87.0,87.0,88.0,87.0,88.0
13,"Birmingham, AL",Medium,879,949,939,923,962,960,957,948,948,944,949,889,897.0,891.0,902.0,903,891,42,40,43,49,48,53,58,62,64,64,55,62,62.0,60.0,57.0,57,58,495,534,528,520,541,540,539,533,533,531,534,500,505.0,502.0,508.0,508,501,55,54,55,54,54,54,56,56,57,57,56,57,57.0,56.0,55.0,56.0,56.0
14,"Boise, ID",Small,394,451,501,566,602,631,682,711,745,779,736,703,707.0,699.0,700.0,747,833,93,91,90,89,89,89,88,85,84,80,82,85,85.0,84.0,85.0,79,74,127,146,162,183,194,204,220,229,240,251,238,227,228.0,226.0,226.0,241,269,92,91,88,86,86,86,86,86,86,86,86,86,86.0,86.0,86.0,86.0,84.0
15,"Boston, MA-NH-RI",Very large,1557,1544,1571,1578,1588,1578,1559,1538,1511,1491,1387,1370,1417.0,1401.0,1401.0,1396,1388,7,7,7,7,7,7,7,7,7,7,7,7,7.0,7.0,8.0,8,9,3772,3741,3807,3824,3846,3822,3777,3726,3661,3612,3360,3318,3432.0,3394.0,3394.0,3382,3363,8,10,9,10,10,10,10,11,11,12,12,12,11.0,11.0,11.0,11.0,11.0
16,"Boulder, CO",Small,579,636,639,670,731,742,757,750,747,763,765,709,722.0,719.0,721.0,735,752,80,79,81,82,81,82,81,82,81,82,78,83,83.0,82.0,80.0,82,80,68,75,75,79,86,88,89,88,88,90,90,84,85.0,85.0,85.0,87,89,97,96,96,97,97,98,97,98,98,99,98,99,99.0,99.0,99.0,99.0,98.0
17,"Bridgeport-Stamford, CT-NY",Medium,1072,1101,1132,1172,1231,1286,1301,1296,1270,1267,1254,1181,1176.0,1158.0,1160.0,1173,1174,20,20,17,15,13,13,15,14,16,16,13,13,19.0,19.0,20.0,17,16,820,842,866,897,942,983,995,991,972,969,959,903,900.0,886.0,887.0,897,898,39,40,40,42,40,40,39,39,39,39,40,41,41.0,41.0,42.0,42.0,42.0
18,"Brownsville, TX",Small,197,204,286,303,327,367,432,461,480,505,521,501,513.0,512.0,504.0,499,494,99,99,97,97,97,97,97,97,97,96,94,94,94.0,94.0,94.0,94,97,32,33,47,50,54,60,71,75,78,83,85,82,84.0,84.0,82.0,82,81,101,101,100,100,100,100,99,99,100,100,99,100,100.0,100.0,100.0,100.0,100.0
19,"Buffalo, NY",Medium,964,1076,1120,1113,1142,1128,1106,1077,1043,1032,958,970,958.0,946.0,935.0,929,918,29,25,21,25,25,31,32,35,42,47,54,46,47.0,48.0,50.0,52,53,652,727,756,752,772,762,747,727,705,697,647,655,647.0,639.0,631.0,627,620,46,46,45,45,45,47,49,49,50,50,51,50,51.0,51.0,51.0,51.0,52.0
20,"Cape Coral, FL",Medium,382,423,452,486,532,574,605,635,690,765,765,708,709.0,688.0,679.0,674,669,94,93,92,92,91,91,91,90,87,81,78,84,84.0,86.0,86.0,88,88,165,182,195,209,229,247,261,274,297,329,330,305,305.0,296.0,293.0,291,288,86,85,84,84,83,84,83,82,81,79,76,77,78.0,79.0,79.0,79.0,79.0
21,"Charleston-North Charleston, SC",Medium,872,904,938,935,953,982,992,989,1007,1025,1035,1037,1041.0,1050.0,1053.0,1050,1047,45,46,44,45,49,50,51,52,49,48,38,33,35.0,32.0,30.0,31,33,392,406,421,420,428,441,445,444,452,460,465,466,468.0,471.0,473.0,472,470,62,62,63,64,64,65,64,65,64,62,61,60,60.0,60.0,60.0,60.0,59.0
22,"Charlotte, NC-SC",Large,666,716,772,824,907,946,957,951,977,1000,985,921,929.0,929.0,948.0,971,963,75,74,72,67,59,59,58,61,57,51,48,55,54.0,51.0,47.0,43,44,533,573,618,659,725,756,765,761,781,800,788,736,743.0,743.0,758.0,777,770,53,53,51,49,48,49,48,48,47,47,46,46,46.0,46.0,46.0,46.0,47.0
23,"Chicago, IL-IN",Very large,1581,1604,1611,1635,1650,1654,1716,1699,1671,1653,1534,1514,1509.0,1485.0,1462.0,1462,1445,6,6,5,5,5,5,5,5,5,5,5,5,5.0,5.0,6.0,7,7,7902,8018,8050,8172,8248,8267,8577,8490,8353,8262,7664,7565,7543.0,7423.0,7306.0,7306,7222,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0
24,"Cincinnati, OH-KY-IN",Large,1061,1101,1122,1141,1139,1133,1115,1093,1077,1068,1024,960,973.0,981.0,999.0,991,989,21,20,18,20,26,29,30,32,35,37,40,48,46.0,41.0,39.0,39,40,1244,1291,1315,1337,1335,1328,1307,1281,1263,1252,1200,1126,1140.0,1149.0,1171.0,1162,1159,26,27,26,26,28,28,29,29,29,29,29,30,30.0,29.0,29.0,29.0,29.0
25,"Cleveland, OH",Large,1153,1135,1089,1051,1012,986,1030,997,960,954,934,902,916.0,913.0,902.0,896,887,12,14,25,33,39,49,44,51,59,61,63,59,56.0,55.0,57.0,60,61,1360,1339,1284,1239,1193,1163,1215,1175,1132,1125,1102,1064,1081.0,1077.0,1064.0,1056,1046,22,25,27,28,30,30,30,30,31,31,32,32,32.0,33.0,33.0,33.0,33.0
26,"Colorado Springs, CO",Medium,724,752,777,771,773,783,788,787,779,794,775,786,782.0,769.0,758.0,752,772,69,71,70,73,75,75,77,78,79,78,77,77,78.0,77.0,77.0,78,78,334,347,358,356,356,361,363,363,359,366,358,362,361.0,355.0,350.0,347,356,69,70,70,71,71,71,71,72,72,72,72,71,71.0,71.0,71.0,73.0,71.0
27,"Columbia, SC",Medium,557,631,687,707,734,773,811,845,904,998,1003,984,975.0,953.0,958.0,956,951,84,80,77,77,79,78,76,73,68,52,46,43,45.0,47.0,45.0,46,47,240,271,295,304,316,332,349,364,389,429,432,423,419.0,410.0,412.0,411,409,76,76,76,76,75,75,72,71,70,67,66,64,64.0,64.0,65.0,64.0,63.0
28,"Columbus, OH",Large,827,859,880,919,945,959,962,955,950,935,911,887,908.0,894.0,928.0,943,933,52,56,55,51,51,54,57,60,63,65,65,64,59.0,59.0,52.0,49,49,817,848,869,908,933,947,950,943,938,923,899,876,896.0,883.0,917.0,931,921,40,39,39,39,42,41,43,43,41,41,43,43,42.0,42.0,41.0,40.0,41.0
29,"Corpus Christi, TX",Small,649,648,642,644,646,638,637,625,626,632,618,645,647.0,635.0,676.0,701,697,77,78,80,85,87,88,90,91,91,91,90,88,87.0,88.0,88.0,86,86,167,166,165,165,166,164,164,161,161,162,159,166,166.0,163.0,174.0,180,179,85,87,87,91,92,92,92,93,94,94,93,90,92.0,92.0,91.0,89.0,90.0
30,"Dallas-Fort Worth-Arlington, TX",Very large,1086,1130,1145,1149,1159,1203,1247,1289,1330,1329,1182,1128,1140.0,1154.0,1182.0,1190,1185,17,16,16,18,21,18,16,15,13,12,18,22,21.0,20.0,14.0,14,14,3853,4009,4060,4075,4112,4267,4424,4570,4716,4713,4192,4002,4042.0,4093.0,4192.0,4220,4202,7,7,7,8,9,9,8,7,5,5,7,7,7.0,7.0,7.0,7.0,7.0
31,"Dayton, OH",Medium,724,746,752,768,774,774,725,696,688,684,651,606,615.0,603.0,596.0,593,590,69,72,74,74,74,77,84,87,88,88,89,91,91.0,91.0,91.0,91,91,425,438,441,450,454,454,426,408,404,401,382,356,361.0,354.0,350.0,348,346,61,61,62,62,62,63,65,66,67,68,71,72,71.0,72.0,71.0,72.0,73.0
32,"Denver-Aurora, CO",Large,866,929,981,1048,1118,1133,1170,1175,1159,1136,1089,1082,1092.0,1066.0,1091.0,1109,1101,47,43,39,34,30,29,26,22,25,28,31,28,27.0,28.0,26.0,25,28,1620,1738,1835,1961,2093,2120,2189,2199,2168,2126,2038,2024,2043.0,1994.0,2041.0,2075,2061,18,18,17,17,17,17,18,18,18,18,18,17,17.0,18.0,18.0,18.0,19.0
33,"Detroit, MI",Very large,1607,1619,1597,1603,1604,1579,1551,1514,1473,1438,1324,1177,1177.0,1172.0,1174.0,1165,1183,4,5,6,6,6,6,8,8,8,8,9,14,18.0,16.0,16.0,18,15,4774,4809,4746,4763,4766,4691,4607,4499,4376,4274,3933,3496,3496.0,3482.0,3488.0,3462,3514,4,4,5,5,5,5,7,9,9,8,9,10,10.0,10.0,10.0,10.0,10.0
34,"El Paso, TX-NM",Medium,738,781,776,801,820,871,863,836,826,824,787,789,784.0,770.0,773.0,768,760,67,66,71,70,71,69,70,75,76,77,76,76,77.0,76.0,76.0,77,79,426,451,448,463,474,503,498,483,477,476,455,456,453.0,445.0,447.0,444,439,60,59,60,59,58,58,58,59,60,60,62,61,62.0,62.0,62.0,62.0,62.0
35,"Eugene, OR",Small,795,838,837,865,895,905,914,913,900,896,894,810,802.0,810.0,806.0,806,804,58,59,61,62,64,67,66,66,69,72,69,73,75.0,75.0,75.0,75,76,153,162,162,167,173,175,176,176,174,173,173,156,155.0,156.0,156.0,156,155,87,88,88,90,91,91,91,90,92,93,91,93,93.0,93.0,93.0,93.0,93.0
36,"Fresno, CA",Medium,424,469,466,490,520,525,534,529,531,534,493,490,491.0,482.0,475.0,487,495,90,90,91,91,92,92,93,94,95,95,95,95,95.0,96.0,97.0,97,96,215,238,237,249,264,266,271,268,270,271,250,249,249.0,245.0,241.0,247,251,79,77,77,79,80,81,82,84,83,83,85,84,84.0,84.0,85.0,85.0,85.0
37,"Grand Rapids, MI",Medium,779,821,847,846,840,864,852,853,847,859,855,809,826.0,827.0,835.0,855,854,60,60,60,65,70,70,72,72,74,74,75,74,73.0,73.0,73.0,70,68,428,452,466,466,462,475,469,469,466,473,470,445,455.0,455.0,459.0,471,470,59,58,57,57,60,60,61,60,61,61,60,62,61.0,61.0,61.0,61.0,59.0
38,"Greensboro, NC",Small,605,627,639,697,732,765,776,757,739,762,744,714,728.0,721.0,713.0,709,703,78,81,81,78,80,80,78,81,85,83,81,81,81.0,81.0,83.0,85,85,151,157,160,174,183,191,194,189,185,190,186,178,182.0,180.0,178.0,177,176,89,89,91,89,88,89,89,89,89,89,89,89,89.0,88.0,89.0,90.0,91.0
39,"Hartford, CT",Medium,953,967,1002,1023,1040,1048,1077,1084,1119,1136,1163,1151,1129.0,1066.0,1053.0,1046,1038,32,36,34,37,37,38,35,33,29,28,19,20,24.0,28.0,30.0,32,35,601,610,633,646,656,661,680,684,706,717,734,726,713.0,673.0,665.0,660,656,50,49,49,50,50,50,50,50,49,49,49,47,48.0,48.0,49.0,49.0,50.0
40,"Honolulu, HI",Medium,1040,1063,1050,1055,1061,1086,1108,1156,1156,1161,1135,1111,1138.0,1130.0,1128.0,1129,1125,25,27,31,32,35,33,31,27,26,23,26,24,22.0,23.0,24.0,23,24,570,583,575,578,581,595,608,634,634,637,622,609,624.0,619.0,618.0,619,616,51,52,53,53,53,53,52,52,52,52,52,52,52.0,52.0,52.0,52.0,53.0
41,"Houston, TX",Very large,1058,1096,1121,1211,1271,1322,1329,1367,1382,1359,1321,1326,1315.0,1335.0,1429.0,1478,1490,22,22,19,12,12,12,11,12,10,10,10,8,9.0,8.0,7.0,6,6,3496,3622,3705,4002,4201,4371,4392,4518,4569,4491,4367,4383,4347.0,4413.0,4722.0,4884,4924,11,11,11,9,8,8,9,8,7,7,6,6,6.0,6.0,4.0,4.0,4.0
42,"Indianapolis, IN",Large,863,866,898,902,930,950,954,969,1026,1058,1081,1057,1082.0,1060.0,1054.0,1065,1060,48,53,51,55,55,57,61,57,47,39,33,31,30.0,30.0,29.0,29,30,930,933,967,971,1001,1023,1028,1044,1105,1139,1165,1138,1165.0,1142.0,1135.0,1147,1142,37,37,37,37,37,37,38,37,34,30,30,29,29.0,30.0,30.0,30.0,30.0
43,"Indio-Cathedral City-Palm Springs, CA",Small,146,146,139,139,136,176,192,234,256,228,160,166,161.0,158.0,154.0,152,149,101,101,101,101,101,101,101,101,101,101,101,101,101.0,101.0,101.0,101,101,39,39,38,37,37,48,52,63,69,62,43,45,43.0,43.0,42.0,41,40,100,100,101,101,101,101,101,101,101,101,101,101,101.0,101.0,101.0,101.0,101.0
44,"Jackson, MS",Small,601,660,732,810,877,923,956,965,954,931,904,875,903.0,890.0,883.0,881,878,79,77,76,69,68,63,60,58,62,66,66,66,60.0,61.0,62.0,63,64,193,212,235,260,281,296,306,310,306,299,290,281,290.0,285.0,283.0,282,282,81,81,79,77,77,77,78,78,80,81,81,81,80.0,80.0,80.0,81.0,82.0
45,"Jacksonville, FL",Large,825,863,858,881,917,970,1003,1039,1043,1037,943,903,896.0,844.0,854.0,849,842,53,54,59,59,56,51,49,44,42,43,57,58,65.0,72.0,70.0,72,72,645,674,671,689,716,758,784,812,815,810,737,706,700.0,660.0,668.0,663,659,47,47,47,48,49,48,45,46,46,46,48,49,49.0,49.0,48.0,48.0,49.0
46,"Kansas City, MO-KS",Large,909,957,936,953,990,995,1025,1003,981,967,966,942,956.0,945.0,939.0,937,933,39,39,45,42,43,46,45,50,55,58,53,52,48.0,49.0,48.0,51,49,1057,1113,1089,1108,1151,1157,1192,1167,1140,1124,1123,1095,1112.0,1099.0,1091.0,1090,1085,34,33,34,34,32,32,31,31,30,32,31,31,31.0,31.0,32.0,32.0,32.0
47,"Knoxville, TN",Medium,747,804,830,843,886,905,896,886,899,910,890,867,875.0,859.0,869.0,860,849,66,64,62,66,67,67,68,70,70,69,71,69,70.0,70.0,66.0,68,70,323,348,359,365,383,391,387,383,389,394,385,375,378.0,371.0,376.0,372,367,71,69,69,70,69,69,70,70,70,69,70,69,69.0,70.0,70.0,70.0,70.0
48,"Lancaster-Palmdale, CA",Small,236,234,251,271,318,352,354,362,386,369,338,394,367.0,359.0,355.0,353,349,97,98,99,99,98,98,98,99,98,100,100,100,100.0,100.0,100.0,100,100,59,59,63,68,80,89,89,91,97,93,85,99,92.0,91.0,89.0,89,88,98,98,98,98,98,97,97,97,97,98,99,97,98.0,98.0,98.0,98.0,99.0
49,"Laredo, TX",Small,232,261,263,279,297,315,323,335,376,459,486,451,467.0,468.0,488.0,498,496,98,97,98,98,99,99,100,100,100,98,96,97,97.0,97.0,96.0,95,95,50,56,57,60,64,68,70,72,81,99,105,97,101.0,101.0,106.0,108,107,99,99,99,99,99,99,100,100,99,97,97,98,97.0,97.0,97.0,97.0,97.0
50,"Las Vegas, NV",Large,803,862,886,920,983,1038,1071,1101,1095,1113,1096,1041,1011.0,972.0,963.0,974,984,57,55,53,50,44,40,36,31,33,31,29,32,38.0,42.0,43.0,42,42,1122,1204,1238,1286,1374,1451,1497,1538,1530,1555,1532,1455,1413.0,1359.0,1346.0,1360,1375,30,28,28,27,26,25,25,25,25,25,25,25,25.0,26.0,26.0,26.0,26.0
51,"Little Rock, AR",Small,488,537,574,642,683,694,754,784,791,845,887,902,896.0,878.0,857.0,853,853,89,88,87,86,84,84,82,79,78,76,73,59,65.0,67.0,69.0,71,69,193,212,226,253,269,274,297,309,312,333,350,356,353.0,346.0,338.0,336,336,81,81,81,78,78,79,79,79,79,77,73,72,73.0,73.0,74.0,74.0,74.0
52,"Los Angeles-Long Beach-Santa Ana, CA",Very large,2042,2035,2021,2013,2028,2051,2069,2038,2033,1951,1905,1819,1797.0,1758.0,1741.0,1731,1711,1,1,1,1,1,1,1,1,1,1,1,3,3.0,3.0,3.0,3,3,15897,15841,15731,15671,15793,15966,16109,15866,15830,15188,14832,14164,13992.0,13685.0,13552.0,13476,13318,1,1,1,1,1,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0
53,"Louisville, KY-IN",Large,936,970,990,1014,1048,1072,1079,1072,1051,1036,1053,994,1035.0,1019.0,1008.0,1015,1048,34,35,36,38,36,34,34,37,39,44,37,40,36.0,35.0,37.0,37,32,768,796,813,832,860,880,885,879,862,850,864,815,849.0,836.0,827.0,833,860,41,43,43,44,44,44,44,44,43,45,45,45,45.0,44.0,45.0,44.0,43.0
54,"Madison, WI",Small,573,613,629,668,697,728,762,790,836,868,879,871,897.0,890.0,898.0,915,911,83,83,84,83,83,83,80,77,75,73,74,67,62.0,61.0,60.0,54,55,178,190,195,207,216,226,236,245,259,269,273,270,278.0,276.0,278.0,284,283,83,84,84,85,85,85,85,85,85,84,82,82,82.0,82.0,82.0,80.0,81.0
55,"McAllen, TX",Medium,314,363,378,389,417,464,506,527,576,611,616,614,631.0,627.0,635.0,647,649,96,95,95,95,95,95,95,95,94,93,92,90,90.0,89.0,89.0,89,89,172,199,207,213,228,254,277,289,315,335,338,336,346.0,343.0,348.0,355,355,84,83,83,83,84,83,81,80,78,75,74,74,74.0,74.0,73.0,71.0,72.0
56,"Memphis, TN-MS-AR",Large,1113,1164,1170,1171,1194,1198,1207,1202,1174,1164,1156,1127,1116.0,1079.0,1069.0,1062,1080,15,12,13,16,16,20,20,21,21,21,22,23,26.0,26.0,27.0,30,29,968,1012,1018,1019,1038,1042,1050,1046,1021,1012,1005,980,971.0,939.0,930.0,923,939,36,36,36,36,36,36,37,36,38,38,38,38,39.0,40.0,40.0,41.0,40.0
57,"Miami, FL",Very large,1181,1226,1312,1346,1409,1391,1400,1380,1347,1321,1293,1204,1191.0,1174.0,1174.0,1180,1169,11,11,9,9,9,10,10,11,12,13,11,11,14.0,15.0,16.0,16,17,4490,4659,4988,5116,5355,5286,5320,5245,5119,5020,4914,4575,4527.0,4462.0,4462.0,4487,4444,5,5,4,4,4,4,4,4,4,4,4,5,5.0,5.0,6.0,6.0,6.0
58,"Milwaukee, WI",Large,1143,1124,1118,1129,1131,1141,1135,1113,1103,1083,1065,1027,1042.0,1016.0,1005.0,998,987,13,18,22,22,27,26,28,30,31,34,36,36,34.0,37.0,38.0,38,41,1139,1120,1114,1125,1127,1136,1131,1109,1099,1078,1061,1023,1038.0,1012.0,1002.0,995,984,28,32,33,33,34,34,34,34,35,36,33,34,36.0,37.0,38.0,38.0,39.0
59,"Minneapolis - St. Paul, MN",Large,1087,1132,1155,1167,1177,1183,1181,1163,1145,1126,1085,1028,1045.0,1041.0,1037.0,1039,1035,16,15,14,17,19,21,24,25,27,30,32,35,33.0,33.0,34.0,33,36,2306,2402,2450,2477,2498,2510,2505,2467,2430,2389,2302,2182,2217.0,2208.0,2200.0,2204,2196,15,15,15,15,15,15,15,15,15,15,15,15,15.0,15.0,15.0,15.0,17.0
60,"Nashville-Davidson, TN",Large,856,922,982,1039,1124,1170,1230,1235,1218,1196,1161,1098,1131.0,1150.0,1194.0,1183,1168,51,45,37,35,29,22,17,18,19,19,20,25,23.0,21.0,13.0,15,18,742,799,851,901,974,1014,1066,1070,1056,1036,1006,951,980.0,997.0,1035.0,1025,1013,43,42,42,41,39,38,36,35,36,37,37,39,38.0,38.0,34.0,34.0,38.0
61,"New Haven, CT",Medium,1053,1090,1098,1115,1148,1135,1133,1114,1096,1090,1072,1004,997.0,970.0,952.0,945,932,23,24,24,24,23,28,29,28,32,33,34,39,40.0,43.0,46.0,48,51,434,449,452,459,473,467,467,459,451,449,441,413,411.0,399.0,392.0,389,384,58,60,59,60,59,61,62,63,65,63,63,65,66.0,67.0,68.0,68.0,68.0
62,"New Orleans, LA",Medium,1235,1230,1215,1210,1210,1222,1222,1114,958,1055,1137,1171,1203.0,1188.0,1166.0,1149,1161,9,10,11,13,14,16,19,28,60,41,25,16,12.0,12.0,18.0,21,19,1079,1075,1061,1057,1057,1068,1068,973,837,922,994,1023,1051.0,1038.0,1019.0,1004,1014,32,34,35,35,35,35,35,40,45,42,39,34,35.0,34.0,36.0,36.0,37.0
63,"New York-Newark, NY-NJ-CT",Very large,1589,1673,1710,1727,1827,1899,1917,1932,1913,1889,1822,1824,1808.0,1784.0,1765.0,1752,1739,5,4,3,4,4,3,3,2,2,2,3,2,2.0,2.0,2.0,2,2,13441,14150,14466,14606,15451,16067,16218,16346,16186,15978,15415,15434,15297.0,15095.0,14927.0,14824,14712,2,2,2,2,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
