,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
10,"Truck occupants f, large",N,N,N,N,N,N,41822,28031,33778,32102,30208,30344,32760,30913,28767,32892,30832,29424,26242,26893,27287,27284,23815,23314,22947,17000,20000,23000,25000,24000,27000,30000
11,Bus occupants,N,N,N,N,N,N,32691,20959,20144,17056,15767,19214,20291,16887,15559,21958,17769,15427,18819,18174,16410,11133,9839,12141,15149,12000,17000,13000,12000,23000,14000,U
12,Pedestrians,N,N,N,N,N,N,104805,88446,89184,94001,91987,85837,81797,77011,68955,85235,77625,77619,70664,69949,67985,64446,60924,70286,68832,59000,70000,69000,76000,66000,65000,70000
13,Pedalcyclists,N,N,N,N,N,N,74903,67088,62691,67916,62489,66572,58158,57802,53379,51290,51160,45277,48011,46378,41086,45439,44012,43481,52395,51000,52000,48000,49000,48000,50000,45000
14,Other incident g,N,N,N,N,N,N,10578,14716,22348,12969,13065,13977,15473,16995,12519,10509,15466,17536,13182,14561,16511,17806,17989,17685,18011,14000,13000,15000,16000,16000,10000,10000
15,"Railroad, total h",N,N,N,N,62246,34304,25143,23468,21383,19121,16812,14440,12558,11767,11459,11700,11643,10985,11103,9264,9194,9550,8797,9669,9062,8023,"(R) 8,378","(R) 8,439","(R) 8,454","(R) 8,732",8731,8962
16,Train accidents,N,N,N,N,665,476,451,326,171,308,262,294,281,183,129,130,275,310,1884,232,346,787,220,309,321,127,110,217,462,328,137,547
17,Highway-rail grade crossing,N,N,N,N,3890,2687,2407,2094,1975,1837,1961,1894,1610,1540,1303,1396,1219,1157,999,1035,1094,1053,1070,1059,990,743,888,1048,971,975,870,1023
18,Tresspassers,N,N,N,N,474,492,560,534,540,509,452,461,474,516,513,444,414,404,395,398,406,420,481,407,432,344,390,366,410,434,422,414
19,Other incident i,N,N,N,N,57217,30649,21725,20514,18697,16467,14137,11791,10193,9528,9514,9730,9735,9114,7825,7599,7348,7290,7026,7894,7319,6809,"(R) 6,990","(R) 6,808","(R) 6,611","(R) 6,995",7302,6978
20,"Transit, total j",N,N,N,N,N,N,54556,52125,55089,52668,58193,57196,55288,56132,55990,55325,56697,53945,20233,19627,20455,19028,20051,22016,24617,26260,25222,22919,23325,24622,24045,U
21,Passenger/Occupant,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,16233,14863,15610,14900,15702,16530,16884,18210,19076,15921,16160,16624,17101,U
22,Employee/Worker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1172,1194,1104,985,1213,1921,1535,1454,1369,1377,1439,1554,1680,U
23,Other incident,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2828,3570,3741,3143,3136,3565,6198,6596,4777,5621,5726,6444,5264,U
24,"Water, total k",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4596,4533,3974,4125,4223,4301,3887,3943,3770,3823,3327,3432,3384,3231
25,Passenger vessel l,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,154,180,222,201,240,241,201,199,210,352,177,459,337,313
26,Freight vessel m,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,220,298,232,297,276,222,220,217,254,232,58,196,225,165
27,Industrial/Other n,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,160,167,157,176,233,165,135,169,153,158,92,157,144,74
28,Recreational boating o,929,927,780,2136,2650,2757,3822,3967,3683,3559,4084,4141,4442,4555,4612,4315,4355,4274,4062,3888,3363,3451,3474,3673,3331,3358,3153,3081,3000,2620,2678,2679
29,"Pipeline, total",N,N,254,231,192,126,76,98,118,111,120,64,127,77,81,108,81,61,49,71,(R) 56,(R) 46,(R) 34,(R) 46,(R) 54,(R) 62,(R) 103,(R) 51,(R) 54,(R) 42,93,49
30,Hazardous liquid pipeline,N,N,21,17,15,18,7,9,38,10,7,11,13,5,6,20,4,10,0,5,16,2,2,10,2,4,3,2,4,6,0,0
31,Gas pipeline,N,N,233,214,177,108,69,89,80,101,113,53,114,72,75,88,77,51,49,66,(R) 40,(R) 44,(R) 32,(R) 36,(R) 52,(R) 58,(R) 100,(R) 49,(R) 50,(R) 36,93,49
32,"Other counts, redundant with above",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
33,"Railroad, injured at public crossing with motor vehicle",N,N,N,3596,3534,2395,2186,1866,1752,1677,1764,1696,1428,1324,1134,1207,1029,995,807,888,921,875,901,843,841,603,718,830,763,778,665,854
34,"Rail, passenger",N,N,N,2790,4786,5392,4872,4755,4481,4725,4760,4300,4002,3877,3470,3532,3812,3847,3628,3430,3374,3512,3430,4107,4028,3866,4282,"(R) 4,486","(R) 4,430","(R) 4,735",4642,487
35,Train accidents,U,U,U,U,U,U,241,82,60,185,138,138,161,87,33,46,150,214,349,114,150,344,86,211,241,67,57,(R) 157,(R) 33,257,86,284
36,Highway-rail grade crossingp,U,U,U,U,U,U,131,96,194,162,157,108,137,159,147,187,120,125,141,193,137,144,183,168,206,165,222,352,283,221,193,317
37,Trespassers,U,U,U,U,U,U,70,U,U,U,U,U,U,U,U,U,52,67,53,50,53,61,57,46,68,60,80,42,80,79,60,70
38,Other incidents,U,U,U,U,U,U,4430,U,U,U,U,U,U,U,U,U,3490,3441,3085,3073,3034,2963,3104,3682,3513,3574,3923,"(R) 3,935","(R) 4,034","(R) 4,178",4303,4208
39,"Rail, freight",N,N,N,51510,57460,28912,20271,18713,16902,14396,12052,10140,8556,7891,7997,8176,7834,7138,7477,5834,5825,6038,5373,5563,5039,4159,"(R) 4,097",3953,"(R) 4,034","(R) 3,997",4091,4083
40,Train accidents,U,U,U,U,471,U,210,U,U,U,U,U,U,U,U,U,128,96,1535,118,201,443,134,99,80,60,53,(R) 60,429,71,51,263
41,Highway-rail grade crossingq,U,U,U,U,3844,U,2276,U,U,U,U,U,U,U,U,U,1099,1032,860,842,957,909,887,891,787,578,667,696,698,754,679,706
42,Trespassers,U,U,U,U,441,U,490,U,U,U,U,U,U,U,U,U,362,337,342,348,353,359,424,361,364,284,310,324,330,355,362,344
43,Other incidents,U,U,U,U,52704,U,17295,U,U,U,U,U,U,U,U,U,6245,5673,4740,4526,4314,4327,3928,4212,3808,3237,"(R) 3,067",2873,2576,"(R) 2,817",2999,2770
44,"Transit, non-rail",N,N,N,N,N,N,40834,39281,40822,39584,42955,42257,40618,40356,42166,42607,42713,40254,14823,14909,14628,14593,14631,16169,16335,17619,16697,14746,15047,15805,16532,U
45,"Transit, rail",N,N,N,N,N,N,13722,12844,14267,13084,15238,14939,14670,15776,13824,12718,13984,13691,5382,4689,5803,4428,5401,5836,8260,8604,8436,8057,8278,8817,7513,U
46,"Water, Vessel-relatedr",N,N,105,97,180,172,175,110,170,171,182,154,254,120,130,152,150,210,102,135,141,116,283,115,118,129,128,99,137,164,98,128
47,"Water, Not related to vessel casualtiess",N,N,U,U,U,U,U,U,1503,1398,1878,1870,1368,1062,579,525,607,524,663,695,537,603,736,615,532,544,622,720,682,589,608,424
