 ,RECEIPTS FROM TAXATION OF    MOTOR FUEL (2),,,,,,,,,OTHER RELATED RECEIPTS,,,
New Hampshire,"    181,836 ",-," 181,836 ",-," 181,836 "," 2,195 "," 179,641 ",-,-, 225 , 107 , 332 ," 179,973 "
New Jersey,"    543,003 ",-," 543,003 ", 885 ," 542,118 ",-," 542,118 ",-,-,-, 273 , 273 ," 542,390 "
New Mexico,"    258,162 ",-," 258,162 ",-," 258,162 ", 588 ," 257,574 ",-,-, 392 ," 26,390 "," 26,782 "," 284,356 "
New    York,"    1,685,872 ",-," 1,685,872 "," 66,348 "," 1,619,524 ",-," 1,619,524 ",-," 2,817 ",-," 31,505 "," 34,322 "," 1,653,846 "
North Carolina,"    1,997,039 ",-," 1,997,039 "," 51,907 "," 1,945,132 "," 32,333 "," 1,912,799 ",-,-,-,-,-," 1,912,799 "
North Dakota," 208,368 "," 2,466 "," 205,901 "," 1,020 "," 204,881 ", 462 ," 204,419 ", 2 , 355 , 130 ," 2,213 "," 2,700 "," 207,119 "
Ohio,"    1,861,322 "," 11,942 "," 1,849,380 "," 16,408 "," 1,832,972 "," 13,805 "," 1,819,167 ",-,-,-,-,-," 1,819,167 "
Oklahoma,"    425,388 ",-," 425,388 "," 3,176 "," 422,212 ", 86 ," 422,126 ",-,-,-," 33,141 "," 33,141 "," 455,267 "
Oregon,"    617,415 ",-," 617,415 ", 328 ," 617,087 "," 16,201 "," 600,886 ",-,-, 441 , 116 , 557 ," 601,442 "
Pennsylvania,"    2,996,461 "," 3,890 "," 2,992,572 "," 5,011 "," 2,987,560 ", 166 ," 2,987,394 ",-, 0 , 612 ," 2,514 "," 3,126 "," 2,990,520 "
Rhode    Island,"    141,628 ",-," 141,628 "," 1,188 "," 140,440 ",-," 140,440 ",-,-,-," 3,979 "," 3,979 "," 144,419 "
South Carolina,"    566,064 "," 2,478 "," 563,586 "," 3,374 "," 560,212 "," 3,568 "," 556,644 ",-," 9,616 ",-,-," 9,616 "," 566,260 "
South Dakota,"    178,357 "," 2,810 "," 175,547 ",-," 175,547 "," 4,560 "," 170,987 ",-,-, 16 ,-, 16 ," 171,003 "
Tennessee,"    817,305 "," 9,478 "," 807,826 "," 9,172 "," 798,654 ",-," 798,654 ",-,-,-," 64,820 "," 64,820 "," 863,474 "
Texas,"    3,535,903 "," 53,485 "," 3,482,418 "," 13,285 "," 3,469,133 "," 23,680 "," 3,445,453 ",-,-,-,-,-," 3,445,453 "
Utah,"    367,271 ",-," 367,271 "," 2,865 "," 364,406 "," 3,587 "," 360,819 ",-,-,-, 908 , 908 ," 361,727 "
Vermont," 121,930 ",-," 121,930 ",-," 121,930 ",-," 121,930 ",-,-,-,-,-," 121,930 "
Virginia," 739,776 "," 4,692 "," 735,083 "," 5,784 "," 729,299 ", 268 ," 729,031 ",-,-, (278)," 44,078 "," 43,800 "," 772,831 "
Washington,"    1,246,446 ",-," 1,246,446 "," 34,726 "," 1,211,720 "," 13,993 "," 1,197,727 ",-,-,-, 587 , 587 ," 1,198,314 "
West Virginia,"    389,958 "," 1,563 "," 388,395 "," 13,425 "," 374,971 ", 81 ," 374,890 ",-,-,-," 7,853 "," 7,853 "," 382,743 "
Wisconsin,"    1,023,146 ",-," 1,023,146 "," 9,712 "," 1,013,434 "," 20,573 "," 992,861 ",-,-,-,-,-," 992,861 "
Wyoming,"    171,309 ", 301 ," 171,007 ", 931 ," 170,076 "," 1,876 "," 168,200 ", 56 ,-,-, 46 , 101 ," 168,302 "
 Total," 42,619,473 "," 159,956 "," 42,459,517 "," 412,352 "," 42,047,165 ","    522,689 ","    41,524,476 ","    1,042 "," 90,895 "," 8,098 ","    1,306,024 "," 1,406,060 "," 42,930,536 "
Percentage,100.0,    0.4 ,    99.6 ,    1. ,    98.7 ,1.2,    97.4 ,-,-,-,-,-,-
