STATE,AGRICULTURE,"AVIATION
(2)","INDUSTRIAL 
              AND 
              COMMERCIAL",CONSTRUCTION,BOATING ,"LAWN & 
            GARDEN ","RECREATIONAL 
            VEHICLE ","MISCELLANEOUS 
              (3)",TOTAL (4)
Nebraska," 9,172 "," 1,556 "," 14,449 "," 6,038 "," 7,806 "," 13,624 "," 13,456 "," 1,807 "," 67,908 "
Nevada, 360 ," 1,582 "," 13,039 "," 5,261 "," 5,683 "," 34,271 "," 24,748 ", 334 ," 85,278 "
New Hampshire, 111 , 921 ," 6,478 ", 885 ," 23,681 "," 12,318 "," 12,408 "," 2,072 "," 58,874 "
New Jersey, 437 ," 2,216 "," 47,785 "," 4,114 "," 29,715 "," 86,499 "," 13,225 "," 2,298 "," 186,289 "
New Mexico," 1,176 "," 1,660 "," 15,560 "," 7,184 "," 5,020 "," 15,319 "," 21,424 ", 75 ," 67,418 "
New    York," 2,169 "," 3,864 "," 104,095 "," 8,242 "," 83,475 "," 122,149 "," 53,577 "," 3,768 "," 381,339 "
North Carolina," 4,813 "," 3,908 "," 39,965 "," 9,950 "," 71,317 "," 92,259 "," 31,399 "," 70,420 "," 324,031 "
North Dakota," 3,490 "," 1,708 "," 9,598 "," 3,829 "," 5,834 "," 3,694 "," 9,794 ", 49 ," 37,996 "
Ohio," 3,704 "," 3,879 "," 52,185 "," 10,951 "," 68,953 "," 123,460 "," 28,026 ", 247 ," 291,405 "
Oklahoma," 3,197 "," 2,685 "," 28,152 "," 6,098 "," 49,261 "," 34,800 "," 32,146 "," 4,738 "," 161,077 "
Oregon," 2,100 "," 4,669 "," 21,109 "," 3,973 "," 12,330 "," 35,375 "," 25,877 "," 1,107 "," 106,540 "
Pennsylvania," 2,890 "," 4,947 "," 51,913 "," 8,122 "," 42,529 "," 113,056 "," 42,351 ", 451 ," 266,259 "
Rhode    Island, 33 , 423 ," 4,492 ", 484 ," 6,233 "," 7,982 "," 1,286 ", 11 ," 20,944 "
South Carolina," 1,232 "," 2,919 "," 18,491 "," 5,355 "," 93,276 "," 45,514 "," 14,328 ", 921 ," 182,036 "
South Dakota," 3,877 "," 1,212 "," 6,635 "," 1,410 "," 5,471 "," 4,722 "," 11,585 ", 41 ," 34,953 "
Tennessee," 1,519 "," 3,236 "," 33,985 "," 12,072 "," 59,795 "," 51,408 "," 30,229 ", 547 ," 192,791 "
Texas," 12,152 "," 16,895 "," 120,416 "," 22,574 "," 124,631 "," 195,765 "," 110,838 "," 5,798 "," 609,069 "
Utah, 760 ," 2,658 "," 13,374 "," 3,120 "," 14,617 "," 16,658 "," 22,014 ", 34 ," 73,235 "
Vermont, 760 , 446 ," 2,765 ", 491 ," 5,754 "," 5,121 "," 5,001 ", 165 ," 20,503 "
Virginia," 1,673 "," 2,852 "," 23,989 "," 5,715 "," 53,047 "," 88,384 "," 27,280 "," 2,318 "," 205,258 "
Washington," 3,750 "," 4,547 "," 32,053 "," 6,327 "," 22,774 "," 58,436 "," 33,911 "," 7,008 "," 168,806 "
West Virginia, 365 , 553 ," 8,982 "," 2,545 "," 6,650 "," 13,683 "," 19,099 ", 771 ," 52,648 "
Wisconsin," 4,506 "," 3,238 "," 30,359 "," 8,495 "," 87,775 "," 44,597 "," 47,482 ", 671 ," 227,123 "
Wyoming, 743 , 916 ," 6,533 "," 2,721 "," 4,342 "," 3,476 "," 21,390 "," 14,914 "," 55,035 "
 Total," 158,844 "," 193,784 "," 1,622,020 "," 367,448 "," 2,065,524 "," 2,801,134 "," 1,443,154 "," 275,552 "," 8,927,460 "
Percentage,1.78 ,2.17 ,18.17 ,4.12 ,23.14 ,31.38 ,16.17 ,3.09 ,100.00 
