FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
Bloomington--Normal,IL,0,31,1,0,0,0,32,0,0,0,2,0,3,13,11,9,3,0,37,26,3,37,15,37,118
Bloomsburg--Berwick,PA,0,12,1,1,0,0,13,0,0,0,0,0,0,1,1,0,0,0,2,14,0,3,11,8,35
Boise City,ID,6,20,3,1,0,0,23,0,0,0,0,0,0,36,10,8,3,1,59,263,15,80,23,9,389
Bonita Springs,FL,3,14,0,0,0,0,14,0,0,0,0,0,0,13,2,1,0,0,16,115,12,37,3,2,170
Boston,MA,0,250,10,9,5,6,279,57,9,6,1,1,75,9,13,33,26,22,104,51,97,"3,411",206,138,"3,903"
Boston,NH,0,8,0,0,0,0,8,1,0,0,0,0,1,6,2,2,1,1,13,9,56,83,1,0,148
Boulder,CO,0,0,0,0,0,0,0,6,1,1,1,0,9,2,0,4,2,1,9,4,5,12,10,15,46
Bowling Green,KY,9,7,0,0,0,0,7,9,0,0,0,0,9,15,2,1,0,0,17,14,3,3,1,1,21
Bremerton,WA,1,0,0,0,0,0,0,38,3,2,0,0,43,9,5,5,3,3,25,26,2,55,21,42,146
Bridgeport--Stamford,CT,0,10,2,1,0,0,14,14,3,2,0,0,19,1,3,8,6,13,31,23,45,79,60,217,424
Bristol--Bristol,TN,5,7,0,0,0,0,7,0,0,0,0,0,0,10,2,2,0,0,14,4,5,5,2,1,18
Bristol--Bristol,VA,2,23,1,0,0,0,24,0,0,0,0,0,0,9,10,12,2,1,35,11,6,8,4,2,31
Brownsville,TX,12,5,0,1,0,0,6,1,0,1,0,0,2,10,6,7,2,2,27,88,40,38,7,17,190
Brunswick,GA,0,13,1,0,0,0,14,0,0,0,0,0,0,18,7,5,2,1,33,12,3,4,1,1,20
Buffalo,NY,1,27,3,3,1,0,34,21,9,10,9,4,52,6,7,6,3,3,25,199,131,123,18,31,501
Burlington,NC,0,18,0,0,0,0,19,0,0,0,0,0,0,5,6,8,3,4,26,17,11,22,5,6,61
Burlington,VT,1,24,1,1,0,0,26,4,1,2,1,0,8,4,3,2,1,2,13,14,16,12,7,3,53
Camarillo,CA,0,0,0,0,0,0,0,5,0,0,0,0,6,0,1,1,1,1,4,19,1,2,0,12,33
Canton,OH,0,10,0,1,0,0,11,9,2,1,0,0,13,10,5,4,4,3,27,57,23,34,41,77,232
Cape Coral,FL,1,13,0,0,0,0,13,3,1,0,0,0,3,32,5,2,1,0,40,113,27,104,4,1,249
Cape Girardeau,IL,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cape    Girardeau,MO,3,10,1,0,0,0,11,1,1,0,0,0,2,3,1,1,0,0,5,0,0,0,0,1,1
Carbondale,IL,0,3,1,0,0,0,4,0,0,0,0,0,0,29,6,3,2,0,40,4,2,25,4,6,41
Carson City,NV,0,2,0,0,0,0,3,2,0,0,0,0,2,6,0,0,0,0,6,13,7,5,1,2,28
Cartersville,GA,0,11,0,0,0,0,12,0,0,0,0,0,0,23,1,1,0,1,27,13,0,0,0,1,15
Casa Grande,AZ,12,10,1,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,7,6,6,1,2,22
Casper,WY,2,9,0,1,1,1,12,2,0,0,0,0,3,14,6,8,5,3,37,45,7,8,3,3,66
Cedar    Rapids,IA,22,17,1,0,0,0,18,0,0,0,0,0,0,19,11,14,8,10,61,0,0,0,0,0,0
Chambersburg,PA,0,11,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Champaign,IL,0,20,0,0,3,0,23,0,0,0,0,0,0,14,11,13,3,3,43,2,6,35,18,11,71
Charleston,WV,8,22,3,2,1,1,28,0,0,0,0,0,0,27,12,16,6,3,63,62,7,57,14,5,144
Charleston--North    Charleston,SC,0,15,3,1,1,0,19,2,0,1,0,0,3,13,11,8,1,1,34,20,51,42,24,6,143
Charlotte,NC,14,101,24,12,4,1,142,3,1,2,1,1,7,72,43,50,17,24,206,59,82,152,70,11,374
Charlotte,SC,0,6,1,0,0,0,7,0,0,0,0,0,0,0,10,7,1,0,19,4,8,8,8,0,28
Charlottesville,VA,2,7,1,0,0,0,8,3,1,1,0,0,6,6,5,6,4,1,22,2,4,9,6,5,26
Chattanooga,GA,0,9,1,0,0,0,10,0,0,0,0,0,0,16,1,1,1,1,19,9,8,8,1,2,27
Chattanooga,TN,44,12,1,0,0,0,14,15,1,2,1,0,19,14,8,4,1,1,29,39,7,14,6,22,88
Cheyenne,WY,2,19,8,4,2,1,33,0,0,0,0,0,0,17,9,8,3,3,39,54,11,15,5,19,105
Chicago,IL,0,245,69,56,2,2,373,17,2,12,2,0,33,329,329,524,233,193,"1,609",336,195,779,638,389,"2,336"
Chicago,IN,108,17,10,6,2,0,36,2,1,1,0,0,4,86,26,35,20,17,185,3,2,0,0,0,5
Chico,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,1,14,2,5,12,10,15,45
Cincinnati,IN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,KY,2,36,2,2,0,0,40,1,0,0,0,0,1,14,8,9,5,7,43,39,20,35,25,12,130
Cincinnati,OH,0,15,2,3,1,0,20,9,3,3,1,0,16,6,5,6,3,5,25,90,67,189,79,98,524
Clarksville,KY,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
Clarksville,TN,7,9,0,0,0,0,9,0,0,0,0,0,0,15,2,1,1,0,18,28,6,5,1,0,41
Cleveland,OH,0,22,3,2,1,0,29,11,3,2,1,0,17,3,3,8,6,9,29,91,68,153,135,236,683
Cleveland,TN,9,8,0,0,0,0,8,4,0,0,0,0,4,12,2,1,0,0,15,11,14,8,0,0,32
Coeur    d'Alene,ID,5,14,1,1,0,0,16,0,0,0,0,0,0,12,1,2,1,1,16,117,25,30,12,5,189
College    Station--Bryan,TX,7,0,0,0,0,0,0,13,1,1,0,0,16,9,4,6,3,1,23,40,21,51,64,25,201
Colorado Springs,CO,0,18,4,3,1,0,26,10,3,3,2,0,19,4,4,17,11,4,40,55,21,63,55,53,247
Columbia,MO,1,7,0,1,0,0,8,8,0,0,0,0,8,5,2,2,1,0,9,6,8,19,9,8,51
Columbia,SC,0,14,9,9,3,0,34,6,0,1,0,0,7,3,11,9,2,1,26,41,65,106,24,10,245
Columbus,AL,14,0,0,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0,7,3,0,0,0,0,3
Columbus,GA,0,10,2,2,0,0,14,11,3,4,1,0,18,32,9,10,6,4,60,8,4,3,1,0,15
Columbus,IN,10,13,1,1,0,0,14,0,0,0,0,0,0,17,4,1,1,1,23,19,1,1,0,0,21
Columbus,OH,0,11,3,3,1,0,18,12,1,1,0,0,15,21,6,7,3,3,41,186,118,166,78,95,642
Concord,CA,0,8,2,1,1,0,11,3,3,1,1,0,9,0,1,3,2,7,13,48,5,42,51,47,193
Concord,NC,2,26,4,2,0,0,32,0,0,0,0,0,0,37,18,9,3,3,70,55,22,37,19,4,137
Conroe--The    Woodlands,TX,19,11,4,2,0,0,16,0,0,0,0,0,0,9,7,4,4,3,27,127,20,70,29,12,258
Conway,AR,16,6,0,0,0,0,6,0,0,0,0,0,0,2,1,1,1,0,5,5,50,14,2,3,73
Corpus    Christi,TX,11,10,1,0,0,0,11,11,3,2,0,0,16,10,4,8,5,9,35,171,65,40,5,0,282
Corvallis,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,1,2,25,55,14,22,1,0,91
Cumberland,MD,0,8,1,0,0,0,9,0,0,0,0,0,0,9,3,1,0,1,15,7,7,11,5,6,36
Cumberland,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,6
Dallas--Fort    Worth--Arlington,TX,9,30,11,8,3,1,52,31,20,22,6,3,82,10,11,20,13,18,73,"1,496",724,"1,306",364,366,"4,256"
Dalton,GA,0,15,0,0,0,0,16,0,0,0,0,0,0,16,4,3,1,1,26,44,10,3,0,1,58
Danbury,CT,0,7,1,2,0,0,10,4,0,0,0,0,5,1,2,2,1,2,9,5,10,31,24,46,116
Danville,IL,0,8,0,0,0,0,8,0,0,0,0,0,0,20,1,7,1,0,29,4,0,3,5,3,16
Daphne--Fairhope,AL,22,9,1,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,10,26,9,3,0,0,39
Davenport,IL,0,39,0,0,0,0,40,0,3,0,0,0,3,24,14,14,7,4,64,18,6,30,30,22,105
Davenport,IA,18,25,3,2,1,0,31,0,0,0,0,0,0,9,7,13,5,6,40,6,0,1,3,1,11
Davis,CA,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,0,1,1,2,3,9,8,3,7,31
Dayton,OH,0,15,3,3,1,0,22,9,1,1,0,0,12,13,8,11,5,3,39,45,38,111,68,50,312
Decatur,AL,13,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,3,0,3
Decatur,IL,0,13,0,0,0,0,13,4,0,1,4,0,9,17,11,21,7,1,58,0,24,25,24,20,92
DeKalb,IL,0,9,0,1,0,0,11,0,0,0,0,0,0,5,3,14,0,0,23,13,8,12,17,1,51
Delano,CA,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,13,1,6,9,4,33
Deltona,FL,0,8,1,0,0,0,10,0,0,0,0,0,0,13,2,1,0,0,17,55,16,60,5,15,150
Denton--Lewisville,TX,4,11,7,8,2,0,29,0,2,2,1,1,6,12,7,11,4,1,35,167,97,99,13,32,408
Denver--Aurora,CO,0,22,15,13,2,1,52,35,9,9,3,0,56,5,9,20,12,5,50,64,40,239,256,97,695
Des Moines,IA,36,39,9,6,1,0,55,0,0,0,0,0,0,37,33,29,15,9,124,8,17,42,21,16,104
Detroit,MI,2,49,12,8,3,0,71,28,7,6,1,1,43,16,22,36,29,39,142,266,5,"1,344",5,706,"2,326"
Dothan,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,0,14,23,1,8,1,0,32
Dover,DE,0,0,0,0,0,0,0,6,1,0,0,0,7,4,1,0,0,0,5,34,11,7,2,1,55
Dover--Rochester,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,2,1,0,8
Dover--Rochester,NH,0,0,0,0,0,0,0,17,1,0,0,0,17,4,1,1,0,0,6,23,28,61,1,1,113
Dubuque,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,0,0,0,3,0,3
Dubuque,IA,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,5,5,26,2,3,7,5,12,28
Duluth,MN,0,3,1,3,2,1,9,0,0,0,0,0,0,12,9,10,3,4,38,30,3,26,12,64,136
Duluth,WI,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,4,2,1,9,4,1,5,5,8,23
Durham,NC,3,40,2,0,0,0,43,22,6,3,0,1,33,21,18,25,14,13,91,27,29,39,16,20,130
East    Stroudsburg,PA,0,10,1,1,1,0,13,0,0,0,0,0,0,1,0,0,0,0,2,0,10,17,6,13,46
Eau Claire,WI,0,4,2,0,0,0,6,6,3,1,0,0,10,6,2,3,1,1,12,9,17,20,25,7,78
El Centro--Calexico,CA,0,4,0,0,0,0,4,0,0,0,0,0,0,3,3,2,2,5,15,15,1,2,7,17,42
Elizabethtown--Radcliff,KY,14,2,0,0,0,0,3,1,0,0,0,0,1,16,3,1,0,0,21,5,2,2,0,0,10
Elkhart,IN,65,0,0,0,0,0,0,1,5,3,0,0,9,24,7,8,3,2,45,1,1,3,0,0,4
Elkhart,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2
Elmira,NY,13,0,0,0,1,0,1,0,0,0,0,0,0,6,1,1,1,1,11,10,17,12,4,1,44
El Paso,NM,1,6,0,0,0,0,6,0,0,0,0,0,0,8,1,1,0,0,11,14,6,10,5,1,35
El Paso,TX,3,15,7,4,1,0,27,17,6,4,1,0,27,18,9,12,4,3,47,194,26,138,80,17,455
El Paso de    Robles (Paso Robles)--Atascadero,CA,0,0,0,0,0,0,0,7,0,0,0,0,8,3,0,1,0,0,4,19,0,11,9,27,66
Erie,PA,0,12,0,0,0,0,12,0,0,0,0,0,0,5,2,4,3,1,15,37,25,20,11,18,111
Eugene,OR,0,14,0,0,0,0,15,11,4,1,0,0,16,17,8,7,3,3,39,224,40,17,7,3,292
Evansville,IN,21,2,2,1,0,0,6,0,0,0,0,0,0,18,9,13,5,3,49,9,1,0,0,0,10
Evansville,KY,13,0,0,0,0,0,0,3,0,0,1,0,4,6,2,5,2,1,16,1,0,0,0,0,2
Fairbanks,AK,0,14,5,4,1,0,24,0,0,0,0,0,0,10,5,4,2,1,22,11,6,10,7,5,40
Fairfield,CA,0,7,0,0,0,0,8,2,0,2,1,0,6,1,1,2,1,1,6,1,0,0,0,41,42
Fargo,MN,0,6,0,0,0,0,6,0,0,0,0,0,0,9,2,2,1,2,16,5,0,8,6,12,32
Fargo,ND,0,13,3,0,0,0,16,0,0,0,0,0,0,1,2,4,1,1,11,11,5,54,10,4,84
Farmington,NM,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,9,16,3,6,7,4,37
Fayetteville,NC,4,11,0,0,0,0,11,13,1,1,0,0,15,50,21,20,7,7,106,63,41,40,12,8,165
Fayetteville--Springdale--Rogers,AR,12,7,1,1,0,0,9,2,0,0,0,0,3,12,2,1,0,0,16,74,101,94,116,35,420
Fayetteville--Springdale--Rogers,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagstaff,AZ,12,14,4,2,0,0,20,0,0,0,0,0,0,5,1,1,0,1,7,4,1,1,0,1,7
Flint,MI,0,28,1,5,4,1,39,7,3,1,0,0,11,2,2,5,5,9,23,132,7,166,1,176,482
Florence,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,8,0,0,0,0,0,0
Florence,SC,0,7,5,0,0,0,12,0,1,0,0,0,2,4,2,2,1,0,9,9,19,36,11,3,79
Fond du Lac,WI,0,1,1,1,0,0,3,0,0,0,0,0,0,1,2,2,0,1,6,10,7,12,12,20,60
Fort    Collins,CO,0,8,2,2,0,0,13,1,2,3,0,0,6,6,2,5,3,1,17,44,43,79,20,6,193
Fort Smith,AR,5,9,0,0,0,0,9,0,0,0,0,0,0,0,1,2,1,1,5,9,42,40,31,46,169
Fort Smith,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,6,0,0,6
Fort Walton    Beach--Navarre--Wright,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,19,65,5,7,0,0,77
Fort Wayne,IN,68,17,5,5,2,1,30,4,1,0,0,0,5,15,3,4,2,1,24,17,1,2,0,0,20
Frederick,MD,0,6,0,0,0,0,7,9,1,0,0,0,10,2,2,2,2,2,10,6,5,14,11,7,42
Fredericksburg,VA,3,12,1,0,0,0,13,0,0,0,0,0,0,14,10,10,3,1,38,10,7,6,4,3,30
Fresno,CA,0,0,0,0,0,0,0,11,5,4,0,0,21,6,2,4,2,3,17,31,55,76,47,93,301
Gadsden,AL,16,13,1,0,0,0,14,0,0,0,0,0,0,17,0,1,0,0,19,15,6,5,5,1,31
Gainesville,FL,0,7,1,0,0,0,8,0,0,0,0,0,0,11,3,1,0,0,15,38,15,13,2,1,68
Gainesville,GA,0,14,0,1,0,0,16,1,0,0,0,0,1,44,6,8,1,2,61,40,13,10,2,1,66
Gastonia,NC,1,22,1,0,0,0,24,8,0,0,0,0,8,12,15,23,9,10,69,38,37,52,18,14,159
Gastonia,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Gilroy--Morgan    Hill,CA,0,0,0,0,0,0,0,7,1,0,0,0,8,0,0,2,0,2,5,4,0,3,0,35,42
Glens Falls,NY,3,10,0,0,0,0,10,0,0,0,0,0,0,5,4,4,1,0,14,1,6,31,21,16,74
Goldsboro,NC,1,8,0,0,0,0,8,9,1,0,0,0,11,11,3,2,1,1,17,26,18,20,7,8,79
Grand Forks,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,7,1,1,2,0,1,5
Grand Forks,ND,0,3,1,2,0,0,6,0,0,0,0,0,0,3,2,3,1,1,9,4,2,8,6,11,31
Grand    Junction,CO,0,17,1,0,0,0,17,0,0,0,0,0,0,6,3,3,1,1,13,15,6,18,37,7,83
Grand    Rapids,MI,0,22,1,2,1,0,27,24,7,6,1,0,38,8,7,11,4,4,35,276,10,192,1,252,731
Grants Pass,OR,0,23,0,0,0,0,24,0,0,0,0,0,0,14,3,4,1,1,23,110,18,11,1,2,140
Great Falls,MT,0,6,0,0,0,0,7,0,0,0,0,0,0,3,3,3,1,2,12,2,1,11,7,15,36
Greeley,CO,0,0,0,0,0,0,0,10,3,1,1,1,15,2,2,4,1,1,11,6,15,36,20,8,85
Green Bay,WI,0,9,8,1,0,0,17,3,3,3,1,0,9,2,1,4,2,3,12,5,15,22,56,42,141
Greensboro,NC,5,39,11,5,0,0,55,30,6,2,0,0,39,21,15,17,5,3,60,52,46,77,31,12,218
Greenville,NC,1,0,0,0,0,0,0,8,0,0,0,0,9,18,4,8,2,2,34,7,13,28,11,10,69
Greenville,SC,0,14,7,2,0,0,23,2,4,1,0,0,7,7,4,11,2,0,24,41,64,119,46,14,283
Gulfport,MS,3,30,1,1,0,0,33,0,0,1,0,0,2,32,10,8,2,3,55,29,22,34,22,26,132
Hagerstown,MD,1,11,2,1,0,0,15,0,0,0,0,0,0,3,2,2,1,1,9,25,5,9,12,11,62
Hagerstown,PA,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Hagerstown,WV,1,9,1,1,0,0,11,0,0,0,0,0,0,3,2,3,2,1,11,20,10,32,1,1,65
Hammond,LA,0,28,1,3,1,0,33,0,0,0,0,0,0,5,2,3,3,2,15,23,11,16,1,2,53
Hanford,CA,0,0,0,0,0,0,0,4,1,1,0,0,6,2,1,1,1,1,6,13,9,20,5,6,52
Hanover,PA,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,5,13,2,2,2,3,23
Harlingen,TX,11,13,1,1,0,0,15,0,0,0,0,0,0,8,5,3,2,1,19,107,15,71,14,39,245
Harrisburg,PA,0,78,6,6,2,1,93,3,2,3,1,0,9,4,5,5,2,2,17,47,38,60,22,15,181
Harrisonburg,VA,5,35,3,1,0,0,39,0,0,0,0,0,0,11,7,6,1,0,26,6,5,6,2,2,22
Hartford,CT,0,21,1,1,0,0,23,16,3,2,1,1,24,4,8,12,5,9,37,24,47,116,98,174,457
Hattiesburg,MS,0,8,1,1,0,0,10,0,0,0,0,0,0,15,2,4,2,3,25,11,11,14,12,16,64
Hazleton,PA,0,1,2,2,0,0,5,0,0,0,0,0,0,2,1,2,1,1,7,8,8,3,5,2,25
Hemet,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,1,15,0,2,16,5,15,38
Hickory,NC,6,36,2,1,0,0,39,6,1,1,0,0,8,47,26,21,7,6,107,87,54,33,15,7,196
High Point,NC,2,17,3,8,1,0,29,15,1,0,0,0,16,12,12,14,7,4,48,31,23,65,15,22,156
Hilton Head    Island,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6,0,0,9,9,0,18
Hinesville,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,1,1,15,18,3,3,0,0,25
Holland,MI,0,11,0,0,0,0,12,0,0,1,1,0,3,11,4,6,3,3,27,38,0,38,0,55,131
Homosassa    Springs--Beverly Hills--Citrus Springs,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,15,46,2,29,65,0,142
Hot Springs,AR,0,0,0,0,0,0,0,5,2,1,0,0,8,2,3,4,2,1,12,4,26,18,46,11,105
Houma,LA,8,0,0,0,0,0,0,8,3,1,1,0,13,6,5,9,4,6,30,61,15,15,18,19,128
Houston,TX,9,15,10,12,4,1,42,22,15,20,7,1,66,37,13,14,9,19,92,"1,128",492,"1,182",493,403,"3,699"
Huntington,KY,33,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,1,0,22,0,0,0,0,0,0
Huntington,OH,0,0,0,0,0,0,0,10,1,0,0,0,11,6,1,1,0,0,9,9,2,4,2,4,20
Huntington,WV,5,9,1,1,0,0,11,0,0,0,0,0,1,16,13,11,5,2,47,28,10,13,2,23,76
