STATE,RURAL ,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,
South Dakota,591 ,290 ,"2,593 ",8 ,1 ,-,-,"3,483 ",88 ,18 ,134 ,0 ,-,-,-,240 ,"3,723 "
Tennessee,573 ,-,"1,677 ",13 ,5 ,-,-,"2,269 ",531 ,162 ,"1,721 ",51 ,13 ,-,2 ,"2,479 ","4,748 "
Texas,"2,001 ",-,"7,374 ",222 ,35 ,-,-,"9,633 ","1,416 ","1,461 ","5,326 ",93 ,49 ,-,3 ,"8,348 ","17,981 "
Utah,684 ,9 ,"1,164 ",435 ,270 ,15 ,-,"2,576 ",253 ,44 ,622 ,80 ,22 ,0 ,3 ,"1,023 ","3,599 "
Vermont,259 ,2 ,306 ,-,0 ,-,-,567 ,62 ,16 ,108 ,4 ,2 ,-,-,191 ,758 
Virginia,469 ,86 ,"1,282 ",10 ,3 ,-,1 ,"1,852 ",653 ,358 ,"1,723 ",53 ,14 ,1 ,0 ,"2,803 ","4,654 "
Washington,429 ,614 ,"1,295 ",11 ,6 ,-,0 ,"2,355 ",335 ,417 ,"1,410 ",26 ,12 ,-,2 ,"2,202 ","4,557 "
West Virginia,309 ,9 ,994 ,-,-,-,-,"1,311 ",245 ,14 ,411 ,1 ,-,-,-,671 ,"1,982 "
Wisconsin,512 ,142 ,"2,927 ",75 ,13 ,-,-,"3,670 ",363 ,328 ,"1,562 ",19 ,13 ,-,-,"2,286 ","5,956 "
Wyoming,808 ,-,"1,983 ",3 ,-,0 ,-,"2,794 ",106 ,3 ,228 ,2 ,0 ,-,0 ,338 ,"3,132 "
U.S. Total,"28,990 ","5,917 ","87,487 ","2,358 ",854 ,17 ,41 ,"125,664 ","19,063 ","11,904 ","62,915 ","2,519 ",510 ,16 ,151 ,"97,078 ","222,743 "
Puerto Rico (1),42 ,-,19 ,-,-,-,-,61 ,240 ,45 ,65 ,1 ,-,-,-,351 ,411 
Grand Total,"29,032 ","5,917 ","87,506 ","2,358 ",854 ,17 ,41 ,"125,725 ","19,303 ","11,949 ","62,980 ","2,520 ",510 ,16 ,151 ,"97,429 ","223,154 "
