, STATE,GENERAL MEASURES,TRAVEL MEASURES," 2010 LAND AREA (1) 
        (SQUARE MILES)", 2010 POPULATION (1),PERSONAL INCOME (2),GROSS STATE PRODUCT (2), ANNUAL VEHICLE-MILES OF TRAVEL (MILLIONS), LANE-MILES, RURAL, URBAN, PERCENT URBAN," RURAL (1,000)"," URBAN (1,000)", PERCENT URBAN.1,TOTAL PER SQUARE MILE,AMOUNT (BILLIONS OF DOLLARS), PER CAPITA,AMOUNT (BILLIONS OF DOLLARS).1, PER CAPITA.1,RURAL,URBAN,TOTAL PER CAPITA, RURAL.1, URBAN.1,ANNUAL VMT,PERCENT TRUCKS (3),ANNUAL VMT.1,PERCENT TRUCKS (3).1
12,Idaho,82144,499,0.6,461,1106,70.6,19,65.0,38629.0,66.0,35455.0,9537,16.4%,7124,6.2%,10629,92209,12627,,,,,,,,,,
13,Illinois,51573,3946,7.1,1477,11354,88.5,231,665.0,51135.0,777.0,53669.0,25030,20.1%,80193,9.3%,8201,195629,110692,,,,,,,,,,
14,Indiana,33301,2525,7.0,1787,4697,72.4,181,286.0,42678.0,336.0,45118.0,28223,16.1%,50596,8.4%,12156,136094,65866,,,,,,,,,,
15,Iowa,54904,953,1.7,1096,1950,64.0,55,145.0,46423.0,174.0,49532.0,19289,15.7%,13872,6.3%,10885,207218,27520,,,,,,,,,,
16,Kansas,80786,973,1.2,736,2117,74.2,35,141.0,47427.0,150.0,46132.0,14980,18.5%,16399,7.8%,10998,255982,31094,,,,,,,,,,
17,Kentucky,38076,1411,3.6,1806,2533,58.4,110,174.0,39271.0,193.0,38865.0,26132,12.7%,22543,9.2%,11217,133493,33095,,,,,,,,,,
18,Louisiana,41236,1968,4.6,1216,3318,73.2,105,203.0,43206.0,239.0,44587.0,18520,20.5%,29660,12.7%,10628,90262,39773,,,,,,,,,,
19,Maine,30483,360,1.2,815,514,38.7,43,59.0,43619.0,57.0,38431.0,10550,9.6%,4080,6.6%,11013,40604,6360,,,,,,,,,,
20,Maryland,7703,2005,20.7,739,5034,87.2,595,345.0,56708.0,365.0,54626.0,10369,8.8%,47146,6.1%,9962,27748,42651,,,,,,,,,,
21,Massachusetts,4813,2987,38.3,526,6022,92.0,839,439.0,63625.0,485.0,64017.0,2822,5.9%,56435,4.8%,9050,12922,63734,,,,,,,,,,
22,Michigan,52916,3623,6.4,2514,7370,74.6,175,439.0,43629.0,468.0,42401.0,29116,7.8%,68727,5.2%,9900,171083,85976,,,,,,,,,,
23,Minnesota,77921,1705,2.1,1418,3886,73.3,67,284.0,51508.0,328.0,53562.0,23452,8.7%,33942,4.9%,10821,236244,48838,,,,,,,,,,
24,Mississippi,45817,1106,2.4,1503,1464,49.3,63,107.0,35169.0,106.0,31504.0,22160,14.8%,17730,7.5%,13443,132166,28351,,,,,,,,,,
25,Missouri,66687,2054,3.0,1771,4218,70.4,87,265.0,42834.0,294.0,43145.0,29444,17.1%,42474,10.3%,12008,218632,54373,,,,,,,,,,
26,Montana,145249,297,0.2,436,553,55.9,7,44.0,41909.0,45.0,39046.0,8529,15.5%,3816,5.7%,12477,144183,8928,,,,,,,,,,
27,Nebraska,76300,524,0.7,491,1336,73.1,24,94.0,48832.0,113.0,52773.0,11383,14.1%,8718,3.5%,11006,176439,15739,,,,,,,,,,
28,Nevada,109014,767,0.7,157,2544,94.2,25,126.0,42348.0,140.0,43126.0,5011,10.5%,20915,5.3%,9600,69935,23048,,,,,,,,,,
29,New Hampshire,8309,644,7.2,523,794,60.3,147,77.0,57106.0,74.0,50162.0,5166,8.2%,7928,5.1%,9946,22513,10750,,,,,,,,,,
30,New Jersey,4435,2920,39.7,468,8324,94.7,1195,551.0,60689.0,568.0,56663.0,4835,8.1%,70558,5.3%,8575,11745,73573,,,,,,,,,,
31,New Mexico,120471,827,0.7,465,1594,77.4,17,81.0,38278.0,93.0,41529.0,15532,26.0%,11903,13.5%,13323,125640,18990,,,,,,,,,,
32,New York,43035,4092,8.7,2350,17028,87.9,411,1193.0,59229.0,1434.0,63390.0,30886,11.1%,96344,6.1%,6566,131405,110132,,,,,,,,,,
33,North Carolina,44009,4609,9.5,3234,6302,66.1,196,424.0,41296.0,495.0,43680.0,37633,9.7%,74246,6.4%,11733,135120,90934,,,,,,,,,,
34,North Dakota,68817,184,0.3,270,403,59.9,10,41.0,54993.0,56.0,67278.0,7291,27.3%,2745,8.4%,14922,172073,4672,,,,,,,,,,
35,Ohio,36440,4420,10.8,2547,8990,77.9,282,518.0,44304.0,611.0,47109.0,33783,14.9%,79890,8.8%,9853,154829,107416,,,,,,,,,,
36,Oklahoma,67288,1307,1.9,1266,2485,66.2,55,179.0,45454.0,186.0,45042.0,21169,22.6%,26544,8.7%,12719,193846,40411,,,,,,,,,,
37,Oregon,94881,1107,1.2,727,3104,81.0,40,184.0,44343.0,218.0,50009.0,14303,22.4%,21695,10.7%,9396,119010,32088,,,,,,,,,,
38,Pennsylvania,40037,4705,10.5,2711,9991,78.7,284,649.0,50503.0,710.0,50540.0,35395,15.0%,65550,7.3%,7947,148947,101480,,,,,,,,,,
39,Rhode Island,633,401,38.8,98,955,90.7,1018,54.0,50655.0,56.0,47413.0,888,10.0%,6945,6.8%,7441,2809,9978,,,,,,,,,,
40,South Carolina,27679,2382,7.9,1558,3068,66.3,154,194.0,38858.0,201.0,36620.0,23610,12.8%,28116,6.8%,11183,118532,41855,,,,,,,,,,
41,South Dakota,75585,226,0.3,353,461,56.7,11,41.0,48410.0,47.0,47785.0,6512,14.7%,2813,8.9%,11452,160360,7423,,,,,,,,,,
42,Tennessee,38330,2905,7.0,2133,4213,66.4,154,287.0,42833.0,316.0,42647.0,25467,13.7%,51203,8.8%,12081,132406,70168,,,,,,,,,,
43,Texas,252486,8746,3.3,3848,21298,84.7,96,1317.0,46948.0,1630.0,54964.0,68889,20.1%,189233,9.2%,10265,425158,252418,,,,,,,,,,
44,Utah,81255,915,1.1,260,2504,90.6,34,123.0,39801.0,148.0,43688.0,8287,32.8%,21317,23.0%,10711,72396,25180,,,,,,,,,,
45,Vermont,9061,156,1.7,382,243,38.9,68,31.0,49144.0,30.0,43122.0,5199,9.8%,2115,7.2%,11688,26150,3119,,,,,,,,,,
46,Virginia,36825,2665,6.7,1964,6037,75.5,203,449.0,52708.0,481.0,51540.0,23602,9.7%,59023,4.8%,10327,98290,64647,,,,,,,,,,
47,Washington,64081,2375,3.6,1073,5652,84.0,101,388.0,52251.0,445.0,55577.0,16514,11.2%,43138,6.8%,8871,114100,52807,,,,,,,,,,
48,West Virginia,23398,640,2.7,950,903,48.7,77,69.0,36920.0,74.0,36817.0,9722,14.4%,10104,11.1%,10700,64485,15441,,,,,,,,,,
49,Wisconsin,52279,1879,3.5,1697,3990,70.2,105,271.0,46608.0,302.0,46893.0,32120,11.1%,29954,9.8%,10915,186362,52247,,,,,,,,,,
50,Wyoming,96899,195,0.2,199,365,64.8,6,33.0,55314.0,40.0,61389.0,6652,19.3%,2945,10.1%,17027,53806,6505,,,,,,,,,,
51,U.S. Total,3425519,106386,3.0,59492,249253,80.7,87,15901.0,48671.0,17920.0,50054.0,928905,,2166468,,10026,6026054,2710533,,,,,,,,,,
52,Puerto Rico,1748,1676,49.0,233,3493,93.8,1088,,,,,1029,0.0%,13535,0.0%,3909,6252,58211,,,,,,,,,,
53,Grand Total,3427267,108062,3.1,59725,252747,80.9,88,,,,,929934,,2180003,,9953,6032305,2768744,,,,,,,,,,
