STATE,OTHER FEDERAL-AID HIGHWAYS  - RURAL ,,,,,,OTHER FEDERAL-AID HIGHWAYS - URBAN ,,,,,,TOTAL OTHER FEDERAL-AID HIGHWAYS 
Rhode Island, 198 ,-, 46 ,-,-, 244 , 276 ,-, 624 , 10 , 5 , 914 ," 1,158 "
South Carolina," 12,881 ", 93 , 17 ,-, 16 ," 13,008 "," 4,236 ", 192 , 222 ,-, 0 ," 4,650 "," 17,658 "
South Dakota," 4,028 "," 10,425 ", 179 , 14 , 729 ," 15,375 ", 45 , 181 , 545 , 12 ,-, 782 ," 16,157 "
Tennessee," 7,758 ", 174 , 13 ,-,-," 7,945 "," 1,529 "," 1,371 "," 3,245 ",-,-," 6,144 "," 14,089 "
Texas," 44,591 "," 1,432 ", 251 , 5 , 76 ," 46,355 "," 8,940 "," 3,243 "," 13,237 ", 87 , 1 ," 25,508 "," 71,864 "
Utah," 2,106 "," 1,568 ", 94 ,-, 110 ," 3,877 ", 197 , 368 ," 1,503 ",-,-," 2,068 "," 5,945 "
Vermont," 1,809 ",-, 912 ,-,-," 2,721 ", 108 ,-, 298 ,-,-, 406 ," 3,127 "
Virginia," 10,268 ",-, 81 ,-, 93 ," 10,442 "," 3,407 ", 271 ," 2,209 ", 0 , 261 ," 6,148 "," 16,590 "
Washington," 3,164 "," 6,533 ", 186 , 8 , 219 ," 10,111 ", 317 ," 1,802 "," 3,506 ", 9 , 4 ," 5,636 "," 15,748 "
West Virginia," 6,674 ",-, 3 ,-,-," 6,677 "," 1,641 ",-, 266 ,-,-," 1,907 "," 8,584 "
Wisconsin," 5,926 "," 10,045 ", 775 ,-,-," 16,746 ", 490 ," 1,310 "," 4,132 ",-,-," 5,932 "," 22,678 "
Wyoming," 3,116 ", 543 , 4 ,-, 293 ," 3,956 ", 118 , 222 , 445 , 8 ,-, 793 ," 4,749 "
U.S. Total," 305,686 "," 216,105 "," 11,084 "," 2,866 "," 5,902 "," 541,642 "," 62,624 "," 61,490 "," 132,700 ", 770 , 599 ," 258,182 "," 799,825 "
Puerto Rico (4), 481 ,-, 1 ,-, 17 , 499 ," 2,361 ",-, 221 ,-, 7 ," 2,589 "," 3,088 "
Grand Total," 306,167 "," 216,105 "," 11,085 "," 2,866 "," 5,919 "," 542,141 "," 64,985 "," 61,490 "," 132,921 ", 770 , 606 ," 260,771 "," 802,913 "
