YEAR,NET INCOME,,,,,,,,,,,,,,EXPENDITURES,CLOSING BALANCE
,FROM EXCISE TAXES,,,,,,,,,,,,,TOTAL (2),,
1968,"2,902,875",-,"208,173","3,111,048","468,283","18,604","25,362","509,958","98,495","81,714","80,520","4,393,984","33,503","4,427,486","4,171,110","981,572"
1969,"2,961,908",-,"218,906","3,180,813","551,425","28,285","30,108","540,846","129,320","82,842","93,537","4,637,176","52,654","4,689,830","4,150,575","1,520,827"
1970,"4,329,363",-,"263,165","3,692,527","588,479","26,126","28,032","699,927","136,806","94,521","87,209","5,353,627","115,410","5,469,037","4,378,253","2,611,611"
1971,"3,640,149",-,"294,208","3,934,357","576,446","22,909","30,392","692,459","148,030","51,790","85,173","5,541,556","183,877","5,725,433","4,685,348","3,651,696"
1972,"3,601,356",-,"291,858","3,893,214","631,746","23,820","26,817","436,490","150,507","73,135","86,693","5,322,423","205,630","5,528,053","4,690,217","4,489,531"
1973,"3,821,528",-,"337,139","4,158,666","720,771","28,803","31,483","380,395","161,583","80,025","103,728","5,665,454","246,740","5,912,194","4,811,036","5,590,688"
1974,"3,906,613",-,"394,682","4,301,294","837,716","33,383","24,131","614,132","225,193","94,004","130,455","6,260,309","414,667","6,674,976","4,599,013","7,666,652"
1975,"3,937,822",-,"402,339","4,340,161","744,306","32,814","20,356","601,623","221,459","84,287","143,167","6,188,173","585,654","6,773,827","4,843,089","9,597,390"
1976,"3,872,095",-,"346,509","4,218,605","545,922","24,966","23,352","219,229","209,271","55,965","115,841","5,413,150","586,714","5,999,864","6,520,603","9,076,650"
Transit Quarter (4),"1,109,770",-,"115,770","1,225,540","210,097","8,439","6,952","50,171","109,877","25,558","39,427","1,676,060","13,372","1,689,433","1,757,560","9,008,523"
1977,"4,253,584",-,"453,814","4,707,398","757,995","30,059","24,916","708,127","239,700","76,321","164,714","6,709,231","593,068","7,302,299","6,147,175","10,163,646"
1978,"4,237,756",-,"484,611","4,722,367","761,476","31,454","25,424","850,519","245,546","80,181","187,469","6,904,434","662,160","7,566,594","6,057,737","11,672,503"
1979,"4,337,090",-,"497,260","4,834,349","808,760","37,733","20,457","943,579","235,333","83,872","224,730","7,188,812","857,286","8,046,098","7,154,141","12,564,460"
1980,"3,897,059",-,"522,553","4,419,613","633,298","26,238","21,094","912,200","277,419","76,901","253,062","6,619,826","1,027,484","7,647,310","9,212,311","10,999,460"
1981,"3,889,052",-,"560,972","4,450,024","599,418","25,966","19,094","664,228","236,654","75,832","233,711","6,304,926","1,128,819","7,433,745","9,173,762","9,259,443"
1982,"4,120,014",-,"594,083","4,714,097","625,896","22,552","23,402","724,563","332,813","76,181","224,176","6,743,679","1,078,502","7,822,181","8,035,206","9,046,417"
1983 (5), , , , , , , , , , , , , , , , 
 Highways,"5,612,640","27,573","889,973","6,530,185","577,311","19,559","19,001","338,403","235,883","8,847","47,826","7,777,016","1,075,821","8,852,837","8,837,637","9,061,618"
 Transit,"448,201","3,427","68,016","519,644",-,-,-,-,-,-,-,"519,644","2,547","522,191","3,131","519,059"
 Total,"6,060,841","31,000","957,989","7,049,829","577,311","19,559","19,001","338,403","235,883","8,847","47,826","8,296,660","1,078,368","9,375,028","8,840,768","9,580,677"
1984 (5), , , , , , , , , , , , , , , , 
 Highways,"7,561,659","137,282","1,470,064","9,169,005","319,747","8,052","3,801","864,824","179,665","-10,155","-28,359","10,506,579","1,026,535","11,533,114","10,384,239","10,210,493"
 Transit,"1,058,698","17,183","160,164","1,236,045",-,-,-,-,-,-,-,"1,236,045","89,141","1,325,186","233,196","1,611,049"
 Total,"8,620,357","154,465","1,630,228","10,405,050","319,747","8,052","3,801","864,824","179,665","-10,155","-28,359","11,742,624","1,115,676","12,858,300","10,617,435","11,821,542"
1985 (5), , , , , , , , , , , , , , , , 
 Highways,"7,463,817","123,805","2,224,847","9,812,469","223,651",-861,-781,"1,395,706","378,592","-9,747",965,"11,799,995","1,106,451","12,906,447","12,756,149","10,360,790"
 Transit,"998,266","47,117","168,357","1,213,740",-,-,-,-,-,-,-,"1,213,740","206,226","1,419,966","506,998","2,524,016"
 Total,"8,462,083","170,922","2,393,204","11,026,209","223,651",-861,-781,"1,395,706","378,592","-9,747",965,"13,013,735","1,312,677","14,326,413","13,263,147","12,884,806"
1986 (5), , , , , , , , , , , , , , , , 
 Highways,"7,655,589","145,523","2,452,925","10,254,037","319,545",686,-238,"1,144,460","532,791",-622,757,"12,251,415","1,054,143","13,305,558","14,180,359","9,485,989"
 Transit,"852,855","71,727","188,072","1,112,654",-,-,-,-,-,-,-,"1,112,654","282,769","1,395,423","632,563","3,286,877"
 Total,"8,508,444","217,250","2,640,997","11,366,691","319,545",686,-238,"1,144,460","532,791",-622,757,"13,364,069","1,336,912","14,700,981","14,812,922","12,772,866"
