,STATE,RURAL,URBAN,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL.1,INTERSTATE.1,OTHER FREEWAYS AND EXPRESSWAYS.1,OTHER PRINCIPAL ARTERIAL.1,MINOR ARTERIAL.1,MAJOR COLLECTOR.1,MINOR COLLECTOR.1,LOCAL.1,TOTAL.2
14,Indiana,0.76,0.41,2.54,2.47,2.72,1.16,2.0,1.85,0.36,0.43,0.72,0.54,0.54,0.24,0.74,0.59,0.0,,
15,Iowa,0.42,,1.11,1.61,1.69,1.59,1.95,1.19,0.45,,0.66,0.65,0.09,,1.2,0.65,0.0,,
16,Kansas,0.56,1.04,3.68,1.28,1.28,2.37,3.17,1.84,0.35,0.26,1.33,0.4,0.05,2.18,0.76,0.48,0.0,,
17,Kentucky,0.64,2.18,2.43,1.95,4.81,3.71,2.36,2.27,0.33,1.26,1.27,0.46,0.19,7.55,1.33,0.74,0.0,,
18,Louisiana,0.67,1.47,1.39,2.34,2.88,3.12,3.18,1.91,0.64,0.52,1.47,1.43,1.25,6.43,2.23,1.23,0.01,,
19,Maine,0.22,,1.7,1.08,1.63,1.27,1.62,1.23,0.0,0.0,1.03,0.81,0.52,0.0,1.34,0.64,0.0,,
20,Maryland,0.29,,0.36,0.38,0.63,0.11,0.59,0.41,0.22,0.08,0.42,0.59,0.34,2.24,0.64,0.35,0.53,,
21,Massachusetts,0.25,3.13,1.48,0.43,0.56,2.42,0.53,0.67,0.29,0.12,0.85,0.69,0.5,,0.45,0.51,0.0,,
22,Michigan,0.78,0.59,2.74,2.28,1.65,2.71,4.32,1.95,0.24,0.37,0.84,0.55,0.38,46.17,0.72,0.55,0.02,,
23,Minnesota,0.36,33.16,0.82,1.64,1.59,1.93,1.27,1.17,0.17,0.14,0.68,0.58,0.47,0.0,0.31,0.4,0.0,,
24,Mississippi,0.82,,2.6,7.43,0.0,16.58,1.24,2.52,1.01,0.89,0.52,0.39,0.0,16.37,0.94,0.67,0.0,,
25,Missouri,0.7,0.68,2.46,2.2,3.02,1.74,1.49,1.69,0.57,0.72,1.94,1.02,1.11,2.07,0.5,0.87,0.0,,
26,Montana,1.17,,2.52,3.04,3.99,1.79,2.57,2.33,0.34,,0.66,0.0,0.24,3.71,1.32,0.63,0.01,,
27,Nebraska,0.67,0.71,2.04,2.11,0.93,0.42,3.11,1.52,0.2,0.25,1.35,0.76,0.16,0.0,1.79,0.84,0.0,,
28,Nevada,1.18,,3.05,3.35,2.7,0.43,1.39,2.1,0.58,0.77,1.97,1.58,8.88,0.73,0.46,1.02,0.02,,
29,New Hampshire,0.29,0.7,1.55,1.35,1.11,0.62,4.7,1.28,0.52,0.0,0.91,0.42,0.46,,1.14,0.61,0.0,,
30,New Jersey,0.51,1.64,1.7,1.36,1.95,1.8,1.25,1.32,0.34,0.4,0.97,1.08,1.12,0.28,0.18,0.64,0.06,,
31,New Mexico,1.09,,1.22,0.77,0.67,1.74,0.77,1.02,0.84,8.69,1.01,0.99,0.44,1.87,1.08,1.0,0.07,,
32,New York,0.59,4.27,3.34,1.91,0.62,0.09,3.77,1.46,0.24,0.18,0.92,0.41,0.31,12.6,2.05,0.7,0.0,,
33,North Carolina,0.95,2.16,9.82,0.78,1.11,1.17,1.14,2.42,0.35,0.54,0.65,0.21,0.25,0.0,1.61,0.63,0.0,,
34,North Dakota,0.79,,1.58,2.87,1.99,,1.46,1.67,0.85,,0.35,0.16,0.0,,0.2,0.33,0.0,,
35,Ohio,0.3,0.59,1.58,1.79,2.16,2.4,1.83,1.46,0.43,0.63,0.83,1.24,1.19,0.89,0.5,0.76,0.01,,
36,Oklahoma,0.72,,1.55,2.71,2.62,0.59,2.18,1.85,0.85,0.45,1.19,0.97,0.55,2.62,1.13,0.95,0.0,,
37,Oregon,0.8,,2.49,3.19,4.34,1.68,1.67,2.19,0.11,0.0,1.11,0.89,0.72,1.49,0.24,0.61,0.0,,
38,Pennsylvania,0.46,0.05,2.43,2.08,2.67,2.36,3.13,1.74,0.47,0.38,1.14,1.07,0.07,,1.33,0.8,0.06,,
39,Rhode Island,0.33,0.0,0.45,2.92,0.0,0.0,9.28,0.79,0.48,0.59,0.6,0.29,0.0,0.0,2.08,0.55,0.0,,
40,South Carolina,1.19,11.28,3.87,7.13,1.02,15.11,2.02,2.96,0.41,2.38,1.27,1.28,0.14,94.96,0.64,0.99,0.0,,
41,South Dakota,1.13,0.73,2.13,1.52,2.26,2.06,3.06,1.74,0.84,1.57,0.41,0.61,0.35,,1.41,0.71,0.0,,
42,Tennessee,0.74,,1.65,2.62,3.1,1.98,2.92,1.88,0.61,0.52,1.25,1.2,1.12,3.06,0.58,0.93,0.0,,
43,Texas,1.37,105.83,2.16,3.19,2.98,2.78,0.02,2.17,0.82,0.77,0.99,0.4,0.15,0.0,0.0,0.64,0.31,,
44,Utah,1.07,11.73,1.35,1.41,2.09,0.6,0.43,1.25,0.46,1.45,1.12,1.03,1.21,0.43,0.34,0.74,0.05,,
45,Vermont,0.33,0.0,1.7,0.51,1.05,1.83,1.18,0.92,0.74,0.0,0.82,0.0,0.36,0.0,0.0,0.43,0.0,,
46,Virginia,0.88,1.84,2.24,2.09,3.5,1.51,2.63,2.03,0.26,0.23,0.48,0.71,0.66,0.36,0.41,0.44,0.02,,
47,Washington,0.56,1.48,2.41,1.55,2.82,1.21,3.11,1.74,0.37,0.58,0.84,0.82,0.78,0.0,0.61,0.64,0.01,,
48,West Virginia,0.96,6.85,1.23,2.49,2.91,1.52,2.51,1.95,0.31,2.38,0.85,1.38,0.09,18.8,0.54,0.77,0.0,,
49,Wisconsin,0.35,0.47,1.42,1.37,1.18,1.26,1.37,1.12,0.19,0.19,0.85,1.06,0.2,5427.81,1.16,0.68,0.0,,
50,Wyoming,0.95,,2.52,2.24,3.51,0.56,2.4,1.79,0.74,0.0,0.63,0.0,0.5,0.0,1.79,0.82,0.02,,
51,U.S. Total,0.81,2.85,2.33,2.31,2.19,1.7,1.85,1.84,0.45,0.48,1.1,0.79,0.48,2.04,0.71,0.71,0.09,,
52,Puerto Rico (2),4.6,,30.62,21.89,3.35,12782.55,12862.56,18.36,0.51,0.11,1.49,0.62,1.22,2941.2,127.0,0.89,0.0,,
53,Grand Total,0.82,2.86,2.36,2.35,2.19,1.76,1.86,1.85,0.45,0.47,1.1,0.79,0.49,2.07,0.71,0.71,0.09,,
