State,PAYMENTS INTO  THE HIGHWAY ACCOUNT ,,,,,,,,,," Cumulative 
  Payments  
Nevada,"288,818 ","314,866 ","273,745 ","253,710 ","251,430 ","261,081 ","283,372 ","256,840 ","278,953 ","282,188 ","6,231,945 "
New Hampshire,"139,652 ","141,331 ","135,345 ","131,750 ","132,949 ","137,078 ","145,474 ","131,314 ","139,884 ","144,420 ","3,773,224 "
New Jersey,"950,962 ","982,550 ","910,174 ","870,857 ","864,243 ","879,022 ","956,043 ","848,476 ","899,143 ","935,638 ","25,772,822 "
New Mexico,"305,022 ","326,560 ","280,178 ","258,835 ","268,995 ","283,594 ","343,342 ","309,542 ","321,624 ","344,248 ","7,817,194 "
New York,"1,324,552 ","1,341,636 ","1,223,182 ","1,199,984 ","1,221,504 ","1,287,537 ","1,377,399 ","1,233,252 ","1,287,919 ","1,359,417 ","39,145,239 "
North Carolina,"1,017,538 ","1,051,100 ","946,919 ","909,614 ","912,879 ","977,234 ","1,059,611 ","936,598 ","1,006,725 ","1,043,388 ","26,951,346 "
North Dakota,"107,743 ","109,008 ","98,218 ","103,024 ","108,638 ","131,118 ","184,211 ","187,958 ","206,223 ","227,118 ","3,452,447 "
Ohio,"1,319,071 ","1,335,416 ","1,179,086 ","1,143,954 ","1,121,130 ","1,213,347 ","1,337,208 ","1,206,182 ","1,290,442 ","1,347,937 ","36,409,499 "
Oklahoma,"525,607 ","538,021 ","493,590 ","504,509 ","472,069 ","526,705 ","580,671 ","545,853 ","587,305 ","628,817 ","15,068,168 "
Oregon,"411,189 ","424,654 ","377,759 ","362,037 ","368,176 ","389,048 ","427,016 ","379,981 ","405,942 ","424,502 ","11,297,473 "
Pennsylvania,"1,303,215 ","1,328,157 ","1,174,199 ","1,140,487 ","1,158,416 ","1,238,977 ","1,382,364 ","1,234,834 ","1,309,804 ","1,352,177 ","37,352,514 "
Rhode Island,"81,285 ","81,057 ","75,643 ","74,876 ","74,049 ","78,575 ","82,006 ","71,439 ","76,271 ","83,291 ","2,469,924 "
South Carolina,"596,969 ","627,649 ","565,074 ","554,898 ","583,364 ","602,030 ","680,323 ","600,695 ","645,416 ","662,837 ","15,732,910 "
South Dakota,"123,271 ","127,134 ","116,437 ","113,718 ","120,878 ","130,009 ","147,768 ","141,963 ","144,495 ","155,122 ","3,424,657 "
Tennessee,"819,740 ","833,578 ","740,664 ","713,415 ","700,014 ","761,658 ","841,291 ","752,436 ","797,861 ","842,500 ","21,492,546 "
Texas,"2,954,981 ","3,202,376 ","2,921,406 ","2,896,992 ","2,851,077 ","3,065,891 ","3,506,944 ","3,266,787 ","3,607,265 ","4,013,889 ","78,896,697 "
Utah,"286,304 ","317,353 ","288,438 ","272,354 ","270,959 ","283,718 ","352,788 ","297,597 ","324,994 ","339,882 ","7,436,519 "
Vermont,"72,100 ","74,545 ","68,165 ","64,746 ","64,523 ","67,904 ","72,656 ","65,328 ","70,602 ","69,824 ","2,108,936 "
Virginia,"961,172 ","987,250 ","906,546 ","856,996 ","856,743 ","921,824 ","960,364 ","904,086 ","951,853 ","994,329 ","24,689,058 "
Washington,"619,421 ","640,626 ","588,698 ","560,690 ","567,226 ","594,791 ","650,827 ","589,424 ","643,513 ","665,355 ","16,735,677 "
West Virginia,"225,292 ","229,209 ","201,315 ","188,452 ","200,621 ","219,453 ","237,244 ","215,040 ","222,168 ","227,838 ","6,570,324 "
Wisconsin,"612,868 ","637,934 ","574,955 ","563,903 ","559,794 ","607,684 ","653,974 ","609,824 ","630,964 ","696,666 ","17,326,803 "
Wyoming,"167,566 ","174,748 ","151,489 ","149,347 ","140,614 ","158,764 ","172,045 ","171,335 ","173,546 ","187,619 ","4,221,966 "
 Total,"33,712,281 ","34,899,255 ","31,341,702 ","30,126,399 ","30,174,795 ","31,984,265 ","35,165,051 ","31,815,513 ","34,084,706 ","35,764,446 ","903,365,779 "
American Samoa, -, -, -, -, -, -, -, -, -, -, -
Guam, -, -, -, -, -, -, -, -, -, -, -
N. Marianas, -, -, -, -, -, -, -, -, -, -, -
Puerto Rico, -, -, -, -, -, -, -, -, -, -, -
Virgin Islands, -, -, -, -, -, -, -, -, -, -, -
 Grand Total,"33,712,281 ","34,899,255 ","31,341,702 ","30,126,399 ","30,174,795 ","31,984,265 ","35,165,051 ","31,815,513 ","34,084,706 ","35,764,446 ","903,365,779 "
