STATE,INTERSTATE ,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,,MINOR  ARTERIAL ,,,,,
,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL
Oklahoma,427 ,220 ,646 ,-,-,-,-,-,-,"1,988 ",-,-,264 ,-,"2,252 ","2,659 ",1 ,5 ,-,-,"2,665 "
Oregon,495 ,-,495 ,-,-,-,-,-,-,"2,643 ",15 ,-,-,-,"2,658 ","1,810 ",382 ,1 ,0 ,32 ,"2,225 "
Pennsylvania,857 ,255 ,"1,112 ",332 ,-,-,26 ,-,357 ,"1,555 ",-,8 ,-,0 ,"1,563 ","4,489 ",1 ,32 ,0 ,21 ,"4,543 "
Rhode Island,18 ,-,18 ,11 ,-,-,-,-,11 ,97 ,-,-,-,-,97 ,72 ,-,0 ,-,-,72 
South Carolina,546 ,-,546 ,45 ,-,-,-,-,45 ,"1,546 ",0 ,-,-,-,"1,546 ","2,973 ",2 ,6 ,-,4 ,"2,986 "
South Dakota,591 ,-,591 ,291 ,-,-,-,-,291 ,"2,586 ",-,-,-,6 ,"2,593 ","2,926 ",-,0 ,-,36 ,"2,962 "
Tennessee,573 ,-,573 ,-,-,-,-,-,-,"1,737 ",-,-,-,-,"1,737 ","2,938 ",28 ,4 ,-,-,"2,969 "
Texas,"2,001 ",-,"2,001 ",-,-,-,4 ,-,4 ,"8,417 ",18 ,2 ,0 ,-,"8,438 ","10,379 ",54 ,32 ,-,-,"10,465 "
Utah,684 ,-,684 ,9 ,-,-,-,-,9 ,"1,152 ",-,-,-,12 ,"1,164 ","1,258 ",41 ,5 ,-,17 ,"1,321 "
Vermont,259 ,-,259 ,2 ,-,-,-,-,2 ,301 ,-,11 ,-,-,312 ,702 ,-,26 ,-,-,728 
Virginia,469 ,-,469 ,88 ,-,-,-,-,88 ,"1,297 ",-,-,-,-,"1,297 ","3,067 ",-,31 ,-,86 ,"3,183 "
Washington,429 ,-,429 ,614 ,-,-,-,-,614 ,"1,310 ",2 ,-,-,-,"1,312 ","1,683 ",287 ,10 ,1 ,41 ,"2,021 "
West Virginia,264 ,45 ,309 ,9 ,-,-,-,-,9 ,995 ,-,-,-,-,995 ,"1,310 ",-,-,-,-,"1,310 "
Wisconsin,512 ,-,512 ,142 ,-,-,-,-,142 ,"2,920 ",10 ,-,-,-,"2,931 ","4,611 ",134 ,1 ,-,-,"4,746 "
Wyoming,808 ,-,808 ,-,-,-,-,-,-,"1,922 ",-,-,-,62 ,"1,983 ",951 ,1 ,-,-,275 ,"1,227 "
U.S. Total,"27,630 ","1,360 ","28,990 ","5,870 ",2 ,3 ,73 ,-,"5,948 ","88,774 ",370 ,73 ,315 ,86 ,"89,618 ","123,959 ","6,950 ",697 ,219 ,"1,191 ","133,016 "
Puerto Rico (4),31 ,-,31 , , , , , ,-,53 , , , , ,53 ,231 , ,1 , , ,232 
Grand Total,"27,661 ","1,360 ","29,021 ","5,870 ",2 ,3 ,73 ,-,"5,948 ","88,827 ",370 ,73 ,315 ,86 ,"89,671 ","124,190 ","6,950 ",698 ,219 ,"1,191 ","133,248 "
