,STATE,INTERSTATE SYSTEM,OTHER  ARTERIALS ,OTHER ,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL,MOTOR- CYCLES .1,PASSENGER CARS .1,LIGHT TRUCKS .1, BUSES .1,SINGLE-UNIT TRUCKS .1,COMBINATION TRUCKS .1,TOTAL.1,MOTOR- CYCLES .2,PASSENGER CARS .2,LIGHT TRUCKS .2, BUSES .2,SINGLE-UNIT TRUCKS .2,COMBINATION TRUCKS .2,TOTAL.2
40,South Carolina,0.20,67.80,12.50,0.90,2.80,15.80,100.00,0.30,75.20,15.50,0.60,3.60,4.80,100.00,0.50,74.60,14.80,1.80,3.90,4.40,100.00,,,
41,South Dakota,0.90,55.50,21.10,0.20,3.00,19.30,100.00,1.70,55.60,29.20,0.10,2.80,10.60,100.00,2.00,53.50,36.70,0.10,2.50,5.20,100.00,,,
42,Tennessee,0.70,52.10,15.90,0.60,3.60,27.10,100.00,0.90,65.50,24.40,0.10,3.20,5.90,100.00,0.60,68.50,27.20,0.00,1.80,1.90,100.00,,,
43,Texas,0.20,48.56,20.28,0.35,3.85,26.76,100.00,0.31,54.32,27.56,0.32,4.79,12.70,100.00,0.25,53.18,32.46,0.38,5.38,8.35,100.00,,,
44,Utah,0.64,35.47,22.74,0.65,14.45,26.05,100.00,0.49,45.59,23.98,0.85,15.75,13.34,100.00,0.51,51.18,22.54,0.64,15.85,9.28,100.00,,,
45,Vermont,0.82,69.25,17.13,1.15,6.95,4.70,100.00,2.27,66.62,21.64,0.75,5.97,2.75,100.00,1.51,65.56,24.47,0.59,6.35,1.52,100.00,,,
46,Virginia,0.28,65.38,15.18,0.73,1.49,16.94,100.00,0.40,70.70,21.43,0.59,1.74,5.14,100.00,0.48,70.49,24.81,0.64,1.86,1.72,100.00,,,
47,Washington,0.20,58.79,26.10,0.35,3.05,11.51,100.00,0.42,56.53,32.68,0.30,4.01,6.06,100.00,1.04,55.74,34.18,0.27,4.61,4.16,100.00,,,
48,West Virginia,0.38,54.31,17.22,1.09,5.23,21.77,100.00,0.80,62.25,24.77,0.89,6.45,4.84,100.00,0.90,63.05,27.39,0.84,5.91,1.91,100.00,,,
49,Wisconsin,0.33,70.67,13.34,0.82,3.12,11.72,100.00,0.55,69.21,17.65,0.78,3.81,8.00,100.00,0.64,65.75,25.73,0.75,5.01,2.12,100.00,,,
50,Wyoming,0.47,33.77,34.22,0.31,2.09,29.14,100.00,0.49,42.87,44.01,0.38,3.22,9.03,100.00,0.24,42.05,46.55,0.28,3.16,7.72,100.00,,,
51,Puerto Rico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
