STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL LANE KILOMETERS
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR (2),LOCAL (2),TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL (2),TOTAL,
New Hampshire,913 ,59 ,"1,084 ","2,033 ","3,356 ","3,433 ","25,352 ","36,231 ",694 ,507 ,885 ,"1,725 ","1,738 ",-,"11,750 ","17,300 ","53,531 "
New Jersey,447 ,283 ,586 ,974 ,"2,499 ","1,075 ","13,037 ","18,901 ","4,338 ","4,044 ","9,559 ","13,071 ","9,589 ","1,339 ","76,465 ","118,404 ","137,306 "
New Mexico,"5,522 ",-,"9,778 ","7,614 ","14,718 ","10,142 ","154,423 ","202,197 ","1,202 ",80 ,"4,235 ","3,038 ","2,899 ","1,012 ","18,095 ","30,561 ","232,758 "
New York,"5,277 ",769 ,"7,593 ","9,550 ","18,060 ","30,082 ","140,145 ","211,476 ","7,701 ","6,113 ","14,891 ","20,860 ","18,222 ",752 ,"108,700 ","177,240 ","388,716 "
North Carolina,"3,655 ","2,611 ","7,581 ","10,591 ","24,321 ","19,422 ","149,273 ","217,454 ","6,092 ","3,179 ","11,688 ","14,400 ","11,546 ","1,419 ","98,019 ","146,344 ","363,798 "
North Dakota,"3,291 ",-,"11,214 ","8,099 ","38,591 ",-,"215,731 ","276,925 ",406 ,-,969 ,"1,061 ","1,072 ",-,"4,012 ","7,519 ","284,445 "
Ohio,"4,824 ","2,127 ","6,710 ","8,704 ","35,870 ","20,192 ","170,747 ","249,172 ","8,318 ","3,927 ","13,060 ","17,415 ","20,136 ","2,031 ","107,980 ","172,869 ","422,041 "
Oklahoma,"4,178 ",-,"10,726 ","9,441 ","68,439 ","9,612 ","209,568 ","311,965 ","2,231 ","1,523 ","6,735 ","8,884 ","5,171 ",403 ,"40,089 ","65,035 ","377,000 "
Oregon,"3,252 ",-,"9,506 ","7,314 ","26,312 ","25,870 ","119,274 ","191,528 ","1,784 ",403 ,"4,417 ","4,820 ","6,904 ","1,600 ","31,713 ","51,641 ","243,169 "
Pennsylvania,"7,284 ","2,331 ","5,985 ","15,049 ","23,840 ","22,465 ","162,754 ","239,708 ","5,407 ","3,505 ","13,132 ","14,072 ","17,736 ",-,"109,464 ","163,317 ","403,024 "
Rhode Island,115 ,70 ,336 ,235 ,576 ,480 ,"2,709 ","4,521 ",494 ,525 ,"1,451 ","1,148 ","1,732 ",102 ,"10,606 ","16,058 ","20,579 "
South Carolina,"3,582 ",301 ,"7,429 ","10,143 ","32,395 ","6,579 ","130,330 ","190,758 ","2,548 ",592 ,"6,556 ","7,841 ","9,503 ",234 ,"40,085 ","67,359 ","258,117 "
South Dakota,"3,805 ","1,859 ","8,634 ","9,588 ","39,986 ","20,103 ","174,101 ","258,075 ",562 ,116 ,756 ,"1,744 ","1,172 ",-,"7,596 ","11,946 ","270,021 "
Tennessee,"3,776 ",-,"8,871 ","10,286 ","15,951 ","31,682 ","142,520 ","213,086 ","4,560 ","1,185 ","10,823 ","11,855 ","8,183 ","3,320 ","72,998 ","112,925 ","326,011 "
Texas,"13,114 ",12 ,"40,797 ","36,370 ","113,592 ","48,108 ","432,232 ","684,226 ","13,240 ","11,831 ","39,525 ","40,851 ","57,280 ","3,645 ","239,855 ","406,228 ","1,090,454 "
Utah,"4,460 ",57 ,"4,338 ","4,394 ","10,537 ","11,453 ","81,269 ","116,510 ","2,593 ",267 ,"4,113 ","2,903 ","3,790 ","1,221 ","25,635 ","40,523 ","157,032 "
Vermont,"1,664 ",5 ,"1,066 ","2,355 ","6,407 ","2,797 ","27,790 ","42,085 ",397 ,68 ,450 ,493 ,779 ,50 ,"2,782 ","5,019 ","47,104 "
Virginia,"3,118 ",565 ,"7,428 ","10,899 ","23,579 ","15,690 ","96,903 ","158,182 ","5,553 ","2,495 ","10,916 ","12,053 ","9,762 ","2,626 ","60,634 ","104,040 ","262,222 "
Washington,"3,092 ","2,548 ","4,299 ","6,530 ","26,052 ","20,100 ","121,006 ","183,627 ","3,387 ","2,564 ","7,864 ","9,507 ","8,929 ",603 ,"52,131 ","84,985 ","268,612 "
West Virginia,"2,028 ",57 ,"4,087 ","4,245 ","17,277 ","6,836 ","69,249 ","103,779 ","1,707 ",83 ,"2,118 ","2,552 ","3,406 ",290 ,"14,694 ","24,850 ","128,629 "
Wisconsin,"3,446 ",914 ,"11,774 ","15,343 ","38,953 ","27,280 ","202,212 ","299,921 ","2,784 ","2,152 ","9,691 ","10,195 ","9,571 ",1 ,"49,689 ","84,083 ","384,004 "
Wyoming,"5,201 ",-,"6,573 ","4,009 ","8,815 ","22,531 ","39,463 ","86,592 ",681 ,18 ,"1,217 ",931 ,"1,687 ",143 ,"5,794 ","10,469 ","97,061 "
U.S. Total,"190,308 ","36,848 ","372,282 ","442,237 ","1,323,294 ","830,400 ","6,502,625 ","9,697,994 ","168,559 ","91,199 ","381,383 ","476,220 ","448,373 ","47,350 ","2,749,096 ","4,362,181 ","14,060,174 "
Puerto Rico (3),273 ,-,195 ,726 ,708 ,780 ,"7,380 ","10,061 ",366 ,"2,126 ","3,145 ","3,615 ",-,"36,640 ","47,788 ","93,681 ","103,742 "
Grand Total,"190,581 ","36,848 ","372,477 ","442,963 ","1,324,002 ","831,180 ","6,510,005 ","9,708,055 ","168,924 ","93,326 ","384,528 ","479,835 ","448,373 ","83,990 ","2,796,884 ","4,455,862 ","14,163,916 "
