STATE,INTERSTATE ,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,
,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL
New Jersey,455 ,168 ,622 ,316 ,-,-,413 ,-,729 ,"1,928 ",861 ,96 ,18 ,-,"2,903 "
New Mexico,247 ,-,247 ,18 ,-,-,-,-,18 ,713 ,0 ,387 ,-,-,"1,100 "
New York,997 ,517 ,"1,514 ","1,083 ",52 ,80 ,97 ,-,"1,311 ","3,002 ",453 ,"1,518 ",12 ,-,"4,985 "
North Carolina,"1,159 ",-,"1,159 ",744 ,-,2 ,-,2 ,748 ,"3,128 ",-,52 ,-,-,"3,180 "
North Dakota,96 ,-,96 ,-,-,-,-,-,-,227 ,-,75 ,-,-,302 
Ohio,"1,353 ",146 ,"1,499 ",928 ,5 ,3 ,-,-,936 ,"3,180 ",105 ,622 ,-,-,"3,908 "
Oklahoma,396 ,65 ,461 ,214 ,-,5 ,100 ,-,318 ,"1,158 ",41 ,663 ,18 ,-,"1,880 "
Oregon,377 ,-,377 ,87 ,3 ,2 ,-,-,92 ,"1,025 ",78 ,270 ,4 ,-,"1,378 "
Pennsylvania,832 ,384 ,"1,216 ",776 ,-,-,71 ,-,848 ,"4,189 ",60 ,270 ,7 ,-,"4,526 "
Rhode Island,84 ,-,84 ,116 ,-,-,13 ,-,129 ,490 ,-,56 ,5 ,-,551 
South Carolina,490 ,-,490 ,135 ,-,-,-,-,135 ,"1,709 ",-,3 ,-,-,"1,712 "
South Dakota,141 ,-,141 ,29 ,-,-,-,-,29 ,175 ,-,41 ,-,-,216 
Tennessee,854 ,-,854 ,248 ,0 ,16 ,-,-,265 ,"2,695 ",11 ,184 ,-,-,"2,890 "
Texas,"2,279 ",-,"2,279 ","1,963 ",-,3 ,465 ,-,"2,431 ","7,144 ",215 ,"2,412 ",18 ,-,"9,789 "
Utah,407 ,-,407 ,70 ,-,-,-,-,70 ,992 ,2 ,53 ,-,-,"1,047 "
Vermont,99 ,-,99 ,20 ,-,6 ,-,-,26 ,112 ,-,70 ,-,-,182 
Virginia,"1,050 ",1 ,"1,050 ",441 ,-,67 ,30 ,39 ,577 ,"1,708 ",58 ,971 ,32 ,7 ,"2,776 "
Washington,539 ,-,539 ,663 ,-,8 ,-,-,671 ,785 ,259 ,"1,264 ",11 ,-,"2,319 "
West Virginia,327 ,67 ,394 ,23 ,-,-,-,-,23 ,662 ,-,8 ,-,-,669 
Wisconsin,585 ,-,585 ,529 ,-,-,-,-,529 ,"1,986 ",628 ,512 ,-,-,"3,126 "
Wyoming,170 ,-,170 ,4 ,-,-,-,-,4 ,344 ,3 ,21 ,-,-,368 
U.S. Total,"28,538 ","2,141 ","30,679 ","17,332 ",165 ,448 ,"1,329 ",99 ,"19,373 ","75,477 ","7,206 ","24,389 ",486 ,34 ,"107,592 "
Puerto Rico (5),377 ,-,377 ,106 ,-,-,-,-,106 ,612 ,-,18 ,-,-,629 
Grand Total,"28,914 ","2,141 ","31,056 ","17,438 ",165 ,448 ,"1,329 ",99 ,"19,479 ","76,088 ","7,206 ","24,407 ",486 ,34 ,"108,222 "
