STATE,ALL FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,ALL NON-FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,TOTAL FEDERAL-AID AND NON-FEDERAL-AID
New Jersey," 2,321 "," 5,436 "," 2,754 ", 412 ,-," 10,924 ", 19 ," 1,214 "," 26,001 ", 600 , 308 ," 28,141 "," 39,065 "
New Mexico," 9,484 ", 870 ," 1,767 ",-, 198 ," 12,319 "," 2,491 "," 39,879 "," 3,533 ", 154 ," 10,693 "," 56,750 "," 69,069 "
New York," 14,490 "," 5,847 "," 6,609 ", 757 , 9 ," 27,712 ", 559 ," 14,352 "," 70,286 ", 721 , 735 ," 86,653 "," 114,365 "
North Carolina," 22,328 ",-, 848 ,-, 315 ," 23,490 "," 57,230 ",-," 21,837 "," 1,039 "," 2,737 "," 82,843 "," 106,334 "
North Dakota," 7,363 "," 10,522 ", 911 ,-, 62 ," 18,858 ", 43 , 8 ," 66,716 ", 19 ," 1,485 "," 68,271 "," 87,128 "
Ohio," 18,153 "," 5,929 "," 5,749 ", 241 ,-," 30,071 "," 1,075 "," 23,356 "," 67,257 ", 894 , 272 ," 92,854 "," 122,926 "
Oklahoma," 12,257 "," 15,446 "," 3,837 ", 620 ,-," 32,160 ",-," 62,664 "," 17,393 ", 481 , 13 ," 80,551 "," 112,711 "
Oregon," 7,462 "," 7,540 "," 2,405 ", 30 ," 1,168 "," 18,605 ", 199 ," 25,351 "," 8,623 "," 1,443 "," 19,323 "," 54,938 "," 73,544 "
Pennsylvania," 24,571 ", 338 ," 3,039 ", 568 , 21 ," 28,537 "," 15,186 ", 2 ," 74,785 ", 781 , 800 ," 91,554 "," 120,091 "
Rhode Island," 1,029 ",-, 706 , 21 , 5 ," 1,760 ", 62 ,-," 4,089 ", 46 , 89 ," 4,286 "," 6,046 "
South Carolina," 20,715 ", 285 , 243 ,-, 17 ," 21,260 "," 20,644 "," 29,642 "," 2,933 ", 194 ," 1,576 "," 54,989 "," 76,250 "
South Dakota," 7,763 "," 10,606 ", 750 , 25 , 735 ," 19,880 ", 3 ," 24,657 "," 34,721 "," 1,647 "," 1,668 "," 62,696 "," 82,576 "
Tennessee," 13,877 "," 1,552 "," 3,408 ",-,-," 18,837 ", 1 ," 56,244 "," 18,965 ", 397 ," 1,192 "," 76,800 "," 95,637 "
Texas," 69,770 "," 4,784 "," 14,845 ", 368 , 78 ," 89,844 "," 10,653 "," 142,177 "," 68,358 ", 3 ," 2,560 "," 223,751 "," 313,596 "
Utah," 5,820 "," 1,962 "," 1,640 ",-, 122 ," 9,544 ", 51 ," 22,258 "," 9,659 ", 522 ," 4,263 "," 36,754 "," 46,299 "
Vermont," 2,621 ",-," 1,264 ",-,-," 3,885 ", 8 ,-," 10,195 ",-, 164 ," 10,367 "," 14,252 "
Virginia," 17,557 ", 308 ," 2,957 ", 39 , 383 ," 21,244 "," 41,090 "," 1,423 "," 8,885 ",-," 2,419 "," 53,817 "," 75,061 "
Washington," 7,058 "," 8,502 "," 4,496 ", 25 , 223 ," 20,304 ",-," 30,771 "," 12,443 "," 8,348 "," 8,472 "," 60,034 "," 80,338 "
West Virginia," 10,207 ",-, 274 , 86 ,-," 10,567 "," 24,197 ",-," 2,977 ", 195 , 834 ," 28,203 "," 38,770 "
Wisconsin," 11,723 "," 11,716 "," 5,195 ",-,-," 28,634 ", 23 ," 9,057 "," 76,721 ",-, 937 ," 86,737 "," 115,372 "
Wyoming," 6,289 ", 768 , 462 , 8 , 354 ," 7,881 ", 429 ," 13,885 "," 1,992 "," 1,223 "," 3,532 "," 21,060 "," 28,942 "
U.S. Total," 566,608 "," 282,486 "," 159,026 "," 7,715 "," 6,733 "," 1,022,567 "," 214,223 "," 1,551,242 "," 1,176,964 "," 50,545 "," 139,185 "," 3,132,160 "," 4,154,727 "
Puerto Rico (4)," 3,251 ",-, 223 ,-, 24 ," 3,498 "," 1,325 ",-," 11,744 ",-, 6 ," 13,075 "," 16,573 "
Grand Total," 569,859 "," 282,486 "," 159,249 "," 7,715 "," 6,757 "," 1,026,065 "," 215,548 "," 1,551,242 "," 1,188,708 "," 50,545 "," 139,191 "," 3,145,235 "," 4,171,300 "
