STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL    ARTERIAL,,,,,,
,DIVIDED    HIGHWAYS (2),,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
Pennsylvania,"1,041 ",69 ,1 ,"1,112 ",-,-,-,355 ,355 ,-,355 ,"1,108 ",182 ,51 ,15 ,248 ,206 ,"1,562 "
Rhode Island,18 ,-,-,18 ,-,-,11 ,-,11 ,-,11 ,90 ,-,2 ,-,2 ,5 ,97 
South Carolina,527 ,19 ,-,546 ,2 ,-,-,40 ,40 ,2 ,45 ,812 ,695 ,23 ,-,717 ,17 ,"1,546 "
South Dakota,591 ,-,-,591 ,-,71 ,190 ,-,261 ,29 ,291 ,"2,504 ",13 ,42 ,-,56 ,33 ,"2,593 "
Tennessee,537 ,36 ,-,573 ,-,-,-,-,-,-,-,760 ,536 ,5 ,-,541 ,437 ,"1,737 "
Texas,"1,918 ",83 ,-,"2,001 ",4 ,-,-,-,-,-,4 ,"4,513 ","2,174 ",454 ,121 ,"2,749 ","1,177 ","8,438 "
Utah,662 ,22 ,-,684 ,-,-,-,9 ,9 ,0 ,9 ,935 ,6 ,40 ,-,46 ,182 ,"1,163 "
Vermont,247 ,-,11 ,259 ,2 ,-,-,-,-,-,2 ,270 ,-,12 ,27 ,40 ,2 ,312 
Virginia,424 ,34 ,11 ,469 ,-,-,-,79 ,79 ,-,79 ,297 ,791 ,74 ,20 ,886 ,94 ,"1,277 "
Washington,344 ,84 ,1 ,429 ,492 ,0 ,74 ,38 ,112 ,10 ,614 ,"1,280 ",10 ,4 ,-,14 ,18 ,"1,312 "
West Virginia,285 ,24 ,-,309 ,-,-,1 ,-,1 ,-,1 ,726 ,10 ,246 ,-,256 ,12 ,995 
Wisconsin,485 ,27 ,-,512 ,-,8 ,8 ,123 ,140 ,-,140 ,"2,265 ",146 ,417 ,67 ,629 ,36 ,"2,931 "
Wyoming,808 ,-,-,808 ,-,-,-,-,-,-,-,"1,902 ",9 ,-,-,9 ,73 ,"1,983 "
U.S. Total,"25,676 ","1,987 ","1,282 ","28,944 ",597 ,158 ,"1,831 ","3,211 ","5,200 ",83 ,"5,881 ","63,468 ","13,310 ","5,679 ","1,357 ","20,346 ","5,749 ","89,563 "
Puerto Rico (4),29 ,-,2 ,31 ,-,-,-,-,-,-,-,20 ,-,7 ,9 ,16 ,18 ,54 
Grand Total,"25,705 ","1,987 ","1,284 ","28,975 ",597 ,158 ,"1,831 ","3,211 ","5,200 ",83 ,"5,881 ","63,488 ","13,310 ","5,686 ","1,366 ","20,362 ","5,767 ","89,617 "
