STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI)    (1),,,,,,,,,
,TOTAL RURAL NHS,,,,,,,,,
South Carolina,-,160 ,982 ,474 ,363 ,82 ,37 ,24 ,16 ,"2,137 "
South Dakota,-,609 ,"1,495 ",672 ,342 ,180 ,90 ,52 ,43 ,"3,483 "
Tennessee,18 ,"1,269 ",686 ,158 ,71 ,38 ,16 ,7 ,6 ,"2,250 "
Texas,14 ,"2,401 ","4,283 ","1,610 ",732 ,329 ,135 ,68 ,61 ,"9,618 "
Utah,467 ,573 ,813 ,317 ,181 ,114 ,51 ,30 ,30 ,"2,109 "
Vermont,1 ,261 ,189 ,54 ,29 ,13 ,7 ,6 ,7 ,566 
Virginia,14 ,328 ,969 ,331 ,127 ,49 ,20 ,9 ,5 ,"1,837 "
Washington,-,523 ,"1,054 ",405 ,175 ,88 ,45 ,30 ,35 ,"2,355 "
West Virginia,14 ,210 ,549 ,238 ,137 ,71 ,38 ,23 ,31 ,"1,297 "
Wisconsin,0 ,914 ,"1,201 ",632 ,405 ,209 ,122 ,75 ,112 ,"3,670 "
Wyoming,29 ,807 ,"1,228 ",408 ,187 ,79 ,30 ,15 ,12 ,"2,765 "
U.S. Total,"1,966 ","40,335 ","49,495 ","16,679 ","8,282 ","4,253 ","2,068 ","1,193 ","1,393 ","123,699 "
Puerto Rico (3),-,-,3 ,13 ,17 ,13 ,5 ,4 ,7 ,61 
Grand Total,"1,966 ","40,335 ","49,498 ","16,692 ","8,298 ","4,266 ","2,073 ","1,197 ","1,400 ","123,759 "
