Title,Pub Number,Date,PDF
Managing and Organizing Comprehensive Highway Safety Programs in Europe,FHWA-PL-03-006,April 2003,"
PDF (0.6 mb)
"
"Managing Pavements and Monitoring Performance: Best Practices in Australia, Europe, and New Zealand - Executive Summary",FHWA-PL-12-032,August 2012,"
"
"Managing Pavements and Monitoring Performance: Best Practices in Australia, Europe, and New Zealand - Report",HWA-PL-12-031,August 2012,"
PDF (1.53 mb)
"
Managing Travel Demand: Applying European Perspectives to U.S. Practice,FHWA-PL-06-015,May 2006,"
PDF (7.5 mb)
"
Meeting the 21st Century Challenges of System Performance Through Better Operations,,,"
"
Methods and Procedures to Reduce Motorist Delay in Construction Zones,FHWA-PL-00-001,October 2000,"
PDF (0.8 mb)
"
"Outdoor Advertising Control Practices in Australia, Europe, and Japan",FHWA-PL-11-023,May 2011,"
PDF (7.1 mb)
"
"Pavement Preservation Technology in France, South Africa and Australia",FHWA-PL-03-001,October 2002,"
PDF (0.9 mb)
"
Performance of Concrete Segmental and Cable Stayed Bridges in Europe,FHWA-PL-01-019,May 2001,"
PDF (4.3 mb)
"
"Policy Instruments for Managing European Union Road Safety Targets: Carrots, Sticks, or Sermons? An Analysis and Suggestions for the United States",FHWA-PL-12-024,July 2012,"
PDF (542 kb)
"
Prefabricated Bridge Elements and Systems in Japan and Europe,FHWA-PL-05-003,March 2005,"
PDF (4.5 mb)
"
Public Policies for Pedestrian and Bicyclist Safety and Mobility,FHWA-PL-10-028,September 2010,"
PDF (1.7 mb)
"
"Public-Private Partnerships for Highway
Infrastructure: Capitalizing on International
Experience",FHWA-PL-09-010,March 2009,"
PDF (3.2 kb)
"
Quiet Pavement Systems in Europe,,April 2005,"
PDF (1.7 mb)
"
"Recycled Materials in European Highway Environments: Uses, Technologies, and Policies",FHWA-PL-00-025,October 2000,"
PDF (1.7 mb)
"
Reducing Congestion and Funding Transportation Using Road Pricing in Europe and Singapore,FHWA-PL-10-030,December 2010,"
PDF (4.2 mb)
"
Report on the 1990 European Asphalt Study Tour,,,"
PDF (2.0 mb)
"
Report on the 1995 Scanning Review of European Bridge Structures,NHCRP Report 381,,"
PDF (4.8 mb)
"
Report on the 1997 Scanning Review of Asian Bridge Structures,NHCRP Report 232,,"
PDF (4.6 mb)
"
Roadway Human Factors and Behavioral Safety in Europe,FHWA-PL-05-005,May 2005,"
PDF (3.5 mb)
"
Safety Applications of ITS Systems in Europe and Japan,FHWA-PL-06-001,January 2006,"
PDF (3.6 mb)
"
"Scanning Review of European Practice for Bridge Scour, 1998
and Stream Instability Countermeasures",NHCRP Report 241,,"
PDF (1.5 mb)
"
Setting Safety Performance Measures in Australia and New Zealand: Lessons for the United States,FHWA-PL-11-018,May 2011,"
PDF (2.1 mb)
"
Signalized Intersection Safety in Europe,FHWA-PL-03-020,December 2003,"
PDF (2.1 mb)
"
Steel Bridge Fabrication Technologies in Europe and Japan,FHWA-PL-01-018,March 2001,"
PDF (3.3 mb)
"
"Streamlining and Integrating Right-of-Way and Utility Processes With Planning, Environmental, and Design Processes in Australia and Canada",FHWA-PL-09-011,June 2009,"
PDF (24 mb)
"
"Summary of FHWA International Scanning Program For Pavement Preservation France, South Africa and Australia July 6 ? 22, 2001",FHWA-PL-97-027,July 2001,"
"
"Superior Materials, Advanced Test Methods, and Specifications in Europe",FHWA-PL-04-007,April 2004,"
PDF (2 mb)
"
Sustainable Transportation Practices in Europe,FHWA-PL-02-006,November 2001,"
PDF (1.0 mb)
"
Traffic Incident Response: Practices in Europe,FHWA-PL-06-002,February 2006,"
PDF (7.3 mb)
"
Traffic Safety Information Systems in Europe and Australia,FHWA-PL-04-010,September 2004,"
PDF (20.6 mb)
"
"Transportation Asset Management In Australia, Canada, England, and New Zealand",FHWA-PL-05-019,November 2005,"
PDF (8.7 mb)
"
"Transportation Performance Measures in Australia, Canada, Japan, and New Zealand",FHWA-PL-05-001,December 2004,"
PDF (5.7 mb)
"
Transportation Research Program Administration in Europe and Asia,FHWA-PL-09-015,July 2009,"
PDF (2.68 mb)
"
Transportation Risk Management: International Practices for Program Development and Project Delivery - Executive Summary,FHWA-PL-12-030,August 2012,"
PDF (1.60 kb)
"
Transportation Risk Management: International Practices for Program Development and Project Delivery - Report,FHWA-PL-12-029,,"
PDF (3.13 mb)
"
Transportation Risk Management: Strategies for Success - Brochure,,,"
PDF (367 kb)
"
Traveler Information Systems in Europe,FHWA-PL-03-005,April 2003,"
PDF (1.1 mb)
"
U.S. Study Tour of European Concrete Highways 1992,,,"
PDF (0.1 mb)
"
"Underground Transportation Systems in Europe: Safety, Operations, and Emergency Response",FHWA-PL-06-016,June 2006,"
PDF (3.6 mb)
"
Understanding the Policy and Program Structure of National and International Freight Corridor Programs in the European Union,FHWA-PL-12-023,August 2012,"
PDF (1.34 mb)
"
Warm Mix Asphalt: European Practice,FHWA-PL-08-007,February 2008,"
PDF (8 mb)
"
Wildlife Habitat Connectivity Across European Highways,FHWA-PL-02-011,August 2002,"
PDF (2.2 mb)
"
