STATE,RURAL ,,,,,,URBAN,,,,,,TOTAL
Oregon,"3,134 ",17 ,1 ,1 ,-,"3,153 ",913 ,49 ,190 ,4 ,-,"1,155 ","4,308 "
Pennsylvania,"2,758 ",-,8 ,280 ,0 ,"3,046 ","3,657 ",38 ,190 ,287 ,-,"4,172 ","7,218 "
Rhode Island,126 ,-,-,-,-,126 ,430 ,-,35 ,11 ,-,476 ,602 
South Carolina,"2,137 ",0 ,-,-,-,"2,137 ","1,461 ",-,4 ,-,-,"1,465 ","3,602 "
South Dakota,"3,476 ",-,1 ,-,6 ,"3,483 ",215 ,-,26 ,-,-,240 ,"3,723 "
Tennessee,"2,269 ",-,-,-,-,"2,269 ","2,322 ",7 ,150 ,-,-,"2,479 ","4,748 "
Texas,"9,632 ",0 ,0 ,0 ,-,"9,633 ","6,607 ",109 ,"1,358 ",275 ,-,"8,348 ","17,981 "
Utah,"2,543 ",17 ,4 ,-,12 ,"2,576 ",974 ,10 ,40 ,-,-,"1,023 ","3,599 "
Vermont,560 ,-,7 ,-,-,567 ,144 ,-,47 ,-,-,191 ,758 
Virginia,"1,851 ",-,0 ,-,-,"1,852 ","2,032 ",36 ,667 ,39 ,29 ,"2,803 ","4,654 "
Washington,"2,351 ",3 ,0 ,-,-,"2,355 ","1,226 ",164 ,804 ,8 ,-,"2,202 ","4,557 "
West Virginia,"1,267 ",-,-,45 ,-,"1,311 ",625 ,-,5 ,42 ,-,671 ,"1,982 "
Wisconsin,"3,647 ",23 ,0 ,-,-,"3,670 ","1,660 ",338 ,288 ,-,-,"2,286 ","5,956 "
Wyoming,"2,732 ",-,-,-,62 ,"2,794 ",323 ,2 ,13 ,-,-,338 ,"3,132 "
U.S. Total,"123,334 ",387 ,69 ,"1,735 ",139 ,"125,664 ","74,965 ","4,504 ","15,173 ","2,344 ",93 ,"97,078 ","222,743 "
Puerto Rico (4),61 ,-,-,-,-,61 ,350 ,-,1 ,-,-,351 ,412 
Grand Total,"123,395 ",387 ,69 ,"1,735 ",139 ,"125,725 ","75,315 ","4,504 ","15,174 ","2,344 ",93 ,"97,429 ","223,155 "
