STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE,OTHER FREEWAYS  AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHER FREEWAYS  AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,
North Dakota,823 ,-,"4,769 ","4,049 ","19,293 ",-,"107,865 ","136,799 ",96 ,-,302 ,487 ,529 ,-,"2,006 ","3,420 ","140,220 "
Ohio,"1,034 ",533 ,"2,443 ","4,264 ","17,750 ","10,096 ","85,373 ","121,492 ","1,499 ",936 ,"3,908 ","6,400 ","8,643 ",962 ,"53,990 ","76,337 ","197,830 "
Oklahoma ,"1,040 ",-,"3,625 ","4,289 ","34,005 ","4,806 ","104,784 ","152,549 ",461 ,318 ,"1,880 ","3,549 ","2,400 ",189 ,"20,045 ","28,842 ","181,391 "
Oregon,797 ,-,"4,277 ","3,582 ","13,146 ","12,935 ","59,637 ","94,374 ",377 ,92 ,"1,378 ","2,069 ","3,414 ",796 ,"15,857 ","23,983 ","118,357 "
Pennsylvania,"1,789 ",575 ,"2,515 ","7,312 ","11,864 ","11,233 ","81,377 ","116,664 ","1,216 ",848 ,"4,526 ","6,464 ","8,817 ",-,"54,732 ","76,603 ","193,267 "
Rhode Island,29 ,17 ,156 ,116 ,277 ,240 ,"1,354 ","2,190 ",84 ,129 ,551 ,551 ,869 ,52 ,"5,303 ","7,541 ","9,730 "
South Carolina,879 ,72 ,"2,489 ","4,805 ","16,129 ","3,290 ","65,165 ","92,828 ",490 ,135 ,"1,712 ","2,848 ","4,540 ",117 ,"20,042 ","29,884 ","122,712 "
South Dakota,951 ,468 ,"4,172 ","4,767 ","19,989 ","10,051 ","87,050 ","127,450 ",141 ,29 ,216 ,694 ,565 ,-,"3,798 ","5,444 ","132,893 "
Tennessee,923 ,-,"2,796 ","4,779 ","7,939 ","15,841 ","71,260 ","103,538 ",854 ,265 ,"2,890 ","4,361 ","3,848 ","1,657 ","36,499 ","50,374 ","153,912 "
Texas,"3,220 ",6 ,"13,580 ","16,842 ","56,456 ","24,054 ","216,116 ","330,274 ","2,279 ","2,431 ","9,789 ","12,806 ","25,460 ","1,717 ","119,928 ","174,409 ","504,683 "
Utah,"1,101 ",14 ,"1,873 ","2,126 ","5,249 ","5,727 ","40,635 ","56,724 ",407 ,70 ,"1,047 ","1,062 ","1,781 ",603 ,"12,818 ","17,787 ","74,510 "
Vermont,416 ,3 ,502 ,"1,172 ","3,199 ","1,399 ","13,895 ","20,585 ",99 ,26 ,182 ,243 ,386 ,25 ,"1,391 ","2,352 ","22,937 "
Virginia,755 ,142 ,"2,087 ","5,123 ","11,674 ","7,845 ","48,452 ","76,078 ","1,050 ",577 ,"2,776 ","4,364 ","4,398 ","1,240 ","30,317 ","44,721 ","120,799 "
Washington,690 ,988 ,"2,112 ","3,253 ","13,019 ","10,050 ","60,503 ","90,615 ",539 ,671 ,"2,319 ","4,365 ","4,416 ",302 ,"26,066 ","38,677 ","129,292 "
West Virginia,497 ,14 ,"1,601 ","2,109 ","8,635 ","3,418 ","34,624 ","50,898 ",394 ,23 ,669 ,"1,228 ","1,690 ",145 ,"7,347 ","11,496 ","62,394 "
Wisconsin,825 ,229 ,"4,716 ","7,638 ","19,448 ","13,640 ","101,106 ","147,602 ",585 ,529 ,"3,126 ","4,363 ","4,622 ",1 ,"24,844 ","38,070 ","185,673 "
Wyoming,"1,300 ",-,"3,192 ","1,974 ","4,396 ","11,265 ","19,732 ","41,859 ",170 ,4 ,368 ,381 ,830 ,68 ,"2,897 ","4,718 ","46,577 "
U.S. Total,"46,655 ","9,572 ","144,227 ","214,069 ","659,309 ","415,200 ","3,251,312 ","4,740,344 ","30,679 ","19,373 ","107,592 ","182,808 ","208,695 ","22,346 ","1,374,548 ","1,946,042 ","6,686,385 "
Puerto Rico (2),70 ,-,71 ,361 ,354 ,390 ,"3,690 ","4,936 ",408 ,76 ,610 ,"1,499 ","1,803 ",1 ,"18,320 ","22,718 ","27,654 "
Grand Total,"46,725 ","9,572 ","144,298 ","214,430 ","659,663 ","415,590 ","3,255,002 ","4,745,280 ","31,088 ","19,449 ","108,203 ","184,307 ","210,498 ","22,347 ","1,392,868 ","1,968,760 ","6,714,040 "
