STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,
Mississippi,0.82, ,2.60,7.43,0.00,16.58,1.24,2.52,1.01,0.89,0.52,0.39,0.00,16.37,0.94,0.67,0.00
Missouri,0.70,0.68,2.46,2.20,3.02,1.74,1.49,1.69,0.57,0.72,1.94,1.02,1.11,2.07,0.50,0.87,0.00
Montana,1.17, ,2.52,3.04,3.99,1.79,2.57,2.33,0.34, ,0.66,0.00,0.24,3.71,1.32,0.63,0.01
Nebraska,0.67,0.71,2.04,2.11,0.93,0.42,3.11,1.52,0.20,0.25,1.35,0.76,0.16,0.00,1.79,0.84,0.00
Nevada,1.18, ,3.05,3.35,2.70,0.43,1.39,2.10,0.58,0.77,1.97,1.58,8.88,0.73,0.46,1.02,0.02
New Hampshire,0.29,0.70,1.55,1.35,1.11,0.62,4.70,1.28,0.52,0.00,0.91,0.42,0.46, ,1.14,0.61,0.00
New Jersey,0.51,1.64,1.70,1.36,1.95,1.80,1.25,1.32,0.34,0.40,0.97,1.08,1.12,0.28,0.18,0.64,0.06
New Mexico,1.09, ,1.22,0.77,0.67,1.74,0.77,1.02,0.84,8.69,1.01,0.99,0.44,1.87,1.08,1.00,0.07
New York,0.59,4.27,3.34,1.91,0.62,0.09,3.77,1.46,0.24,0.18,0.92,0.41,0.31,12.60,2.05,0.70,0.00
North Carolina,0.95,2.16,9.82,0.78,1.11,1.17,1.14,2.42,0.35,0.54,0.65,0.21,0.25,0.00,1.61,0.63,0.00
North Dakota,0.79, ,1.58,2.87,1.99, ,1.46,1.67,0.85, ,0.35,0.16,0.00, ,0.20,0.33,0.00
Ohio,0.30,0.59,1.58,1.79,2.16,2.40,1.83,1.46,0.43,0.63,0.83,1.24,1.19,0.89,0.50,0.76,0.01
Oklahoma,0.72, ,1.55,2.71,2.62,0.59,2.18,1.85,0.85,0.45,1.19,0.97,0.55,2.62,1.13,0.95,0.00
Oregon,0.80, ,2.49,3.19,4.34,1.68,1.67,2.19,0.11,0.00,1.11,0.89,0.72,1.49,0.24,0.61,0.00
Pennsylvania,0.46,0.05,2.43,2.08,2.67,2.36,3.13,1.74,0.47,0.38,1.14,1.07,0.07, ,1.33,0.80,0.06
Rhode Island,0.33,0.00,0.45,2.92,0.00,0.00,9.28,0.79,0.48,0.59,0.60,0.29,0.00,0.00,2.08,0.55,0.00
South Carolina,1.19,11.28,3.87,7.13,1.02,15.11,2.02,2.96,0.41,2.38,1.27,1.28,0.14,94.96,0.64,0.99,0.00
South Dakota,1.13,0.73,2.13,1.52,2.26,2.06,3.06,1.74,0.84,1.57,0.41,0.61,0.35, ,1.41,0.71,0.00
Tennessee,0.74, ,1.65,2.62,3.10,1.98,2.92,1.88,0.61,0.52,1.25,1.20,1.12,3.06,0.58,0.93,0.00
Texas,1.37,105.83,2.16,3.19,2.98,2.78,0.02,2.17,0.82,0.77,0.99,0.40,0.15,0.00,0.00,0.64,0.31
Utah,1.07,11.73,1.35,1.41,2.09,0.60,0.43,1.25,0.46,1.45,1.12,1.03,1.21,0.43,0.34,0.74,0.05
Vermont,0.33,0.00,1.70,0.51,1.05,1.83,1.18,0.92,0.74,0.00,0.82,0.00,0.36,0.00,0.00,0.43,0.00
Virginia,0.88,1.84,2.24,2.09,3.50,1.51,2.63,2.03,0.26,0.23,0.48,0.71,0.66,0.36,0.41,0.44,0.02
Washington,0.56,1.48,2.41,1.55,2.82,1.21,3.11,1.74,0.37,0.58,0.84,0.82,0.78,0.00,0.61,0.64,0.01
West Virginia,0.96,6.85,1.23,2.49,2.91,1.52,2.51,1.95,0.31,2.38,0.85,1.38,0.09,18.80,0.54,0.77,0.00
Wisconsin,0.35,0.47,1.42,1.37,1.18,1.26,1.37,1.12,0.19,0.19,0.85,1.06,0.20,"5,427.81",1.16,0.68,0.00
Wyoming,0.95, ,2.52,2.24,3.51,0.56,2.40,1.79,0.74,0.00,0.63,0.00,0.50,0.00,1.79,0.82,0.02
U.S. Total,0.81,2.85,2.33,2.31,2.19,1.70,1.85,1.84,0.45,0.48,1.10,0.79,0.48,2.04,0.71,0.71,0.09
Puerto Rico (2),4.60, ,30.62,21.89,3.35,"12,782.55","12,862.56",18.36,0.51,0.11,1.49,0.62,1.22,"2,941.20",127.00,0.89,0.00
Grand Total,0.82,2.86,2.36,2.35,2.19,1.76,1.86,1.85,0.45,0.47,1.10,0.79,0.49,2.07,0.71,0.71,0.09
