STATE,URBAN    MINOR ARTERIAL,,,,,,,,,,,,
,INTERNATIONAL ROUGHNESS    INDEX (2),,,,,,PRESENT    SERVICEABILITY RATING (3),,,,,,TOTAL
New Hampshire,27 ,70 ,96 ,24 ,35 ,253 ,-,10 ,227 ,-,-,237 ,490 
New Jersey,84 ,126 ,708 ,621 ,746 ,"2,284 ",291 ,240 ,721 ,102 ,14 ,"1,367 ","3,651 "
New Mexico,26 ,127 ,289 ,101 ,128 ,671 ,-,-,3 ,0 ,1 ,4 ,675 
New York,69 ,"1,048 ","2,526 ",844 ,968 ,"5,454 ",-,2 ,-,-,-,2 ,"5,456 "
North Carolina,33 ,849 ,"1,750 ",399 ,250 ,"3,281 ",28 ,11 ,4 ,-,-,43 ,"3,324 "
North Dakota,12 ,30 ,119 ,38 ,45 ,243 ,-,-,26 ,-,-,26 ,269 
Ohio,155 ,889 ,"1,578 ",573 ,674 ,"3,869 ",5 ,48 ,25 ,4 ,22 ,105 ,"3,974 "
Oklahoma,-,105 ,939 ,484 ,522 ,"2,050 ",-,12 ,89 ,37 ,-,138 ,"2,188 "
Oregon,30 ,65 ,122 ,31 ,18 ,266 ,359 ,287 ,336 ,30 ,9 ,"1,020 ","1,286 "
Pennsylvania,82 ,564 ,"1,617 ",891 ,823 ,"3,976 ",-,-,-,-,-,-,"3,976 "
Rhode Island,-,18 ,126 ,95 ,104 ,343 ,-,-,-,-,-,-,343 
South Carolina,42 ,220 ,"1,141 ",291 ,74 ,"1,767 ",-,-,-,-,-,-,"1,767 "
South Dakota,4 ,31 ,149 ,115 ,105 ,405 ,-,3 ,11 ,2 ,1 ,17 ,422 
Tennessee,236 ,359 ,377 ,104 ,72 ,"1,148 ",-,-,-,-,-,-,"1,148 "
Texas,30 ,137 ,197 ,57 ,130 ,551 ,"1,057 ",988 ,"3,033 ",687 ,637 ,"6,403 ","6,953 "
Utah,5 ,43 ,59 ,10 ,6 ,124 ,2 ,15 ,-,-,-,17 ,140 
Vermont,7 ,52 ,62 ,15 ,12 ,147 ,-,-,-,-,-,-,147 
Virginia,5 ,320 ,"1,354 ",470 ,317 ,"2,466 ",-,-,-,-,-,-,"2,466 "
Washington,35 ,299 ,"1,103 ",490 ,613 ,"2,540 ",-,-,-,-,-,-,"2,540 "
West Virginia,1 ,95 ,201 ,44 ,34 ,374 ,61 ,33 ,33 ,19 ,18 ,165 ,539 
Wisconsin,15 ,129 ,714 ,462 ,818 ,"2,139 ",-,-,-,-,-,-,"2,139 "
Wyoming,11 ,42 ,69 ,22 ,28 ,173 ,35 ,5 ,5 ,1 ,7 ,53 ,226 
U.S. Total,"3,148 ","12,741 ","32,173 ","13,152 ","16,725 ","77,939 ","3,747 ","2,242 ","9,933 ","1,431 ","2,028 ","19,381 ","97,320 "
Puerto Rico (4),0 ,0 ,105 ,271 ,398 ,773 ,77 ,70 ,73 ,14 ,-,233 ,"1,006 "
Grand Total,"3,148 ","12,741 ","32,278 ","13,423 ","17,123 ","78,713 ","3,823 ","2,311 ","10,006 ","1,445 ","2,028 ","19,614 ","98,326 "
