STATE,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,
,UNPAVED,PAVED (2),,,,TOTAL,UNPAVED,PAVED (2),,,,TOTAL,UNPAVED,PAVED (2),TOTAL
Oklahoma,18 ,"1,207 ",225 ,42 ,"1,474 ","1,491 ",11 ,80 ,10 ,9 ,98 ,109 ,925 ,"11,530 ","12,455 "
Oregon,25 ,"2,059 ",16 ,22 ,"2,097 ","2,121 ",1 ,492 ,2 ,-,494 ,495 ,803 ,"9,050 ","9,853 "
Pennsylvania,6 ,"4,855 ",53 ,506 ,"5,414 ","5,420 ",-,-,-,-,-,-,-,"34,009 ","34,009 "
Rhode Island,-,540 ,-,-,540 ,540 ,-,26 ,-,-,26 ,26 ,25 ,"3,270 ","3,295 "
South Carolina,-,"2,807 ",-,-,"2,807 ","2,807 ",-,73 ,-,-,73 ,73 ,"1,355 ","11,099 ","12,454 "
South Dakota,14 ,306 ,31 ,-,337 ,351 ,-,-,-,-,-,-,284 ,"2,076 ","2,360 "
Tennessee,-,"2,332 ",11 ,-,"2,343 ","2,343 ",-,720 ,-,6 ,726 ,726 ,165 ,"22,514 ","22,679 "
Texas,117 ,"12,801 ","2,503 ",393 ,"15,696 ","15,813 ",15 ,873 ,94 ,14 ,981 ,996 ,"2,377 ","72,143 ","74,520 "
Utah,-,89 ,-,-,89 ,89 ,-,-,-,-,-,-,1 ,"7,963 ","7,964 "
Vermont,2 ,223 ,-,15 ,237 ,240 ,2 ,14 ,-,-,14 ,16 ,96 ,769 ,865 
Virginia,2 ,"2,285 ",422 ,-,"2,706 ","2,708 ",-,522 ,154 ,-,677 ,677 ,244 ,"18,595 ","18,839 "
Washington,-,"2,520 ",50 ,174 ,"2,744 ","2,744 ",4 ,184 ,-,-,184 ,187 ,717 ,"15,480 ","16,197 "
West Virginia,2 ,951 ,94 ,-,"1,044 ","1,047 ",-,-,-,-,-,-,307 ,"4,259 ","4,566 "
Wisconsin,513 ,"1,808 ",391 ,79 ,"2,278 ","2,791 ",-,-,-,-,-,-,146 ,"15,291 ","15,437 "
Wyoming,-,498 ,17 ,-,516 ,516 ,-,42 ,-,-,42 ,42 ,362 ,"1,438 ","1,800 "
U.S. Total,"1,774 ","104,508 ","8,689 ","9,265 ","122,462 ","124,235 ",311 ,"10,675 ",388 ,359 ,"11,422 ","11,733 ","58,207 ","795,896 ","854,103 "
Puerto Rico (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Total,"1,774 ","104,508 ","8,689 ","9,265 ","122,462 ","124,235 ",311 ,"10,675 ",388 ,359 ,"11,422 ","11,733 ","58,207 ","795,896 ","854,103 "
