STATE,MINOR ARTERIAL,,,,,,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,,,,
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL
New York,"1,731 ","1,557 ","2,251 ",30 ,-,"5,569 ",491 ,"1,841 ","3,194 ",16 ,-,"5,541 ",16 ,160 ,55 ,1 ,-,233 ,37 ,774 ,"32,184 ",377 ,399 ,"33,771 "
North Carolina,"3,107 ",-,286 ,-,48 ,"3,441 ","2,861 ",-,480 ,-,2 ,"3,343 ",386 ,-,46 ,-,-,433 ,"10,848 ",-,"19,465 ",22 ,118 ,"30,453 "
North Dakota,9 ,-,293 ,-,-,303 ,10 ,12 ,307 ,-,-,329 ,-,-,-,-,-,-,3 ,-,"1,244 ",-,-,"1,246 "
Ohio,"1,453 ",727 ,"1,797 ",-,-,"3,977 ",806 ,"1,573 ","2,991 ",-,-,"5,370 ",18 ,286 ,294 ,-,-,598 ,3 ,"1,486 ","31,918 ",56 ,86 ,"33,548 "
Oklahoma,228 ,403 ,"1,572 ",2 ,-,"2,205 ",79 ,326 ,"1,086 ",0 ,-,"1,491 ",-,46 ,72 ,-,-,118 ,-,"1,917 ","10,534 ",5 ,-,"12,455 "
Oregon,201 ,394 ,690 ,-,-,"1,286 ",67 ,834 ,"1,218 ",3 ,-,"2,121 ",3 ,236 ,255 ,1 ,-,495 ,34 ,"2,240 ","7,443 ",94 ,41 ,"9,853 "
Pennsylvania,"3,252 ",149 ,615 ,0 ,-,"4,017 ","3,335 ",127 ,"2,016 ",1 ,-,"5,478 ",-,-,-,-,-,-,"1,045 ",-,"32,649 ",235 ,81 ,"34,009 "
Rhode Island,178 ,-,165 ,-,-,343 ,96 ,-,431 ,9 ,5 ,540 ,3 ,-,29 ,1 ,-,33 ,12 ,-,"3,183 ",37 ,64 ,"3,295 "
South Carolina,"1,690 ",27 ,52 ,-,0 ,"1,769 ","2,505 ",145 ,170 ,-,-,"2,821 ",51 ,20 ,2 ,-,-,73 ,"5,871 ","4,153 ","2,427 ",1 ,3 ,"12,454 "
South Dakota,44 ,83 ,304 ,1 ,-,431 ,1 ,98 ,241 ,11 ,-,351 ,-,-,-,-,-,-,-,105 ,"2,007 ",247 ,2 ,"2,360 "
Tennessee,"1,136 ",249 ,"1,325 ",-,-,"2,710 ",346 ,438 ,"1,607 ",-,-,"2,391 ",9 ,684 ,337 ,-,-,"1,030 ",-,"7,293 ","15,353 ",14 ,20 ,"22,679 "
Texas,"2,531 ",752 ,"4,673 ",1 ,0 ,"7,957 ","5,940 ","2,045 ","7,772 ",61 ,1 ,"15,820 ",-,419 ,647 ,1 ,-,"1,067 ",148 ,"15,920 ","57,851 ",2 ,599 ,"74,520 "
Utah,187 ,41 ,432 ,-,-,660 ,70 ,175 ,862 ,-,-,"1,106 ",1 ,161 ,212 ,-,-,375 ,15 ,434 ,"7,477 ",-,38 ,"7,964 "
Vermont,66 ,-,85 ,-,-,151 ,41 ,-,199 ,-,-,240 ,1 ,-,14 ,-,-,16 ,-,-,858 ,-,7 ,864 
Virginia,"1,309 ",132 ,"1,017 ",0 ,253 ,"2,711 ","1,567 ",131 ,"1,027 ",-,8 ,"2,733 ",575 ,9 ,186 ,-,-,770 ,"8,288 ","1,395 ","8,529 ",-,627 ,"18,838 "
Washington,262 ,780 ,"1,663 ",3 ,4 ,"2,712 ",46 ,899 ,"1,792 ",6 ,-,"2,744 ",-,125 ,62 ,1 ,-,187 ,-,"4,458 ","11,244 ",65 ,429 ,"16,197 "
West Virginia,715 ,-,48 ,-,-,763 ,832 ,-,218 ,-,-,"1,050 ",90 ,-,-,-,-,90 ,"2,174 ",-,"2,390 ",1 ,0 ,"4,565 "
Wisconsin,216 ,909 ,"1,586 ",-,-,"2,711 ",8 ,348 ,"2,516 ",-,-,"2,872 ",-,-,0 ,-,-,0 ,-,52 ,"15,304 ",-,82 ,"15,438 "
Wyoming,58 ,63 ,115 ,0 ,-,236 ,58 ,146 ,305 ,6 ,-,516 ,3 ,13 ,25 ,1 ,-,42 ,18 ,281 ,"1,263 ",237 ,-,"1,800 "
U.S. Total,"34,849 ","23,976 ","54,070 ",272 ,425 ,"113,592 ","25,391 ","31,307 ","72,502 ",336 ,141 ,"129,677 ","1,935 ","6,115 ","5,751 ",44 ,40 ,"13,885 ","32,704 ","180,877 ","630,516 ","3,568 ","6,439 ","854,104 "
Puerto Rico (4),945 ,-,64 ,-,-,"1,009 ","1,084 ",-,147 ,-,7 ,"1,238 ", , , , , ,-,841 , ,"9,689 ", , ,"10,530 "
Grand Total,"35,794 ","23,976 ","54,134 ",272 ,425 ,"114,601 ","26,475 ","31,307 ","72,649 ",336 ,148 ,"130,915 ","1,935 ","6,115 ","5,751 ",44 ,40 ,"13,885 ","33,545 ","180,877 ","640,205 ","3,568 ","6,439 ","864,634 "
