STATE,RURAL ,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,
Nevada,"1,840 ",-,"3,408 ",70 ,-,-,-,"5,318 ",786 ,252 ,"1,586 ",19 ,-,8 ,-,"2,651 ","7,969 "
New Hampshire,567 ,37 ,674 ,114 ,-,-,-,"1,392 ",431 ,315 ,550 ,53 ,2 ,-,3 ,"1,354 ","2,746 "
New Jersey,278 ,176 ,364 ,-,-,-,-,818 ,"2,695 ","2,513 ","5,939 ",208 ,32 ,0 ,1 ,"11,389 ","12,206 "
New Mexico,"3,431 ",-,"5,622 ",38 ,0 ,-,-,"9,091 ",747 ,49 ,"2,223 ",74 ,21 ,9 ,-,"3,124 ","12,215 "
New York,"3,279 ",478 ,"4,718 ",14 ,1 ,-,-,"8,490 ","4,785 ","3,798 ","9,242 ",173 ,58 ,1 ,11 ,"18,069 ","26,559 "
North Carolina,"2,271 ","1,582 ","4,175 ",545 ,396 ,1 ,34 ,"9,004 ","3,785 ","1,842 ","6,594 ",583 ,49 ,-,12 ,"12,865 ","21,869 "
North Dakota,"2,045 ",-,"6,968 ",-,1 ,-,-,"9,014 ",252 ,-,597 ,-,-,-,-,849 ,"9,863 "
Ohio,"2,997 ","1,315 ","3,999 ",90 ,33 ,-,0 ,"8,435 ","5,169 ","2,429 ","7,562 ",850 ,96 ,-,40 ,"16,146 ","24,581 "
Oklahoma,"2,596 ",-,"6,639 ",2 ,10 ,-,-,"9,247 ","1,386 ",934 ,"3,121 ",22 ,9 ,-,-,"5,471 ","14,719 "
Oregon,"2,021 ",-,"5,899 ",-,3 ,-,5 ,"7,928 ","1,108 ",250 ,"2,659 ",76 ,12 ,1 ,12 ,"4,119 ","12,047 "
Pennsylvania,"4,526 ","1,448 ","3,718 ",29 ,21 ,-,0 ,"9,743 ","3,360 ","2,178 ","8,149 ",142 ,50 ,-,0 ,"13,879 ","23,622 "
Rhode Island,71 ,43 ,209 ,-,-,-,-,323 ,307 ,326 ,901 ,0 ,2 ,-,-,"1,536 ","1,859 "
South Carolina,"2,226 ",187 ,"4,616 ",0 ,-,-,-,"7,029 ","1,583 ",368 ,"4,074 ",40 ,9 ,-,-,"6,073 ","13,102 "
South Dakota,"2,364 ","1,153 ","5,365 ",17 ,1 ,-,-,"8,900 ",349 ,72 ,470 ,1 ,-,-,-,892 ,"9,792 "
Tennessee,"2,346 ",-,"5,375 ",35 ,10 ,-,-,"7,766 ","2,833 ",725 ,"6,518 ",169 ,36 ,-,-,"10,281 ","18,047 "
Texas,"8,149 ",-,"22,586 ",479 ,82 ,-,-,"31,295 ","8,227 ","7,215 ","21,915 ",327 ,123 ,-,7 ,"37,814 ","69,109 "
Utah,"2,771 ",36 ,"2,696 ",910 ,541 ,29 ,-,"6,984 ","1,611 ",166 ,"2,452 ",189 ,49 ,0 ,11 ,"4,479 ","11,463 "
Vermont,"1,034 ",3 ,651 ,-,1 ,-,-,"1,689 ",247 ,41 ,269 ,12 ,4 ,-,-,573 ,"2,263 "
Virginia,"1,937 ",346 ,"4,558 ",36 ,6 ,-,3 ,"6,886 ","3,451 ","1,549 ","6,778 ",182 ,35 ,3 ,1 ,"12,000 ","18,886 "
Washington,"1,921 ","1,583 ","2,636 ",22 ,12 ,-,0 ,"6,175 ","2,104 ","1,593 ","4,794 ",63 ,27 ,-,5 ,"8,586 ","14,761 "
West Virginia,"1,260 ",35 ,"2,538 ",-,-,-,-,"3,833 ","1,061 ",52 ,"1,305 ",1 ,-,-,-,"2,419 ","6,252 "
Wisconsin,"2,141 ",568 ,"7,309 ",149 ,26 ,-,-,"10,193 ","1,730 ","1,333 ","5,034 ",51 ,29 ,-,-,"8,177 ","18,370 "
Wyoming,"3,232 ",-,"4,083 ",6 ,-,0 ,-,"7,321 ",423 ,11 ,754 ,4 ,0 ,-,0 ,"1,192 ","8,513 "
U.S. Total,"118,252 ","22,799 ","226,011 ","5,275 ","1,777 ",35 ,89 ,"374,236 ","104,738 ","56,207 ","224,686 ","7,296 ","1,264 ",44 ,363 ,"394,597 ","768,833 "
Puerto Rico (1),161 ,-,58 ,-,-,-,-,219 ,"1,098 ",207 ,271 ,5 ,-,-,-,"1,581 ","1,799 "
Grand Total,"118,413 ","22,799 ","226,069 ","5,275 ","1,777 ",35 ,89 ,"374,455 ","105,835 ","56,414 ","224,956 ","7,300 ","1,264 ",44 ,363 ,"396,177 ","770,632 "
