,STATE,GASOLINE,DIESEL,LIQUEFIED PETROLEUM GAS,GASOHOL (2),RATE (3),EFFECTIVE DATE ,RATE (3).1,EFFECTIVE DATE .1,RATE (3).2,EFFECTIVE DATE,RATE (3).3,EFFECTIVE DATE.1
26,Montana,27.8,07/01/94,28.5,07/01/94,5.2,01/01/98,27.8,07/01/09,,,,
27,Nebraska,26.1,07/01/15,26.1,07/01/15,26.1,07/01/15,26.1,07/01/15,,,,
28,Nevada,24.0,10/02/92,27.0,10/02/92,22.0,07/01/97,24.0,10/02/92,,,,
29,New Hampshire,23.8,07/01/14,23.8,07/01/14,22.2,01/01/15,18.0,12/01/00,,,,
30,New Jersey,10.5,07/01/88,13.5,07/01/88,5.3,07/01/88,10.5,01/01/92,,,,
31,New Mexico,17.0,07/01/95,21.0,07/01/04,12.0,01/01/02,17.0,07/01/95,,,,
32,New York,25.9,01/01/15,24.1,01/01/15,8.1,01/01/02,25.9,01/01/15,,,,
33,North Carolina,36.3,04/01/15,36.3,04/01/15,27.1,07/01/05,35.3,07/01/11,,,,
34,North Dakota,23.0,07/01/05,23.0,07/01/05,23.0,07/01/05,23.0,07/01/05,,,,
35,Ohio,28.0,07/01/05,28.0,07/01/05,28.0,07/01/05,28.0,07/01/05,,,,
36,Oklahoma,17.0,05/27/87,14.0,05/27/87,17.0,05/27/87,17.0,05/27/87,,,,
37,Oregon,30.0,01/01/11,30.0,01/01/11,23.1,01/01/11,30.0,01/01/11,,,,
38,Pennsylvania,50.5,01/01/15,64.2,01/01/15,37.2,01/01/15,50.5,01/01/15,,,,
39,Rhode Island,33.0,07/01/15,33.0,07/01/15,33.0,07/01/15,33.0,07/01/15,,,,
40,South Carolina,16.0,07/01/87,16.0,07/01/87,16.0,07/01/87,16.0,07/01/87,,,,
41,South Dakota,30.0,04/01/15,30.0,04/01/15,20.0,04/01/99,16.0,04/01/15,,,,
42,Tennessee,20.0,07/01/89,17.0,04/01/90,14.0,07/01/89,20.0,07/01/89,,,,
43,Texas,20.0,10/01/91,20.0,10/01/91,15.0,09/01/97,20.0,10/01/91,,,,
44,Utah,24.5,05/01/97,24.5,05/01/97,24.5,05/01/97,24.5,05/01/97,,,,
45,Vermont,19.2,05/01/13,31.0,07/01/13,0.0,07/01/13,0.0,-,,,,
46,Virginia,16.2,01/01/15,20.2,07/01/13,16.2,01/01/15,16.2,01/01/15,,,,
47,Washington,44.5,08/01/15,44.5,08/01/15,44.5,08/01/15,44.5,08/01/15,,,,
48,West Virginia,34.6,01/01/15,34.6,01/01/15,2.1,01/01/15,34.6,01/01/15,,,,
49,Wisconsin,30.9,04/01/06,30.9,04/01/06,22.6,04/01/06,30.9,04/01/06,,,,
50,Wyoming,24.0,07/01/13,24.0,07/01/13,24.0,07/01/13,24.0,07/01/13,,,,
51,Puerto Rico,16.0,07/01/75,8.0,07/01/94,0.0,-,0.0,-,,,,
52,Mean Weighted Avg,23.483,-,24.379,-,19.44,-,23.01,-,,,,
53,Federal Tax,18.4,10/01/97,24.4,10/01/97,13.6,10/01/97,18.4,01/01/05,,,,
