,STATE,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY .1,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (2).1",OTHER JURIS- DICTIONS (3).1,FEDERAL AGENCY (4).1,TOTAL.1,STATE HIGHWAY AGENCY .2,COUNTY .2,"TOWN, TOWNSHIP, MUNICIPAL (2).2",OTHER JURIS- DICTIONS (3).2,FEDERAL AGENCY (4).2,TOTAL.2
38,Pennsylvania,11504,38,321,-,-,11864,10974,3,255,0,-,11233,11784,-,67557,879,1157,81377,,,
39,Rhode Island,203,-,74,-,-,277,65,-,175,-,-,240,17,-,1283,14,41,1354,,,
40,South Carolina,15945,146,17,-,20,16129,3061,227,1,-,-,3290,20714,40794,814,312,2531,65165,,,
41,South Dakota,1786,16777,288,22,1115,19989,-,9127,626,9,290,10051,5,30387,52023,2244,2391,87050,,,
42,Tennessee,7689,235,15,-,-,7939,1,15179,621,35,4,15841,1,63601,5195,582,1882,71260,,,
43,Texas,53794,2188,349,2,122,56456,16609,7129,249,0,67,24054,298,196065,16663,-,3090,216116,,,
44,Utah,2483,2472,145,-,149,5249,44,5028,317,-,337,5727,19,30109,3204,841,6462,40635,,,
45,Vermont,1779,-,1420,-,-,3199,13,-,1386,-,-,1399,-,-,13641,-,253,13895,,,
46,Virginia,11581,-,82,-,11,11674,7801,-,43,-,-,7845,44992,45,530,-,2884,48452,,,
47,Washington,2380,10054,284,13,288,13019,-,9448,159,1,443,10050,-,32898,1774,13329,12502,60503,,,
48,West Virginia,8631,-,4,-,-,8635,3416,-,-,2,-,3418,32027,-,946,310,1342,34624,,,
49,Wisconsin,2232,15970,1246,-,-,19448,24,8480,4513,-,623,13640,12,6012,94328,-,754,101106,,,
50,Wyoming,3488,874,6,-,28,4396,330,10793,4,91,48,11265,332,11100,1168,1496,5636,19732,,,
51,U.S. Total,294144,336604,16699,4234,7628,659309,96425,281476,20108,4338,12854,415200,195745,1923959,859483,71300,200825,3251312,,,
52,Puerto Rico (5),365,-,2,-,27,394,389,-,-,-,6,396,391,-,3309,-,3,3703,,,
53,Grand Total,294509,336604,16700,4234,7656,659703,96814,281476,20108,4338,12860,415596,196136,1923959,862792,71300,200828,3255016,,,
