 STATE , PRIVATE AND COMMERCIAL , FEDERAL (2)," STATE, COUNTY, AND MUNICIPAL ", TOTAL TRUCKS REGISTERED,COMPARISON OF TOTAL TRUCK REGISTRATIONS,,,CLASSIFICATION OF PRIVATE AND COMMERCIAL TRUCKS REGISTERED (3),,,,,
Kansas,"1,520,456 "," 4,211 ","17,929 ","1,542,596 ","1,463,824 ","78,772 ",5.4%,"42,801 ",NA,"632,924 ","170,050 ","572,814 ","1,382 "
Kentucky,"2,267,668 "," 5,848 "," 43,009 ","2,316,525 ","2,277,955 ","38,570 ",1.7%,"30,016 ",NA,"953,598 ","257,201 ","903,778 ","1,865 "
Louisiana,"2,269,239 "," 6,624 ","43,964 ","2,319,827 ","2,280,283 ","39,544 ",1.7%,"32,456 ",NA,"1,080,096 ","160,744 ","887,720 ","1,013 "
Maine,"617,305 "," 2,010 ","6,007 ","625,322 ","667,459 ","(42,137)",-6.3%,"7,618 ",NA,"238,173 ","60,694 ","270,399 ",225 
Maryland,"1,961,489 "," 12,744 "," 27,440 ","2,001,673 ","1,925,599 ","76,074 ",4.0%,"12,757 ",NA,"491,387 ","297,497 ","1,039,869 ",913 
Massachusetts," 2,483,352 "," 8,325 ","    24,088 ","2,515,765 ","2,417,692 ","98,073 ",4%,"13,353 ",NA,"538,636 ","315,880 ","1,490,757 ",662 
Michigan,"4,606,397 "," 11,434 ","33,481 ","4,651,312 ","4,413,477 ","237,835 ",5.4%,"68,886 ",NA,"1,364,528 ","691,446 ","2,285,123 ","1,337 "
Minnesota,"2,903,796 "," 6,638 ","23,188 ","2,933,622 ","2,810,679 ","122,943 ",4.4%,"69,267 ",NA,"940,605 ","421,290 ","1,309,389 ","1,407 "
Mississippi,"1,177,686 "," 4,927 "," 2,689 ","1,185,302 ","1,173,755 ","11,547 ",1.0%,"31,866 ",NA,"558,883 ","94,157 ","434,197 ","1,160 "
Missouri,"3,083,265 "," 8,888 ","24,138 ","3,116,291 ","2,941,907 ","174,384 ",5.9%,"69,867 ",NA,"1,183,509 ","396,160 ","1,251,685 ","2,085 "
Montana,"1,000,837 "," 5,380 "," 1,066 ","1,007,283 ","960,861 ","46,422 ",4.8%,"24,943 ",NA,"475,279 ","77,997 ","338,587 ","1,472 "
Nebraska,"1,160,821 "," 3,042 ","    24,697 ","1,188,560 ","1,139,635 ","48,925 ",4.3%,"60,056 ",NA,"452,017 ","125,778 ","445,954 ",802 
Nevada,"1,206,023 "," 6,110 ","8,735 ","1,220,868 ","1,174,534 ","46,334 ",3.9%,"8,019 ",NA,"415,858 ","118,700 ","603,512 ","1,272 "
New Hampshire,"677,298 "," 1,770 ","5,068 ","684,136 ","672,105 ","12,031 ",1.8%,"4,384 ",NA,"216,662 ","70,595 ","343,077 ",279 
New Jersey,"2,794,282 "," 11,553 "," 37,315 ","2,843,150 ","3,223,962 ","(380,812)",-11.8%,"43,481 ",NA,"466,103 ","434,255 ","1,653,316 ",954 
New Mexico,"1,064,167 "," 10,954 ","    10,890 ","1,086,011 ","1,134,961 ","(48,950)",-4.3%,"16,040 ",NA,"493,759 ","83,788 ","403,956 ",996 
New York,"5,321,177 "," 19,713 "," 43,876 ","5,384,766 ","5,371,542 ","13,224 ",0.2%,"39,403 ",NA,"1,038,517 ","827,882 ","3,109,351 ","2,201 "
North Carolina,"4,201,219 "," 11,599 "," 56,312 ","4,269,130 ","4,176,301 ","92,829 ",2.2%,"75,341 ",NA,"1,535,784 ","511,777 ","1,857,678 ","2,476 "
North Dakota,"588,530 "," 3,061 "," 9,981 ","601,572 ","579,794 ","21,778 ",3.8%,"36,799 ",NA,"252,864 ","46,443 ","193,706 ",322 
Ohio,"5,312,365 "," 12,910 ","    51,346 ","5,376,621 ","5,202,048 ","174,573 ",3.4%,"105,669 ",NA,"1,606,405 ","809,357 ","2,489,289 ","2,794 "
Oklahoma,"1,684,404 "," 6,081 "," 9,123 ","1,699,608 ","1,994,416 ","(294,808)",-14.8%,"78,729 ",NA,"644,997 ","158,120 ","636,756 ","1,127 "
Oregon,"1,988,237 "," 8,029 "," 33,999 ","2,030,265 ","1,918,576 ","111,689 ",5.8%,"31,575 ",NA,"747,369 ","233,653 ","842,868 ","3,245 "
Pennsylvania,"5,400,602 "," 14,093 "," 54,994 ","5,469,689 ","5,342,557 ","127,132 ",2.4%,"87,525 ",NA,"1,458,419 ","729,526 ","2,780,867 ","2,554 "
Rhode Island,"385,887 "," 1,738 ","    6,188 ","393,813 ","375,254 ","18,559 ",4.9%,"2,294 ",NA,"94,685 ","51,614 ","217,969 ",148 
South Carolina,"2,168,206 "," 6,744 "," 69,766 ","2,244,716 ","2,131,005 ","113,711 ",5.3%,"23,390 ",NA,"819,077 ","243,038 ","980,482 ","1,318 "
South Dakota,"637,389 "," 2,841 ","14,503 ","654,733 ","616,421 ","38,312 ",6.2%,"25,933 ",NA,"272,231 ","63,955 ","223,598 ",519 
Tennessee,"3,027,665 "," 9,853 "," 63,813 ","3,101,331 ","3,031,395 ","69,936 ",2.3%,"44,729 ",NA,"1,206,972 ","326,125 ","1,292,684 ","2,383 "
Texas,"12,787,563 "," 38,518 ","    133,592 ","12,959,673 ","12,189,465 ","770,208 ",6.3%,"263,395 ",NA,"5,183,476 ","1,047,604 ","5,651,021 ","4,177 "
Utah,"1,203,679 "," 6,586 "," 15,097 ","1,225,362 ","1,175,959 ","49,403 ",4.2%,"23,308 ",NA,"430,137 ","134,667 ","529,923 ","1,083 "
Vermont,"364,804 "," 1,002 "," 4,461 ","370,267 ","336,307 ","33,960 ",10.1%,"3,386 ",NA,"131,190 ","30,769 ","176,324 ",119 
Virginia,"3,675,118 "," 20,645 "," 46,824 ","3,742,587 ","3,623,181 ","119,406 ",3.3%,"33,187 ",NA,"1,152,392 ","496,977 ","1,818,035 ","1,939 "
Washington,"3,526,344 "," 15,612 ","    84,055 ","3,626,011 ","3,405,328 ","220,683 ",6.5%,"42,052 ",NA,"1,260,598 ","421,502 ","1,575,762 ","4,978 "
West Virginia,"959,909 "," 3,321 ","21,853 ","985,083 ","915,775 ","69,308 ",7.6%,"8,025 ",NA,"404,744 ","80,015 ","417,731 ",779 
Wisconsin,"2,887,042 "," 5,914 "," 45,166 ","2,938,122 ","2,851,317 ","86,805 ",3.0%,"65,953 ",NA,"920,786 ","441,557 ","1,297,317 ","1,077 "
Wyoming,"571,696 "," 3,032 ",913 ,"575,641 ","571,211 ","4,430 ",0.8%,"10,698 ",NA,"279,927 ","32,802 ","201,878 ",626 
Total,"139,089,800 "," 493,431 ","1,672,917 ","141,256,148 ","137,162,458 ","4,093,690 ",3.0%,"2,654,584 ",NA,"46,844,188 ","16,917,823 ","64,703,676 ","86,862 "
