STATE,RURAL,,,,,,,URBAN,,,,,,,RURAL AND URBAN,,,,,,
,MILES ,LANE- MILES  (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL  RURAL (2),,,MILES ,LANE- MILES (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL  URBAN (2),,,MILES ,LANE- MILES (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL   (2),,
New Hampshire,"3,186 ","6,699 ","11,398 ","1,701 ",28.7 ,29.8 ,80.5 ,717 ,"1,705 ","9,752 ","5,719 ",14.2 ,15.9 ,44.9 ,"3,902 ","8,405 ","21,150 ","2,516 ",24.2 ,25.3 ,59.0 
New Jersey,352 ,925 ,"5,589 ","6,040 ",6.2 ,7.9 ,42.2 ,"1,988 ","7,629 ","77,129 ","10,109 ",6.0 ,10.4 ,39.9 ,"2,340 ","8,555 ","82,718 ","9,669 ",6.0 ,10.0 ,40.0 
New Mexico,"11,007 ","26,197 ","27,944 ","1,067 ",18.1 ,20.9 ,65.7 ,969 ,"3,307 ","16,069 ","4,860 ",11.6 ,17.4 ,49.3 ,"11,976 ","29,504 ","44,014 ","1,492 ",17.3 ,20.4 ,58.6 
New York,"9,617 ","21,217 ","35,763 ","1,686 ",14.9 ,16.1 ,42.3 ,"5,433 ","17,103 ","124,256 ","7,265 ",10.9 ,15.5 ,47.1 ,"15,049 ","38,320 ","160,019 ","4,176 ",13.2 ,15.9 ,45.9 
North Carolina,"59,229 ","122,574 ","72,228 ",589 ,90.4 ,90.7 ,70.1 ,"20,330 ","49,114 ","155,078 ","3,158 ",49.8 ,54.0 ,76.2 ,"79,559 ","171,687 ","227,306 ","1,324 ",74.8 ,75.9 ,74.2 
North Dakota,"7,184 ","16,432 ","14,186 ",863 ,8.5 ,9.5 ,71.0 ,223 ,785 ,"3,242 ","4,129 ",10.5 ,16.8 ,43.1 ,"7,406 ","17,217 ","17,428 ","1,012 ",8.5 ,9.7 ,63.4 
Ohio,"13,555 ","30,400 ","61,448 ","2,021 ",18.0 ,19.6 ,66.4 ,"5,673 ","19,016 ","122,525 ","6,443 ",12.0 ,17.7 ,56.0 ,"19,228 ","49,416 ","183,974 ","3,723 ",15.6 ,18.8 ,59.1 
Oklahoma,"10,851 ","25,003 ","38,449 ","1,538 ",11.4 ,12.9 ,66.3 ,"1,406 ","5,352 ","31,605 ","5,905 ",7.8 ,13.2 ,43.5 ,"12,257 ","30,356 ","70,054 ","2,308 ",10.9 ,13.0 ,53.6 
Oregon,"6,431 ","14,589 ","25,670 ","1,760 ",11.0 ,12.3 ,65.5 ,"1,230 ","4,005 ","31,467 ","7,857 ",8.3 ,12.5 ,52.9 ,"7,661 ","18,594 ","57,137 ","3,073 ",10.4 ,12.3 ,57.9 
Pennsylvania,"28,522 ","60,405 ","69,006 ","1,142 ",39.3 ,40.6 ,71.2 ,"11,234 ","27,893 ","130,277 ","4,671 ",23.6 ,27.5 ,72.5 ,"39,756 ","88,297 ","199,283 ","2,257 ",33.1 ,35.3 ,72.1 
Rhode Island,374 ,837 ,"2,231 ","2,666 ",27.5 ,29.8 ,91.7 ,717 ,"2,011 ","14,388 ","7,153 ",15.3 ,20.2 ,75.6 ,"1,091 ","2,848 ","16,619 ","5,835 ",18.0 ,22.3 ,77.4 
South Carolina,"29,792 ","62,736 ","55,630 ",887 ,51.6 ,52.9 ,86.0 ,"11,567 ","27,728 ","70,054 ","2,526 ",62.3 ,66.2 ,90.9 ,"41,359 ","90,465 ","125,684 ","1,389 ",54.2 ,56.4 ,88.7 
South Dakota,"7,507 ","16,984 ","13,697 ",806 ,9.5 ,10.6 ,76.8 ,259 ,937 ,"3,422 ","3,652 ",7.7 ,12.6 ,44.4 ,"7,766 ","17,921 ","17,119 ",955 ,9.4 ,10.7 ,67.0 
Tennessee,"10,028 ","23,789 ","52,630 ","2,212 ",15.6 ,18.0 ,75.4 ,"3,851 ","13,431 ","89,991 ","6,700 ",12.3 ,19.1 ,64.1 ,"13,878 ","37,220 ","142,620 ","3,832 ",14.5 ,18.4 ,67.9 
Texas,"64,729 ","144,138 ","170,190 ","1,181 ",31.5 ,33.9 ,90.2 ,"15,694 ","51,618 ","341,620 ","6,618 ",14.5 ,20.4 ,65.9 ,"80,423 ","195,756 ","511,809 ","2,615 ",25.6 ,28.9 ,72.4 
Utah,"4,685 ","11,270 ","16,907 ","1,500 ",13.3 ,15.6 ,74.5 ,"1,186 ","4,857 ","36,862 ","7,589 ",10.7 ,19.3 ,63.1 ,"5,871 ","16,127 ","53,769 ","3,334 ",12.7 ,16.5 ,66.3 
Vermont,"2,377 ","5,320 ","9,730 ","1,829 ",18.6 ,20.3 ,68.3 ,252 ,683 ,"3,085 ","4,518 ",17.2 ,21.9 ,53.2 ,"2,629 ","6,003 ","12,816 ","2,135 ",18.4 ,20.5 ,64.0 
Virginia,"44,922 ","93,574 ","54,375 ",581 ,95.0 ,95.2 ,84.1 ,"13,726 ","33,684 ","110,355 ","3,276 ",49.4 ,52.1 ,68.2 ,"58,648 ","127,258 ","164,730 ","1,294 ",78.1 ,78.1 ,72.8 
Washington,"5,515 ","12,505 ","30,409 ","2,432 ",9.8 ,11.0 ,67.2 ,"1,543 ","5,973 ","60,941 ","10,203 ",6.4 ,11.3 ,51.6 ,"7,058 ","18,478 ","91,351 ","4,944 ",8.8 ,11.1 ,55.9 
West Virginia,"29,964 ","61,059 ","21,386 ",350 ,94.7 ,94.7 ,80.3 ,"4,439 ","9,929 ","23,289 ","2,346 ",62.1 ,64.3 ,84.1 ,"34,403 ","70,987 ","44,675 ",629 ,88.7 ,88.8 ,82.2 
Wisconsin,"9,596 ","22,094 ","51,617 ","2,336 ",10.5 ,11.9 ,58.7 ,"2,150 ","7,575 ","47,679 ","6,294 ",9.1 ,14.5 ,58.1 ,"11,746 ","29,669 ","99,296 ","3,347 ",10.2 ,12.4 ,58.4 
Wyoming,"6,259 ","14,303 ","13,791 ",964 ,24.1 ,26.6 ,75.7 ,459 ,"1,422 ","3,751 ","2,637 ",15.7 ,21.9 ,46.5 ,"6,718 ","15,726 ","17,543 ","1,116 ",23.2 ,26.1 ,66.7 
U.S.,"610,551 ","1,351,173 ","1,799,661 ","1,332 ",20.7 ,22.4 ,70.7 ,"170,280 ","526,435 ","3,367,203 ","6,396 ",14.1 ,19.4 ,56.7 ,"780,831 ","1,877,608 ","5,166,865 ","2,752 ",18.8 ,21.5 ,60.9 
Puerto Rico (6),"1,026 ","2,166 ","3,297 ","1,522 ",33.0 ,34.3 ,92.6 ,"3,549 ","8,517 ","41,972 ","4,928 ",26.4 ,29.9 ,85.8 ,"4,575 ","10,683 ","45,269 ","4,238 ",27.6 ,30.7 ,86.3 
Grand Total,"611,577 ","1,353,339 ","1,802,958 ","1,332 ",20.7 ,22.4 ,70.8 ,"173,829 ","534,952 ","3,409,175 ","6,373 ",14.2 ,19.3 ,57.1 ,"785,406 ","1,888,291 ","5,212,134 ","2,760 ",18.8 ,21.5 ,61.2 
