YEAR,NET INCOME,,,,,,,,,,,,,,EXPENDITURES,CLOSING BALANCE
,FROM EXCISE TAXES,,,,,,,,,,,,,TOTAL (2),,
 Transit,"1,042,273","71,781","281,195","1,395,249",-,-,-,-,-,-,-,"1,395,249","581,321","1,976,570","878,953","7,154,959"
 Total,"8,514,069","225,320","3,177,457","11,916,846","254,793",-,-,"1,112,260","583,716",-,-288,"13,867,327","1,562,392","15,429,719","15,254,147","16,783,913"
1991, , , , , , , , , , , , , , , , 
 Highways,"9,140,468","231,415","3,141,894","12,513,777","357,070",-,-,"1,047,422","574,926",-,515,"14,493,710","809,773","15,303,484","14,686,495","10,245,943"
 Transit,"1,882,164","146,759","456,053","2,484,976",-,-,-,-,-,-,-,"2,484,976","664,302","3,149,278","1,054,115","9,250,122"
 Total,"11,022,632","378,174","3,597,947","14,998,753","357,070",-,-,"1,047,422","574,926",-,515,"16,978,686","1,474,075","18,452,762","15,740,610","19,496,065"
1992, , , , , , , , , , , , , , , , 
 Highways,"10,245,605","395,496","3,271,861","13,912,762","256,683",-,-,"874,162","620,008",-,-28,"15,663,587","908,446","16,572,032","15,517,751","11,300,224"
 Transit,"972,204","50,674","46,947","1,069,825",-,-,-,-,-,-,-,"1,069,825","746,058","1,815,883","1,267,845","9,798,159"
 Total,"11,217,809","446,170","3,318,808","14,982,587","256,683",-,-,"874,162","620,008",-,-28,"16,733,412","1,654,504","18,387,915","16,785,596","21,098,383"
1993, , , , , , , , , , , , , , , , 
 Highways,"10,385,123","416,409","3,110,618","13,912,150","304,482",-,-,"1,199,291","630,401",-,-,"16,046,324","817,493","16,863,817","16,640,749","11,523,292"
 Transit,"1,537,330","131,634","323,222","1,992,186",-,-,-,-,-,-,-,"1,992,188","742,502","2,734,688","1,915,662","10,617,185"
 Total,"11,922,453","548,043","3,433,840","15,904,336","304,482",-,-,"1,199,291","630,401",-,-,"18,038,512","1,559,995","19,598,505","18,556,411","22,140,477"
1994, , , , , , , , , , , , , , , , 
 Highways,"10,001,736","616,425","3,281,271","13,899,432","327,398",-,-,"1,405,218","618,423",-,-,"16,250,471","754,393","17,004,864","19,010,855","9,517,301"
 Transit,"1,441,669","234,423","331,647","2,007,739",-,-,-,-,-,-,-,"2,007,739","683,617","2,691,356","3,363,652","9,944,890"
 Total,"11,443,405","850,848","3,612,918","15,907,171","327,398",-,-,"1,405,218","618,423",-,-,"18,258,210","1,438,010","19,696,220","22,374,507","19,462,191"
1995, , , , , , , , , , , , , , , , 
 Highways,"10,735,259","491,554","4,516,005","15,742,818","395,443",-,-,"2,008,840","681,792",-,-,"18,828,893","547,726","19,376,619","19,472,496","9,421,424"
 Transit,"1,637,464","188,279","366,319","2,192,062",-,-,-,-,-,-,-,"2,192,062","620,577","2,812,639","3,178,768","9,578,760"
 Total,"12,372,723","679,833","4,882,324","17,934,880","395,443",-,-,"2,008,840","681,792",-,-,"21,020,955","1,168,303","22,189,258","22,651,264","19,000,184"
1996, , , , , , , , , , , , , , , , 
 Highways,"13,142,896","776,710","4,963,166","18,882,772","532,352",-,-,"1,878,863","739,878",-,-,"22,033,866","657,874","22,691,739","19,995,345","12,117,818"
 Transit,"1,979,199","120,001","517,827","2,617,027",-,-,-,-,-,-,-,"2,617,027","664,782","3,281,809","3,335,988","9,524,582"
 Total,"15,122,095","896,711","5,480,993","21,499,799","532,352",-,-,"1,878,863","739,878",-,-,"24,650,893","1,322,656","25,973,548","23,331,333","21,642,400"
1997, , , , , , , , , , , , , , , , 
 Highways,"12,483,138","575,397","4,714,934","17,773,469","299,745",-,-,"1,674,348","761,760",-,-,"20,509,321","804,750","21,314,071","20,856,750","12,576,718"
 Transit,"2,420,368","286,822","650,488","3,357,679",-,-,-,-,-,-,-,"3,357,679","638,063","3,995,742","3,662,697","9,857,627"
 Total,"14,903,506","862,219","5,365,422","21,131,148","299,745",-,-,"1,674,348","761,760",-,-,"23,867,000","1,442,813","25,309,813","24,519,447","22,434,345"
