  STATE   ,MOTOR-FUEL AND MOTOR- VEHICLE TAX REVENUES 4/ ,ROAD AND CROSSING TOLLS    4/ ,APPROPRIATIONS FROM GENERAL FUNDS ,PROPERTY TAXES AND SPECIAL ASSESSMENTS , OTHER LOCAL IMPOSTS  ,  MISCELLANEOUS  ,BOND PROCEEDS 3/ ,,PAYMENTS FROM OTHER GOVERNMENTS ,,,,  TOTAL RECEIPTS 
Nevada 5/,"123,263 ",-,-,"627,425 ","294,555 ","143,601 ","169,884 ",-,"3,200 ",-,-,-,"1,361,928 "
New Hampshire 5/,"151,848 ",-,"187,788 ","41,376 ",-,"1,019 ","45,997 ",-,"44,343 ",-,-,-,"472,371 "
New Jersey 5/,-,"35,621 ","1,643,363 ",-,-,"8,371 ","107,458 ",-,"18,174 ","145,000 ",-,-,"1,957,987 "
New Mexico,-,-,"169,385 ","29,622 ","89,613 ","22,914 ","75,492 ",-,"51,634 ","34,427 ",-,-,"473,087 "
New York 5/,"175,992 ","573,321 ","16,128,775 ","1,122,140 ","230,871 ","690,233 ","1,378,040 ",-,-,"402,172 ",-,-,"20,701,544 "
North Carolina,"27,025 ",-,"395,775 ","4,276 ","15,557 ","49,939 ","267,643 ",-,"147,189 ","7,807 ",-,"8,833 ","924,044 "
North Dakota 5/,-,-,"264,508 ","68,627 ","51,477 ","27,349 ","58,193 ",-,"122,021 ",-,-,-,"592,175 "
Ohio 5/,-,-,-,"853,814 ","796,704 ","45,815 ","148,913 ",-,"1,133,725 ",-,-,-,"2,978,971 "
Oklahoma,-,-,"398,709 ",4 ,"92,537 ","60,792 ","31,958 ",-,875 ,-,-,-,"584,875 "
Oregon 5/,"16,127 ","5,045 ","620,889 ","25,316 ","26,619 ","197,998 ","179,569 ",-,"12,272 ",141 ,-,-,"1,083,976 "
Pennsylvania 5/,"54,371 ",-,"936,024 ","500,002 ",-,"562,996 ","13,969 ",-,"323,195 ",-,-,-,"2,390,557 "
Rhode Island,552 ,-,"73,703 ",-,-,-,"27,750 ",-,-,794 ,-,"2,525 ","105,324 "
South Carolina,"30,812 ",-,"534,921 ",-,-,-,-,-,"1,595 ","27,514 ",-,"3,561 ","598,403 "
South Dakota 5/,"80,407 ",-,"273,890 ",-,"10,449 ","6,500 ",-,-,"1,136 ",-,-,-,"372,382 "
Tennessee,"24,544 ",-,"207,492 ",-,-,"31,719 ","13,867 ",-,"291,200 ",-,-,"10,184 ","579,006 "
Texas,"234,013 ","742,112 ","1,530,616 ","1,474,382 ","225,010 ","967,626 ","863,018 ",-,"433,282 ","29,142 ",-,"249,315 ","6,748,516 "
Utah,"12,838 ",-,"316,637 ",-,"13,562 ",-,-,-,"75,915 ",-,-,"63,725 ","482,677 "
Vermont 5/,-,-,"16,261 ","83,597 ",-,981 ,"33,103 ",-,"27,052 ",-,-,-,"160,994 "
Virginia,"179,693 ","33,715 ","34,616 ",-,"851,931 ","54,196 ","130,221 ",-,"654,617 ","88,111 ",-,"16,110 ","2,043,210 "
Washington,677 ,"6,072 ","497,562 ","613,900 ","152,125 ","625,902 ","119,142 ",-,"445,525 ","244,266 ",-,"52,278 ","2,757,449 "
West Virginia 5/,-,"1,725 ","267,961 ","69,713 ",177 ,"19,891 ",851 ,-,"10,243 ",-,-,-,"370,561 "
Wisconsin 5/,"14,635 ",79 ,"3,006,397 ","1,126,737 ","43,809 ","93,078 ","1,038,725 ",-,"455,751 ",-,-,-,"5,779,211 "
Wyoming 5/,-,-,"75,659 ","27,269 ","227,528 ","1,461 ",-,-,"3,585 ",-,-,-,"335,502 "
Total,"3,090,749 ","2,070,781 ","39,216,120 ","12,846,917 ","6,674,534 ","7,754,403 ","6,582,271 ","36,890 ","14,007,829 ","2,084,014 ",-,"741,148 ","95,105,656 "
