STATE,MINOR ARTERIAL,,,,,,,MAJOR COLLECTOR,,,,,,,MINOR COLLECTOR,,,,,,
,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
Dist. of Columbia,80 ,10 ,4 ,-,14 ,55 ,148 ,134 ,2 ,-,-,2 ,4 ,139 ,-,-,-,-,-,-,-
Florida,"1,550 ","1,854 ",5 ,2 ,"1,861 ",773 ,"4,184 ","5,234 ",711 ,-,-,711 ,500 ,"6,445 ","1,700 ",129 ,-,-,129 ,31 ,"1,860 "
Georgia,"3,690 ",359 ,-,-,359 ,910 ,"4,959 ","3,408 ",102 ,-,-,102 ,214 ,"3,724 ",683 ,-,-,-,-,2 ,685 
Hawaii,124 ,45 ,7 ,0 ,53 ,15 ,192 ,235 ,22 ,1 ,0 ,23 ,4 ,262 ,179 ,8 ,0 ,-,8 ,1 ,188 
Idaho,505 ,7 ,1 ,-,7 ,162 ,674 ,718 ,3 ,-,-,3 ,14 ,735 ,7 ,-,-,-,-,-,7 
Illinois,"2,741 ",640 ,44 ,-,683 ,"1,065 ","4,489 ","4,658 ",126 ,7 ,-,133 ,530 ,"5,321 ",360 ,-,-,-,-,4 ,364 
Indiana,"2,659 ",95 ,79 ,1 ,174 ,344 ,"3,177 ","3,202 ",20 ,7 ,-,27 ,86 ,"3,316 ",375 ,-,-,-,-,6 ,381 
Iowa,"1,216 ",72 ,19 ,-,90 ,337 ,"1,644 ","1,210 ",9 ,-,-,9 ,67 ,"1,285 ",-,-,-,-,-,-,-
Kansas,712 ,188 ,92 ,11 ,291 ,354 ,"1,358 ","1,534 ",69 ,1 ,-,69 ,154 ,"1,757 ",346 ,3 ,-,-,3 ,24 ,372 
Kentucky,902 ,152 ,49 ,3 ,204 ,287 ,"1,393 ","1,267 ",5 ,-,-,5 ,17 ,"1,289 ",190 ,-,-,-,-,-,190 
Louisiana,"1,288 ",226 ,0 ,-,226 ,426 ,"1,941 ","1,892 ",91 ,-,-,91 ,80 ,"2,063 ",166 ,-,-,-,-,-,166 
Maine,180 ,9 ,3 ,2 ,14 ,36 ,231 ,502 ,4 ,0 ,0 ,5 ,7 ,513 ,18 ,-,-,-,-,-,18 
Maryland,"1,197 ",204 ,34 ,-,239 ,107 ,"1,543 ","1,649 ",87 ,-,1 ,88 ,183 ,"1,920 ",117 ,3 ,-,-,3 ,1 ,121 
Massachusetts,"3,819 ",55 ,2 ,1 ,58 ,74 ,"3,951 ","3,024 ",1 ,-,-,1 ,-,"3,025 ",-,-,-,-,-,-,-
Michigan,"3,853 ",45 ,63 ,2 ,110 ,982 ,"4,945 ","3,678 ",5 ,-,-,5 ,217 ,"3,900 ",43 ,-,-,-,-,-,43 
Minnesota,"2,019 ",479 ,17 ,-,496 ,181 ,"2,696 ","2,215 ",70 ,-,1 ,71 ,148 ,"2,434 ",98 ,0 ,-,-,0 ,-,98 
Mississippi,882 ,16 ,13 ,5 ,35 ,162 ,"1,079 ","1,465 ",17 ,26 ,-,44 ,41 ,"1,550 ",10 ,-,-,-,-,-,10 
Missouri,"1,413 ",46 ,95 ,13 ,155 ,563 ,"2,131 ","2,245 ",23 ,3 ,-,27 ,184 ,"2,456 ",2 ,-,-,-,-,-,2 
Montana,251 ,-,12 ,-,12 ,26 ,290 ,385 ,-,1 ,-,1 ,14 ,399 ,52 ,-,-,-,-,-,52 
Nebraska,656 ,82 ,8 ,-,90 ,43 ,789 ,541 ,6 ,-,-,6 ,4 ,551 ,-,-,-,-,-,-,-
Nevada,331 ,13 ,186 ,-,199 ,356 ,886 ,47 ,1 ,1 ,-,2 ,1 ,50 ,865 ,1 ,139 ,-,139 ,133 ,"1,138 "
New Hampshire,420 ,22 ,-,0 ,22 ,41 ,483 ,523 ,5 ,-,-,5 ,4 ,533 ,-,-,-,-,-,-,-
New Jersey,"3,349 ",67 ,0 ,-,68 ,235 ,"3,651 ","2,820 ",34 ,-,-,34 ,58 ,"2,912 ",404 ,-,-,-,-,-,404 
New Mexico,471 ,94 ,32 ,-,126 ,137 ,734 ,773 ,36 ,2 ,-,38 ,33 ,844 ,294 ,3 ,-,-,3 ,7 ,304 
New York,"4,526 ",391 ,78 ,21 ,490 ,536 ,"5,552 ","5,300 ",17 ,21 ,1 ,40 ,77 ,"5,417 ",14 ,-,-,-,-,-,14 
North Carolina,"2,517 ",168 ,50 ,73 ,292 ,628 ,"3,436 ","3,063 ",36 ,1 ,5 ,42 ,232 ,"3,338 ",419 ,0 ,-,-,0 ,5 ,424 
North Dakota,281 ,1 ,-,-,1 ,20 ,303 ,329 ,-,-,-,-,-,329 ,-,-,-,-,-,-,-
Ohio,"2,718 ",188 ,22 ,-,210 ,"1,045 ","3,973 ","4,585 ",159 ,-,-,159 ,625 ,"5,369 ",561 ,9 ,-,-,9 ,23 ,593 
Oklahoma,"1,606 ",78 ,24 ,-,101 ,498 ,"2,205 ","1,375 ",9 ,-,-,9 ,108 ,"1,491 ",105 ,3 ,-,-,3 ,1 ,109 
Oregon,"1,071 ",75 ,-,-,75 ,140 ,"1,286 ","2,095 ",-,-,-,-,15 ,"2,110 ",495 ,-,-,-,-,-,495 
Pennsylvania,"3,469 ",148 ,17 ,-,165 ,317 ,"3,951 ","5,260 ",16 ,0 ,-,16 ,83 ,"5,359 ",-,-,-,-,-,-,-
Rhode Island,330 ,-,-,-,-,7 ,337 ,537 ,-,-,-,-,-,537 ,26 ,-,-,-,-,-,26 
South Carolina,"1,057 ",597 ,22 ,-,619 ,92 ,"1,767 ","2,610 ",113 ,-,-,113 ,83 ,"2,807 ",73 ,-,-,-,-,-,73 
South Dakota,312 ,5 ,6 ,-,11 ,108 ,431 ,341 ,-,-,-,-,10 ,351 ,-,-,-,-,-,-,-
Tennessee,"1,825 ",207 ,-,4 ,211 ,655 ,"2,690 ","2,189 ",23 ,-,-,23 ,133 ,"2,344 ",896 ,-,-,-,-,-,896 
Texas,"3,842 ",861 ,27 ,-,888 ,"3,215 ","7,945 ","12,956 ",643 ,1 ,-,644 ,"2,148 ","15,747 ",926 ,-,-,-,-,70 ,996 
Utah,432 ,51 ,-,-,51 ,173 ,656 ,960 ,61 ,-,-,61 ,79 ,"1,100 ",-,-,-,-,-,-,-
Vermont,136 ,-,-,-,-,15 ,151 ,236 ,-,-,-,-,3 ,238 ,16 ,-,-,-,-,-,16 
Virginia,"1,670 ",564 ,39 ,6 ,609 ,409 ,"2,689 ","2,461 ",89 ,-,2 ,91 ,156 ,"2,708 ",661 ,0 ,-,-,0 ,3 ,664 
Washington,"2,345 ",21 ,31 ,-,51 ,314 ,"2,710 ","2,691 ",1 ,-,-,1 ,42 ,"2,734 ",187 ,-,-,-,-,-,187 
West Virginia,722 ,4 ,1 ,-,5 ,30 ,757 ,"1,040 ",3 ,-,-,3 ,3 ,"1,046 ",-,-,-,-,-,-,-
Wisconsin,"2,108 ",348 ,7 ,3 ,358 ,204 ,"2,670 ","2,713 ",48 ,-,-,48 ,30 ,"2,791 ",-,-,-,-,-,-,-
Wyoming,191 ,4 ,-,-,4 ,41 ,236 ,505 ,-,-,-,-,11 ,516 ,40 ,-,-,-,-,2 ,42 
U.S. Total,"81,030 ","10,282 ","1,328 ",166 ,"11,776 ","20,282 ","113,088 ","117,913 ","3,157 ",74 ,11 ,"3,242 ","7,614 ","128,769 ","11,984 ",168 ,139 ,-,307 ,329 ,"12,620 "
Puerto Rico (4),912 ,29 ,11 ,-,40 ,58 ,"1,010 ","1,194 ",15 ,2 ,-,17 ,29 ,"1,240 ",-,-,-,-,-,-,-
Grand Total,"81,942 ","10,311 ","1,339 ",166 ,"11,816 ","20,340 ","114,098 ","119,107 ","3,172 ",76 ,11 ,"3,259 ","7,643 ","130,009 ","11,984 ",168 ,139 ,-,307 ,329 ,"12,620 "
