YEAR,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,"OTHERPRINCIPAL
ARTERIAL","MINOR
ARTERIAL","MAJOR
COLLECTOR","MINOR
COLLECTOR",LOCAL,TOTAL,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPALARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,
1992,"205,557 ", ,"196,816 ","147,246 ","184,845 ","50,065 ","99,568 ","884,097 ","303,265 ","138,312 ","345,047 ","262,259 ","116,065 ", ,"198,106 ","1,363,054 ","2,247,151 "
1993,"208,308 ", ,"203,113 ","146,454 ","178,170 ","48,126 ","102,535 ","886,706 ","317,399 ","142,063 ","354,976 ","276,939 ","117,887 ", ,"200,408 ","1,409,672 ","2,296,378 "
1994,"215,568 ", ,"207,569 ","149,760 ","182,000 ","48,529 ","104,915 ","908,341 ","330,577 ","147,534 ","364,200 ","286,165 ","120,088 ", ,"200,683 ","1,449,247 ","2,357,588 "
1995,"223,382 ", ,"215,567 ","153,028 ","186,212 ","49,936 ","105,164 ","933,289 ","341,528 ","151,560 ","370,338 ","293,272 ","126,929 ", ,"205,907 ","1,489,534 ","2,422,823 "
1996,"232,565 ", ,"221,403 ","157,444 ","190,923 ","50,107 ","107,752 ","960,194 ","351,579 ","157,502 ","377,776 ","299,345 ","129,310 ", ,"208,374 ","1,523,886 ","2,484,080 "
1997,"240,255 ", ,"228,716 ","163,341 ","201,790 ","52,310 ","112,865 ","999,277 ","361,433 ","159,572 ","385,123 ","301,932 ","130,146 ", ,"214,750 ","1,552,956 ","2,552,233 "
1998,"251,520 ", ,"237,704 ","165,780 ","203,580 ","54,288 ","119,656 ","1,032,528 ","374,622 ","165,632 ","388,071 ","309,293 ","131,905 ", ,"226,097 ","1,595,620 ","2,628,148 "
1999,"260,166 ", ,"244,045 ","169,275 ","206,831 ","57,622 ","124,684 ","1,062,623 ","383,259 ","171,515 ","392,688 ","313,950 ","131,603 ", ,"234,603 ","1,627,618 ","2,690,241 "
2000,"268,180 ", ,"248,725 ","171,874 ","209,659 ","57,572 ","127,142 ","1,083,152 ","393,465 ","177,222 ","398,772 ","324,398 ","135,372 ", ,"234,544 ","1,663,773 ","2,746,925 "
2001,"273,619 ", ,"253,259 ","174,223 ","211,830 ","60,244 ","136,188 ","1,109,363 ","399,986 ","182,485 ","401,337 ","330,114 ","137,921 ", ,"234,404 ","1,686,247 ","2,795,610 "
2002,"280,609 ", ,"257,607 ","176,323 ","213,493 ","61,376 ","137,986 ","1,127,394 ","409,208 ","189,726 ","408,545 ","339,664 ","141,964 ", ,"239,007 ","1,728,114 ","2,855,508 "
2003,"269,650 ", ,"245,682 ","171,617 ","202,364 ","60,435 ","134,695 ","1,084,443 ","432,757 ","199,998 ","425,560 ","349,375 ","154,453 ", ,"243,635 ","1,805,778 ","2,890,221 "
2004,"266,245 ", ,"240,752 ","168,661 ","200,452 ","60,212 ","132,104 ","1,068,426 ","455,538 ","208,251 ","449,967 ","363,487 ","162,218 ", ,"256,901 ","1,896,362 ","2,964,788 "
2005,"256,642 ", ,"232,596 ","163,859 ","192,402 ","58,299 ","128,628 ","1,032,426 ","470,925 ","213,877 ","464,956 ","372,255 ","170,265 ", ,"264,726 ","1,957,004 ","2,989,430 "
2006,"257,915 ", ,"231,971 ","162,611 ","193,279 ","58,088 ","133,282 ","1,037,146 ","477,287 ","217,216 ","466,749 ","376,301 ","173,216 ", ,"266,456 ","1,977,225 ","3,014,371 "
2007,"256,438 ", ,"232,054 ","161,411 ","189,219 ","57,708 ","135,960 ","1,032,790 ","483,315 ","220,335 ","469,681 ","377,111 ","175,966 ", ,"271,926 ","1,998,334 ","3,031,124 "
2008,"243,221 ", ,"222,294 ","151,941 ","182,261 ","54,693 ","133,825 ","988,235 ","476,114 ","222,630 ","462,525 ","376,434 ","177,140 ", ,"273,450 ","1,988,293 ","2,976,528 "
2009,"242,178 ","6,371 ","215,346 ","151,144 ","177,554 ","53,782 ","135,805 ","982,180 ","474,798 ","220,574 ","456,477 ","376,478 ","179,939 ",53,"266,264 ","1,974,583 ","2,956,764 "
2010,"245,647 ","19,603 ","205,782 ","151,028 ","176,162 ","53,195 ","132,731 ","984,148 ","477,693 ","220,861 ","457,153 ","374,557 ","176,729 ","3,837","271,528 ","1,982,358 ","2,966,506 "
2011,"243,587 ","19,438 ","204,204 ","149,457 ","174,458 ","53,296 ","129,597 ","974,038 ","476,704 ","221,986 ","453,815 ","368,303 ","175,200 ","3,578","272,507 ","1,972,094 ","2,946,131 "
2012,"245,872 ","20,146 ","203,132 ","148,676 ","175,699 ","53,072 ","130,027 ","976,624 ","484,547 ","224,058 ","456,703 ","371,424 ","175,037 ","4,476","275,946 ","1,992,191 ","2,968,815 "
2013,"234,303 ","22,763 ","193,063 ","142,936 ","168,630 ","52,593 ","127,623 ","941,912 ","505,309 ","223,234 ","464,534 ","381,159 ","183,019 ","5,528 ","283,585 ","2,046,369 ","2,988,280 "
2014,"231,372 ","26,418 ","188,156 ","140,545 ","158,994 ","49,695 ","125,747 ","920,928 ","519,843 ","227,520 ","467,764 ","389,753 ","193,415 ","11,638 ","294,796 ","2,104,728 ","3,025,656 "
2015,"235,766 ","31,214 ","185,488 ","140,728 ","157,315 ","51,370 ","127,024 ","928,905 ","541,186 ","238,878 ","469,837 ","400,070 ","199,926 ","13,499 ","303,071 ","2,166,468 ","3,095,373 "
