STATE,ALL FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,ALL NON-FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,TOTAL FEDERAL-AID AND NON-FEDERAL-AID
Illinois," 24,758 "," 20,293 "," 11,919 ", 514 , 9 ," 57,493 ", 939 ," 6,237 "," 168,861 ", 789 , 387 ," 177,213 "," 234,706 "
Indiana," 17,733 "," 13,290 "," 6,884 ", 252 ,-," 38,160 ", 241 ," 91,619 "," 23,978 ", 715 , 702 ," 117,255 "," 155,415 "
Iowa," 14,289 "," 23,410 "," 4,429 ", 29 , 1 ," 42,158 ", 1 ," 121,031 "," 19,778 ", 984 , 223 ," 142,018 "," 184,176 "
Kansas," 16,545 "," 34,221 "," 4,474 ", 383 , 83 ," 55,707 ", 19 ," 148,177 "," 21,363 ",-," 1,096 "," 170,654 "," 226,361 "
Kentucky," 21,463 ", 430 , 999 , 4 , 68 ," 22,965 "," 23,013 "," 63,954 "," 16,223 ", 898 ," 1,466 "," 105,553 "," 128,518 "
Louisiana," 19,057 "," 1,149 "," 2,425 ", 49 , 3 ," 22,684 "," 7,801 "," 51,490 "," 15,812 ", 5 ," 1,052 "," 76,160 "," 98,844 "
Maine," 9,977 ",-, 1 , 182 , 1 ," 10,161 "," 3,474 ", 595 ," 22,088 ", 290 , 264 ," 26,711 "," 36,872 "
Maryland," 7,301 "," 3,883 "," 1,395 ", 218 , 68 ," 12,866 ", 994 ," 30,649 "," 5,558 ", 247 ," 1,246 "," 38,693 "," 51,559 "
Massachusetts," 4,643 ",-," 13,149 ", 366 , 14 ," 18,172 ", 97 ,-," 39,451 ", 753 , 145 ," 40,445 "," 58,617 "
Michigan," 15,528 "," 36,473 "," 6,969 ", 17 ,-," 58,987 ", 31 ," 107,582 "," 27,171 ", 119 ," 2,910 "," 137,813 "," 196,800 "
Minnesota," 18,964 "," 30,229 "," 3,987 ", 105 , 2 ," 53,286 ", 44 ," 44,656 "," 118,616 "," 2,654 "," 4,068 "," 170,038 "," 223,324 "
Mississippi," 17,178 "," 13,978 "," 3,608 ", 1 , 570 ," 35,335 ", 365 ," 71,241 "," 15,483 "," 1,027 ", 109 ," 88,225 "," 123,560 "
Missouri," 42,961 "," 1,636 "," 5,024 ", 8 , 1 ," 49,630 "," 11,551 "," 116,398 "," 31,959 ", 169 ," 1,999 "," 162,077 "," 211,707 "
Montana," 16,469 "," 4,701 ", 997 , 672 , 793 ," 23,633 "," 1,256 "," 63,849 "," 6,815 "," 6,130 "," 19,031 "," 97,080 "," 120,713 "
Nebraska," 15,988 "," 14,795 "," 2,349 ", 1 , 47 ," 33,180 ", 11 ," 83,804 "," 34,539 ", 194 , 325 ," 118,873 "," 152,053 "
Nevada," 7,791 "," 2,409 "," 1,689 ", 113 , 90 ," 12,092 ", 868 ," 45,181 "," 7,366 ",-," 5,143 "," 58,558 "," 70,650 "
New Hampshire," 4,457 ",-," 1,091 ", 159 ,-," 5,707 "," 1,823 ",-," 18,192 ", 11 , 239 ," 20,265 "," 25,972 "
New Jersey," 3,736 "," 8,748 "," 4,432 ", 663 ,-," 17,580 ", 30 ," 1,954 "," 41,844 ", 965 , 495 ," 45,288 "," 62,868 "
New Mexico," 15,264 "," 1,400 "," 2,844 ",-, 318 ," 19,825 "," 4,009 "," 64,179 "," 5,686 ", 248 ," 17,208 "," 91,330 "," 111,155 "
New York," 23,320 "," 9,409 "," 10,637 "," 1,219 ", 14 ," 44,598 ", 900 ," 23,098 "," 113,114 "," 1,160 "," 1,183 "," 139,454 "," 184,053 "
North Carolina," 35,934 ",-," 1,364 ",-, 506 ," 37,804 "," 92,103 ",-," 35,144 "," 1,672 "," 4,404 "," 133,323 "," 171,127 "
North Dakota," 11,850 "," 16,933 "," 1,467 ",-, 99 ," 30,348 ", 70 , 12 ," 107,369 ", 31 ," 2,389 "," 109,871 "," 140,220 "
Ohio," 29,214 "," 9,541 "," 9,251 ", 388 ,-," 48,395 "," 1,730 "," 37,587 "," 108,240 "," 1,439 ", 438 ," 149,435 "," 197,830 "
Oklahoma," 19,726 "," 24,859 "," 6,174 ", 997 ,-," 51,756 ",-," 100,848 "," 27,991 ", 774 , 21 ," 129,635 "," 181,391 "
Oregon," 12,009 "," 12,135 "," 3,870 ", 49 ," 1,880 "," 29,942 ", 320 ," 40,798 "," 13,877 "," 2,322 "," 31,098 "," 88,415 "," 118,357 "
Pennsylvania," 39,542 ", 544 ," 4,890 ", 915 , 34 ," 45,926 "," 24,439 ", 3 ," 120,355 "," 1,257 "," 1,287 "," 147,342 "," 193,267 "
Rhode Island," 1,656 ",-," 1,136 ", 34 , 8 ," 2,833 ", 100 ,-," 6,581 ", 73 , 143 ," 6,898 "," 9,730 "
South Carolina," 33,338 ", 459 , 391 ,-, 27 ," 34,215 "," 33,223 "," 47,705 "," 4,721 ", 313 ," 2,536 "," 88,497 "," 122,712 "
South Dakota," 12,494 "," 17,068 "," 1,207 ", 41 ," 1,183 "," 31,994 ", 5 ," 39,682 "," 55,878 "," 2,650 "," 2,684 "," 100,900 "," 132,893 "
Tennessee," 22,333 "," 2,497 "," 5,484 ",-,-," 30,315 ", 2 ," 90,517 "," 30,521 ", 640 ," 1,918 "," 123,598 "," 153,912 "
Texas," 112,283 "," 7,699 "," 23,891 ", 593 , 125 ," 144,590 "," 17,145 "," 228,812 "," 110,012 ", 4 ," 4,120 "," 360,093 "," 504,683 "
Utah," 9,366 "," 3,158 "," 2,640 ",-, 196 ," 15,360 ", 83 ," 35,821 "," 15,545 ", 841 ," 6,861 "," 59,150 "," 74,510 "
Vermont," 4,218 ",-," 2,034 ",-,-," 6,253 ", 13 ,-," 16,407 ",-, 264 ," 16,685 "," 22,937 "
Virginia," 28,256 ", 495 ," 4,759 ", 63 , 616 ," 34,189 "," 66,128 "," 2,290 "," 14,299 ",-," 3,893 "," 86,611 "," 120,799 "
Washington," 11,359 "," 13,683 "," 7,236 ", 41 , 359 ," 32,677 ",-," 49,521 "," 20,025 "," 13,435 "," 13,635 "," 96,615 "," 129,292 "
West Virginia," 16,426 ",-, 440 , 139 ,-," 17,005 "," 38,941 ",-," 4,791 ", 314 ," 1,343 "," 45,389 "," 62,394 "
Wisconsin," 18,866 "," 18,855 "," 8,361 ",-,-," 46,083 ", 36 ," 14,576 "," 123,470 ",-," 1,508 "," 139,590 "," 185,673 "
Wyoming," 10,121 "," 1,236 ", 744 , 13 , 570 ," 12,684 ", 691 ," 22,345 "," 3,205 "," 1,968 "," 5,684 "," 33,894 "," 46,577 "
U.S. Total," 911,867 "," 454,617 "," 255,927 "," 12,416 "," 10,835 "," 1,645,663 "," 344,759 "," 2,496,482 "," 1,894,141 "," 81,344 "," 223,997 "," 5,040,723 "," 6,686,385 "
Puerto Rico (5)," 5,232 ",-, 359 ,-, 39 ," 5,629 "," 2,132 ",-," 18,900 ",-, 10 ," 21,042 "," 26,672 "
Grand Total," 917,099 "," 454,617 "," 256,286 "," 12,416 "," 10,874 "," 1,651,292 "," 346,891 "," 2,496,482 "," 1,913,041 "," 81,344 "," 224,007 "," 5,061,765 "," 6,713,057 "
