YEAR,"PUBLIC ROAD 
      MILES (2)",,,"ANNUAL VEHICLE-MILES 
      OF TRAVEL (VMT) 
      (MILLIONS) ",,,"HIGHWAY 
      FATALITIES (3)",FATALITY RATES ,,,
1931,-,-,"3,291,000 ","100,571 ","115,580 ","216,151 ","31,963 ",9.71 ,14.79 ,122.49 ,-
1932,-,-,"3,296,000 ","94,151 ","106,366 ","200,517 ","27,979 ",8.49 ,13.95 ,114.71 ,-
1933,-,-,"3,286,000 ","95,064 ","105,578 ","200,642 ","29,746 ",9.05 ,14.83 ,123.12 ,-
1934,-,-,"3,309,000 ","103,050 ","112,513 ","215,563 ","34,240 ",10.35 ,15.88 ,135.54 ,-
1935,-,-,"3,310,000 ","110,241 ","118,327 ","228,568 ","34,494 ",10.42 ,15.09 ,129.94 ,-
1936,-,-,"3,267,000 ","122,678 ","129,450 ","252,128 ","36,126 ",11.06 ,14.33 ,126.73 ,-
1937,-,-,"3,245,000 ","132,038 ","138,072 ","270,110 ","37,819 ",11.65 ,14.00 ,125.82 ,-
1938,-,-,"3,257,000 ","134,913 ","136,264 ","271,177 ","31,083 ",9.54 ,11.46 ,104.26 ,-
1939,-,-,"3,274,000 ","143,149 ","142,253 ","285,402 ","30,895 ",9.44 ,10.83 ,99.63 ,-
1940,-,-,"3,287,000 ","152,195 ","149,993 ","302,188 ","32,914 ",10.01 ,10.89 ,101.42 ,-
1941,"3,005,787 ","303,891 ","3,309,678 ","170,021 ","163,591 ","333,612 ","38,142 ",11.52 ,11.43 ,109.31 ,-
1942,"3,003,852 ","304,645 ","3,308,497 ","129,989 ","138,235 ","268,224 ","27,007 ",8.16 ,10.07 ,81.83 ,-
1943,"3,004,861 ","306,277 ","3,311,138 ","99,202 ","108,990 ","208,192 ","22,727 ",6.86 ,10.92 ,73.58 ,-
1944,"3,005,076 ","306,101 ","3,311,177 ","101,963 ","110,750 ","212,713 ","23,165 ",7.00 ,10.89 ,76.00 ,-
1945,"3,012,371 ","306,915 ","3,319,286 ","120,012 ","130,161 ","250,173 ","26,785 ",8.07 ,10.71 ,86.30 ,-
1946,"3,009,145 ","307,393 ","3,316,538 ","170,831 ","170,049 ","340,880 ","31,874 ",9.61 ,9.35 ,92.73 ,-
1947,"3,009,617 ","316,536 ","3,326,153 ","186,806 ","184,088 ","370,894 ","31,193 ",9.38 ,8.41 ,82.43 ,-
1948,"3,006,904 ","315,756 ","3,322,660 ","198,875 ","199,082 ","397,957 ","30,775 ",9.26 ,7.73 ,74.90 ,-
1949,"3,002,509 ","319,233 ","3,321,742 ","219,097 ","205,364 ","424,461 ","30,246 ",9.11 ,7.13 ,67.68 ,50.99 
1950,"2,990,036 ","322,939 ","3,312,975 ","239,998 ","218,248 ","458,246 ","33,186 ",10.02 ,7.24 ,67.50 ,53.36 
1951,"2,987,430 ","339,080 ","3,326,510 ","268,422 ","222,671 ","491,093 ","35,309 ",10.61 ,7.19 ,68.02 ,54.79 
1952,"2,993,600 ","349,570 ","3,343,170 ","289,463 ","224,118 ","513,581 ","36,088 ",10.79 ,7.03 ,67.76 ,54.00 
1953,"3,012,520 ","353,670 ","3,366,190 ","308,375 ","236,058 ","544,433 ","36,190 ",10.75 ,6.65 ,64.38 ,51.80 
1954,"3,029,811 ","364,750 ","3,394,561 ","317,844 ","244,119 ","561,963 ","33,890 ",9.98 ,6.03 ,57.93 ,47.14 
1955,"3,045,265 ","372,949 ","3,418,214 ","337,385 ","268,261 ","605,646 ","36,688 ",10.73 ,6.06 ,58.52 ,49.12 
1956,"3,051,382 ","378,419 ","3,429,801 ","352,379 ","275,464 ","627,843 ","37,965 ",11.07 ,6.05 ,58.27 ,48.89 
1957,"3,063,923 ","389,195 ","3,453,118 ","372,828 ","272,176 ","645,004 ","36,932 ",10.70 ,5.73 ,55.02 ,46.38 
1958,"3,074,193 ","404,594 ","3,478,787 ","378,992 ","285,661 ","664,653 ","35,331 ",10.16 ,5.32 ,51.73 ,43.33 
1959,"3,094,462 ","416,198 ","3,510,660 ","394,841 ","305,639 ","700,480 ","36,223 ",10.32 ,5.17 ,50.76 ,42.87 
1960,"3,116,125 ","429,568 ","3,545,693 ","400,463 ","318,299 ","718,762 ","36,399 ",10.27 ,5.06 ,49.28 ,41.72 
1961,"3,127,225 ","445,821 ","3,573,046 ","406,338 ","331,083 ","737,421 ","36,285 ",10.16 ,4.92 ,47.77 ,40.89 
1962,"3,144,337 ","455,244 ","3,599,581 ","419,479 ","347,255 ","766,734 ","38,980 ",10.83 ,5.08 ,49.25 ,43.03 
1963,"3,145,505 ","474,952 ","3,620,457 ","430,262 ","374,987 ","805,249 ","41,723 ",11.52 ,5.18 ,50.45 ,44.59 
1964,"3,152,577 ","491,492 ","3,644,069 ","443,381 ","402,917 ","846,298 ","45,645 ",12.53 ,5.39 ,52.88 ,47.81 
1965,"3,183,220 ","506,446 ","3,689,666 ","455,905 ","431,907 ","887,812 ","47,089 ",12.76 ,5.30 ,52.11 ,47.81 
1966,"3,187,715 ","510,235 ","3,697,950 ","476,139 ","449,760 ","925,899 ","50,894 ",13.76 ,5.50 ,54.17 ,50.39 
1967,"3,183,711 ","521,203 ","3,704,914 ","481,361 ","482,644 ","964,005 ","51,559 ",13.92 ,5.35 ,53.21 ,49.97 
1968,"3,152,047 ","532,038 ","3,684,085 ","506,018 ","509,851 ","1,015,869 ","53,763 ",14.59 ,5.29 ,53.28 ,51.00 
1969,"3,161,726 ","548,573 ","3,710,299 ","524,367 ","537,424 ","1,061,791 ","55,043 ",14.84 ,5.18 ,52.37 ,50.82 
1970,"3,169,412 ","560,670 ","3,730,082 ","539,472 ","570,252 ","1,109,724 ","53,816 ",14.43 ,4.85 ,49.64 ,48.25 
1971,"3,165,895 ","593,047 ","3,758,942 ","572,766 ","606,045 ","1,178,811 ","53,907 ",14.34 ,4.57 ,47.71 ,47.11 
1972,"3,173,287 ","613,426 ","3,786,713 ","589,782 ","670,004 ","1,259,786 ","55,600 ",14.68 ,4.41 ,46.80 ,46.95 
1973,"3,175,754 ","631,129 ","3,806,883 ","605,801 ","707,309 ","1,313,110 ","55,096 ",14.47 ,4.20 ,43.85 ,45.33 
1974,"3,178,152 ","637,655 ","3,815,807 ","585,350 ","695,194 ","1,280,544 ","46,049 ",12.07 ,3.60 ,35.44 ,36.71 
1975,"3,198,596 ","639,550 ","3,838,146 ","601,656 ","726,008 ","1,327,664 ","45,500 ",11.85 ,3.43 ,34.22 ,35.06 
1976,"3,209,035 ","648,321 ","3,857,356 ","627,095 ","775,285 ","1,402,380 ","45,523 ",11.80 ,3.25 ,32.86 ,33.96 
1977,"3,179,839 ","687,328 ","3,867,167 ","654,094 ","812,933 ","1,467,027 ","47,878 ",12.38 ,3.26 ,33.69 ,34.66 
1978,"3,190,408 ","694,353 ","3,884,761 ","686,255 ","858,449 ","1,544,704 ","50,331 ",12.96 ,3.26 ,33.91 ,35.74 
1979,"3,223,505 ","693,991 ","3,917,496 ","670,079 ","859,054 ","1,529,133 ","51,093 ",13.04 ,3.34 ,33.64 ,35.66 
1980,"3,230,936 ","628,901 ","3,859,837 ","672,030 ","855,265 ","1,527,295 ","51,091 ",13.24 ,3.35 ,32.79 ,35.16 
1981,"3,220,731 ","631,742 ","3,852,473 ","688,308 ","867,000 ","1,555,308 ","49,301 ",12.80 ,3.17 ,31.15 ,33.52 
1982,"3,224,850 ","641,044 ","3,865,894 ","689,226 ","905,784 ","1,595,010 ","43,945 ",11.37 ,2.76 ,27.53 ,29.25 
1983,"3,216,239 ","663,378 ","3,879,617 ","700,517 ","952,271 ","1,652,788 ","42,589 ",10.98 ,2.58 ,26.01 ,27.59 
1984,"3,215,537 ","675,927 ","3,891,464 ","718,132 ","1,002,137 ","1,720,269 ","44,257 ",11.37 ,2.57 ,26.62 ,28.48 
1985,"3,172,967 ","690,945 ","3,863,912 ","730,728 ","1,044,098 ","1,774,826 ","43,825 ",11.34 ,2.47 ,25.53 ,27.94 
1986,"3,176,514 ","701,427 ","3,877,941 ","747,780 ","1,087,092 ","1,834,872 ","46,087 ",11.88 ,2.51 ,26.16 ,28.90 
1987,"3,163,827 ","710,165 ","3,873,992 ","780,450 ","1,140,754 ","1,921,204 ","46,390 ",11.97 ,2.41 ,25.91 ,28.67 
1988,"3,130,639 ","740,105 ","3,870,744 ","817,534 ","1,208,428 ","2,025,962 ","47,087 ",12.16 ,2.32 ,25.54 ,28.91 
1989,"3,123,066 ","753,799 ","3,876,865 ","847,225 ","1,249,262 ","2,096,487 ","45,582 ",11.76 ,2.17 ,24.34 ,27.53 
1990,"3,122,282 ","744,644 ","3,866,926 ","868,878 ","1,275,484 ","2,144,362 ","44,599 ",11.53 ,2.08 ,23.64 ,26.70 
1991,"3,134,058 ","749,862 ","3,883,920 ","883,553 ","1,288,497 ","2,172,050 ","41,508 ",10.69 ,1.91 ,22.04 ,24.56 
1992,"3,116,015 ","785,066 ","3,901,081 ","884,097 ","1,363,054 ","2,247,151 ","39,230 ",10.06 ,1.75 ,20.61 ,22.66 
1993,"3,099,334 ","805,877 ","3,905,211 ","886,706 ","1,409,672 ","2,296,378 ","40,134 ",10.28 ,1.75 ,20.68 ,23.61 
1994,"3,092,810 ","813,785 ","3,906,595 ","908,341 ","1,449,247 ","2,357,588 ","40,718 ",10.42 ,1.73 ,20.88 ,23.21 
1995,"3,092,632 ","819,712 ","3,912,344 ","933,289 ","1,489,534 ","2,422,823 ","41,770 ",10.68 ,1.72 ,20.73 ,23.65 
1996,"3,092,888 ","826,840 ","3,919,729 ","960,194 ","1,523,886 ","2,484,080 ","42,065 ",10.73 ,1.69 ,19.99 ,23.43 
1997,"3,109,138 ","836,740 ","3,945,877 ","999,277 ","1,552,956 ","2,552,233 ","42,013 ",10.65 ,1.65 ,19.86 ,22.99 
1998,"3,064,645 ","841,647 ","3,906,292 ","1,032,528 ","1,595,620 ","2,628,148 ","41,501 ",10.62 ,1.58 ,19.26 ,22.44 
1999,"3,071,158 ","846,087 ","3,917,245 ","1,062,623 ","1,627,618 ","2,690,241 ","41,717 ",10.65 ,1.55 ,18.92 ,22.29 
2000,"3,083,985 ","852,245 ","3,936,230 ","1,083,152 ","1,663,773 ","2,746,925 ","41,945 ",10.66 ,1.53 ,18.57 ,22.00 
2001,"3,071,332 ","877,005 ","3,948,337 ","1,109,363 ","1,686,247 ","2,795,610 ","42,196 ",10.69 ,1.51 ,17.93 ,22.06 
2002,"3,071,764 ","894,725 ","3,966,490 ","1,127,394 ","1,728,114 ","2,855,508 ","43,005 ",10.84 ,1.51 ,18.33 ,22.13 
2003,"3,033,197 ","941,830 ","3,975,027 ","1,084,443 ","1,805,778 ","2,890,221 ","42,884 ",10.79 ,1.48 ,18.11 ,21.86 
2004,"2,998,708 ","983,544 ","3,982,253 ","1,068,426 ","1,896,362 ","2,964,788 ","42,836 ",10.76 ,1.44 ,17.63 ,21.54 
2005,"2,979,464 ","1,016,323 ","3,995,787 ","1,032,426 ","1,957,004 ","2,989,430 ","43,510 ",10.89 ,1.46 ,17.59 ,21.70 
2006,"2,987,385 ","1,029,290 ","4,016,675 ","1,037,146 ","1,977,225 ","3,014,371 ","42,708 ",10.63 ,1.42 ,17.03 ,21.06 
2007,"2,987,761 ","1,044,367 ","4,032,128 ","1,035,303 ","1,994,519 ","3,029,822 ","41,059 ",10.18 ,1.36 ,16.14 ,19.96 
2008,"2,977,222 ","1,065,556 ","4,042,778 ","990,418 ","1,983,091 ","2,973,509 ","37,261 ",9.22 ,1.25 ,15.02 ,17.91 
2009,"2,969,346 ","1,081,371 ","4,050,717 ","982,180 ","1,974,583 ","2,956,764 ","33,883 ",8.36 ,1.15 ,13.39 ,16.17 
2010,"2,977,376 ","1,089,701 ","4,067,077 ","984,065 ","1,983,200 ","2,967,266 ","32,999 ",8.11 ,1.11 ,13.04 ,15.71 
2011,"2,982,383 ","1,095,373 ","4,077,756 ","974,038 ","1,972,094 ","2,946,131 ","32,367 ",7.94 ,1.10 ,12.78 ,15.27 
2012,"2,979,711 ","1,113,018 ","4,092,730 ","976,624 ","1,992,191 ","2,968,815 ","33,561 ",8.20 ,1.13 ,13.23 ,15.85 
2013,"2,937,476 ","1,177,986 ","4,115,462 ","941,912 ","2,046,369 ","2,988,280 ","32,719 ",7.95 ,1.09 ,12.79 ,15.42 
2014,"2,975,354 ","1,201,719 ","4,177,073 ","920,928 ","2,104,728 ","3,025,656 ","32,675 ",7.82 ,1.08 ,12.55 ,15.26 
2015,"2,945,513 ","1,209,214 ","4,154,727 ","928,905 ","2,166,468 ","3,095,373 ","35,092 ",8.45 ,1.13 ,13.48 ,16.39 
