STATE,NAME OF FACILITY,OPERATING AUTHORITY,"BALANCE BEGINNING 
      OF YEAR","ROAD 
      AND 
      CROSSING 
      TOLLS","CONCESSIONS 
      AND 
      RENTALS","NET 
      INCOME FROM 
      INVESTMENTS",MISCELLANEOUS,BOND PROCEEDS,TOTAL RECEIPTS
,Hood    River - White Salmon Bridge,Port    of Hood River Commission,-," 3,607",-, 4, 10,-," 3,621"
,Wheatland    Ferry,Marion    County Road Department,-, 594,-,-, 160,-, 754
,Total,,-," 6,044", 3, 4, 448,-," 6,499"
Texas,Cameron    County International Toll Bridge,Cameron    County," 17,771"," 15,172", 459, 50," 2,422",-," 18,103"
,Del    Rio International Bridge,City    of Del Rio," 2,679"," 5,216",-, 3, 635,-," 5,854"
,Eagle    Pass-Piedras Negras International Bridge,City    of Eagle Pass," 3,994"," 9,701",-, 5, 180,-," 9,886"
,Fort    Bend Toll Road,Fort    Bend Toll Road Authority," 63,399"," 23,510",-, 175, 880,-," 24,565"
,Harris    County Toll Facilities 3/,Harris    County Toll Road Authority," 1,241,925"," 622,209",-," 23,875"," 62,185",-," 708,269"
,Laredo-Nuevo    Laredo International Bridge,City    of Laredo," 11,721"," 54,402", 805, 55, 343," 36,226"," 91,831"
,McAllen    International Toll Bridge,City    of McAllen," 11,062"," 13,548"," 1,911", 2," 1,112",-," 16,573"
,Pharr-Reynosa    International Toll Bridge,City    of Pharr," 10,725"," 12,362",-, 216, 466,-," 13,044"
,Roma    International Toll Bridge,Starr    County, 859," 1,871", 57, 1,-,-," 1,929"
,San    Luis Pass-Vacek Bridge,Galveston    County, 461, 507,-, 3, 800,-," 1,310"
,Zaragosa    Bridge,City    of El Paso," 1,071"," 19,625", 79, 10, 352," 10,795"," 30,861"
,Total,," 1,365,667"," 778,123"," 3,311"," 24,395"," 69,375"," 47,021"," 922,225"
Virginia,Chesapeake    Expressway,City    of Chesapeake," 149,157"," 19,668",-, 139,-," 13,580"," 33,387"
,Richmond    Expressway System,Richmond    Metropolitan Authority," 61,739"," 37,828", 48, 358, 9, 456," 38,699"
,Total,," 210,896"," 57,496", 48, 497, 9," 14,036"," 72,086"
Washington,Guemes    Island Ferry,Skagit    County,-, 920,-,-," 1,844",-," 2,764"
,Lummi    Island-Gooseberry Point Ferry,Whatcom    County,-," 1,482",-,-," 2,116",-," 3,598"
,Puget    Island Ferry,Wahkiacum    County,-, 167,-,-," 3,947",-," 4,114"
,Steilacoom    (Tacoma-McNeil-Anderson) Ferry,Pierce    County,-," 3,503",-,-, 867,-," 4,370"
,Total,,-," 6,072",-,-," 8,774",-," 14,846"
West Virginia,Parkersburg Bridge,City of Parkersburg," 4,509"," 1,725",-, 11,-,-," 1,736"
Wisconsin,Cassville Car Ferry,Cassville Harbor Commission, 178, 81, 2,-, 83,-, 166
Summary,Total    Bridge and Tunnel Facilities,," 1,290,080"," 2,030,780"," 45,852"," 110,267"," 84,789"," 452,332"," 2,724,020"
,Total    Road Facilities,," 3,003,850"," 1,188,903", 48," 38,032"," 108,313"," 107,605"," 1,442,901"
,Total    Ferry Facilities,," 42,306"," 94,903"," 7,236", 53," 25,897"," 23,801"," 151,890"
 Grand Total,,," 4,336,236"," 3,314,586"," 53,136"," 148,352"," 218,999"," 583,738"," 4,318,811"
