,STATE,INTERSTATE ,OTHER  FREEWAYS  AND  EXPRESSWAYS ,OTHER  PRINCIPAL  ARTERIAL ,MINOR  ARTERIAL ,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY .1,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL.1,STATE HIGHWAY AGENCY .2,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (2).1",OTHER JURIS- DICTIONS (3).1,FEDERAL AGENCY (4).1,TOTAL.2,STATE HIGHWAY AGENCY .3,COUNTY .2,"TOWN, TOWNSHIP, MUNICIPAL (2).2",OTHER JURIS- DICTIONS (3).2,FEDERAL AGENCY (4).2,TOTAL.3
40,South Carolina,879,-,879,72,-,-,-,-,72,2489,0,-,-,-,2489,4785,4,10,-,6,4805,,,,
41,South Dakota,951,-,951,468,-,-,-,-,468,4162,-,-,-,10,4172,4710,-,0,-,57,4767,,,,
42,Tennessee,923,-,923,-,-,-,-,-,-,2796,-,-,-,-,2796,4728,45,6,-,-,4779,,,,
43,Texas,3220,-,3220,-,-,-,6,-,6,13546,30,3,1,-,13580,16704,87,51,-,-,16842,,,,
44,Utah,1101,-,1101,14,-,-,-,-,14,1854,-,-,-,19,1873,2025,65,8,-,27,2126,,,,
45,Vermont,416,-,416,3,-,-,-,-,3,484,-,18,-,-,502,1130,-,41,-,-,1172,,,,
46,Virginia,755,-,755,142,-,-,-,-,142,2087,-,-,-,-,2087,4936,-,49,-,138,5123,,,,
47,Washington,690,-,690,988,-,-,-,-,988,2109,3,-,-,-,2112,2708,462,15,1,66,3253,,,,
48,West Virginia,425,72,497,14,-,-,-,-,14,1601,-,-,-,-,1601,2109,-,-,-,-,2109,,,,
49,Wisconsin,825,-,825,229,-,-,-,-,229,4700,17,-,-,-,4716,7421,216,1,-,-,7638,,,,
50,Wyoming,1300,-,1300,-,-,-,-,-,-,3093,-,-,-,99,3192,1530,1,-,-,443,1974,,,,
51,U.S. Total,44467,2188,46655,9446,4,4,118,-,9572,142868,596,118,507,139,144227,199492,11185,1121,353,1917,214069,,,,
52,Puerto Rico (5),50,-,50,-,-,-,-,-,-,85,-,-,-,-,85,372,-,2,-,-,373,,,,
53,Grand Total,44517,2188,46705,9446,4,4,118,-,9572,142953,596,118,507,139,144312,199864,11185,1123,353,1917,214442,,,,
