,STATE,INTERSTATE SYSTEM,OTHER  ARTERIALS ,OTHER ,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL,MOTOR- CYCLES .1,PASSENGER CARS .1,LIGHT TRUCKS .1, BUSES .1,SINGLE-UNIT TRUCKS .1,COMBINATION TRUCKS .1,TOTAL.1,MOTOR- CYCLES .2,PASSENGER CARS .2,LIGHT TRUCKS .2, BUSES .2,SINGLE-UNIT TRUCKS .2,COMBINATION TRUCKS .2,TOTAL.2
13,Illinois,0.68,69.8,15.47,0.74,2.37,10.94,100.0,0.71,82.77,8.25,0.9,3.85,3.52,100.0,0.81,85.26,8.51,0.34,3.28,1.8,100.0,,,
14,Indiana,0.39,69.69,17.13,0.24,2.43,10.12,100.0,0.79,68.75,21.78,0.78,3.83,4.07,100.0,0.94,69.67,23.66,0.68,3.88,1.17,100.0,,,
15,Iowa,0.32,67.81,15.63,0.62,2.9,12.72,100.0,0.2,82.5,12.87,0.17,1.79,2.47,100.0,0.0,99.09,0.0,0.0,0.63,0.28,100.0,,,
16,Kansas,0.5,69.07,19.3,0.03,3.4,7.7,100.0,0.7,71.2,20.5,0.05,3.2,4.35,100.0,0.65,74.4,19.6,0.05,4.0,1.3,100.0,,,
17,Kentucky,0.6,73.9,14.0,0.8,2.8,7.9,100.0,1.4,72.3,17.2,0.7,3.9,4.5,100.0,0.5,72.4,20.7,0.6,3.5,2.3,100.0,,,
18,Louisiana,0.45,52.39,27.62,0.84,6.68,12.02,100.0,0.41,63.57,26.83,0.62,5.18,3.39,100.0,0.44,59.93,28.74,0.88,6.5,3.51,100.0,,,
19,Maine,0.8,74.68,13.09,0.49,3.56,7.38,100.0,1.19,72.77,20.69,0.64,3.13,1.58,100.0,0.97,72.48,21.15,1.18,3.14,1.08,100.0,,,
20,Maryland,0.17,79.9,11.45,0.75,3.39,4.34,100.0,0.37,81.99,12.68,0.67,3.09,1.2,100.0,0.76,80.68,13.67,0.51,3.35,1.03,100.0,,,
21,Massachusetts,0.79,80.62,13.13,0.41,2.14,2.91,100.0,0.93,81.06,13.73,0.66,2.47,1.15,100.0,0.86,78.19,15.99,0.56,3.53,0.87,100.0,,,
22,Michigan,0.39,72.35,17.96,0.46,1.42,7.42,100.0,0.79,74.43,20.94,0.16,1.45,2.23,100.0,1.16,74.06,21.02,0.11,1.89,1.76,100.0,,,
23,Minnesota,0.93,64.8,27.91,0.36,2.01,3.99,100.0,0.94,66.49,27.59,0.34,2.53,2.11,100.0,0.96,67.61,28.42,0.29,1.79,0.93,100.0,,,
24,Mississippi,0.17,64.77,20.49,0.42,3.19,10.96,100.0,0.31,72.56,21.2,0.38,2.95,2.6,100.0,0.35,72.41,22.57,0.52,3.38,0.77,100.0,,,
25,Missouri,1.23,62.63,19.48,0.58,3.56,12.52,100.0,0.58,67.18,24.68,0.32,3.53,3.71,100.0,0.54,64.13,28.82,0.24,3.98,2.29,100.0,,,
26,Montana,0.6,50.7,35.1,0.5,2.6,10.5,100.0,1.2,56.1,37.4,0.5,2.1,2.7,100.0,1.2,56.5,39.6,0.4,1.0,1.3,100.0,,,
27,Nebraska,0.22,73.91,20.85,0.05,1.01,3.96,100.0,0.51,70.11,25.71,0.13,1.71,1.83,100.0,0.34,74.55,23.16,0.23,1.24,0.48,100.0,,,
28,Nevada,0.22,87.22,4.73,0.41,2.3,5.12,100.0,0.43,89.38,5.1,0.44,1.75,2.9,100.0,0.49,85.21,10.07,0.68,1.5,2.05,100.0,,,
29,New Hampshire,0.66,76.6,17.04,0.56,2.46,2.68,100.0,0.73,75.9,18.91,0.47,2.48,1.51,100.0,1.1,74.78,18.13,0.59,4.63,0.77,100.0,,,
30,New Jersey,0.08,76.79,16.03,0.19,2.43,4.48,100.0,0.08,77.54,17.49,0.31,2.73,1.85,100.0,0.1,76.55,18.66,0.12,2.85,1.72,100.0,,,
31,New Mexico,0.7,51.3,21.8,1.3,6.2,18.7,100.0,0.7,65.8,22.3,0.5,5.5,5.2,100.0,1.0,70.2,21.3,0.8,4.9,1.8,100.0,,,
32,New York,0.38,81.65,7.12,0.66,3.86,6.33,100.0,0.51,80.52,14.03,0.75,2.97,1.22,100.0,0.67,78.9,16.13,0.68,3.05,0.57,100.0,,,
33,North Carolina,0.42,74.78,15.48,0.48,2.39,6.45,100.0,0.5,77.08,16.92,0.5,2.79,2.21,100.0,0.63,77.41,16.54,0.91,3.0,1.51,100.0,,,
34,North Dakota,0.26,66.96,23.1,0.29,2.3,7.09,100.0,0.48,68.96,25.06,0.06,3.19,2.25,100.0,0.45,51.57,34.97,0.38,7.02,5.61,100.0,,,
35,Ohio,0.21,72.6,13.3,0.22,2.68,10.99,100.0,0.49,75.33,16.3,0.51,2.78,4.59,100.0,0.69,76.82,17.32,0.47,2.18,2.52,100.0,,,
36,Oklahoma,0.55,56.71,26.5,0.5,5.82,9.92,100.0,0.48,64.38,27.19,0.42,5.26,2.27,100.0,0.48,68.65,26.28,0.28,3.7,0.61,100.0,,,
37,Oregon,0.44,62.75,22.35,0.34,4.2,9.92,100.0,0.78,65.83,25.02,1.3,4.35,2.72,100.0,0.81,67.15,20.15,1.83,6.86,3.2,100.0,,,
38,Pennsylvania,0.39,70.41,16.51,0.89,4.02,7.78,100.0,0.94,75.76,17.4,0.55,3.55,1.8,100.0,1.07,76.2,17.65,0.42,3.8,0.86,100.0,,,
39,Rhode Island,0.01,84.36,10.52,0.13,2.5,2.48,100.0,0.3,75.8,16.45,1.05,4.93,1.47,100.0,0.7,76.55,15.19,0.84,6.03,0.69,100.0,,,
40,South Carolina,0.2,74.5,15.3,0.6,2.6,6.8,100.0,0.5,80.9,13.2,0.4,2.6,2.4,100.0,0.5,79.7,13.4,0.4,3.1,2.9,100.0,,,
41,South Dakota,1.0,63.7,22.7,0.2,2.4,10.0,100.0,1.5,61.9,29.0,0.0,2.0,5.6,100.0,2.0,61.3,28.8,0.0,2.3,5.6,100.0,,,
42,Tennessee,1.1,63.8,18.2,0.4,5.4,11.1,100.0,1.1,71.6,19.9,0.1,2.3,5.0,100.0,0.5,76.7,20.5,0.0,1.3,1.0,100.0,,,
43,Texas,0.24,66.0,22.03,0.22,2.93,8.58,100.0,0.25,63.68,27.96,0.24,3.19,4.68,100.0,0.23,58.2,32.33,0.34,4.04,4.86,100.0,,,
44,Utah,1.26,42.15,30.0,0.33,17.73,8.53,100.0,0.41,53.41,24.87,0.47,14.38,6.46,100.0,0.55,55.27,23.51,0.52,11.57,8.58,100.0,,,
45,Vermont,0.51,71.18,17.12,1.14,6.23,3.82,100.0,1.31,74.14,17.96,0.55,4.48,1.56,100.0,0.86,74.64,19.55,0.16,4.2,0.59,100.0,,,
46,Virginia,0.28,76.76,15.0,0.58,1.23,6.15,100.0,0.29,80.02,15.99,0.52,1.25,1.93,100.0,0.3,81.23,16.07,0.63,1.23,0.54,100.0,,,
47,Washington,0.24,66.41,25.39,0.3,2.43,5.23,100.0,0.3,66.5,27.22,0.24,2.96,2.78,100.0,0.34,57.25,35.12,0.22,4.48,2.59,100.0,,,
48,West Virginia,0.16,60.04,18.32,1.09,4.99,15.4,100.0,0.55,73.21,20.29,0.5,3.97,1.48,100.0,0.73,74.78,19.85,0.4,3.4,0.84,100.0,,,
49,Wisconsin,0.41,70.19,13.95,0.63,3.1,11.72,100.0,0.52,76.0,15.83,0.58,3.14,3.93,100.0,0.64,71.29,19.79,0.63,3.93,3.72,100.0,,,
50,Wyoming,0.26,38.86,32.09,0.29,2.2,26.3,100.0,0.27,48.38,43.7,0.18,2.34,5.13,100.0,0.19,42.69,53.01,0.24,2.47,1.4,100.0,,,
51,Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
