STATE,INTERSTATE ,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,
,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL
North Dakota,60 ,-,60 ,-,-,-,-,-,-,141 ,-,46 ,-,-,188 
Ohio,841 ,91 ,931 ,577 ,3 ,2 ,-,-,581 ,"1,976 ",66 ,387 ,-,-,"2,428 "
Oklahoma,246 ,40 ,286 ,133 ,-,3 ,62 ,-,198 ,720 ,25 ,412 ,11 ,-,"1,168 "
Oregon,234 ,-,234 ,54 ,2 ,1 ,-,-,57 ,637 ,49 ,168 ,3 ,-,856 
Pennsylvania,517 ,239 ,756 ,482 ,-,-,44 ,-,527 ,"2,603 ",37 ,168 ,4 ,-,"2,812 "
Rhode Island,52 ,-,52 ,72 ,-,-,8 ,-,80 ,304 ,-,35 ,3 ,-,343 
South Carolina,304 ,-,304 ,84 ,-,-,-,-,84 ,"1,062 ",-,2 ,-,-,"1,064 "
South Dakota,88 ,-,88 ,18 ,-,-,-,-,18 ,108 ,-,26 ,-,-,134 
Tennessee,531 ,-,531 ,154 ,0 ,10 ,-,-,165 ,"1,674 ",7 ,114 ,-,-,"1,795 "
Texas,"1,416 ",-,"1,416 ","1,220 ",-,2 ,289 ,-,"1,511 ","4,439 ",134 ,"1,499 ",11 ,-,"6,083 "
Utah,253 ,-,253 ,44 ,-,-,-,-,44 ,617 ,1 ,33 ,-,-,650 
Vermont,62 ,-,62 ,12 ,-,4 ,-,-,16 ,70 ,-,43 ,-,-,113 
Virginia,652 ,1 ,653 ,274 ,-,42 ,19 ,24 ,359 ,"1,061 ",36 ,603 ,20 ,4 ,"1,725 "
Washington,335 ,-,335 ,412 ,-,5 ,-,-,417 ,488 ,161 ,786 ,7 ,-,"1,441 "
West Virginia,203 ,42 ,245 ,14 ,-,-,-,-,14 ,411 ,-,5 ,-,-,416 
Wisconsin,363 ,-,363 ,329 ,-,-,-,-,329 ,"1,234 ",391 ,318 ,-,-,"1,942 "
Wyoming,106 ,-,106 ,3 ,-,-,-,-,3 ,214 ,2 ,13 ,-,-,229 
U.S. Total,"17,733 ","1,331 ","19,063 ","10,770 ",103 ,278 ,826 ,62 ,"12,038 ","46,899 ","4,478 ","15,155 ",302 ,21 ,"66,855 "
Puerto Rico (4),234 ,-,234 ,66 ,-,-,-,-,66 ,380 ,-,11 ,-,-,391 
Grand Total,"17,967 ","1,331 ","19,297 ","10,836 ",103 ,278 ,826 ,62 ,"12,104 ","47,279 ","4,478 ","15,166 ",302 ,21 ,"67,246 "
