STATE,OTHER  FEDERAL - AID  HIGHWAYS ,,,,,,,,,,,,,,
,RURAL,,,,,,,URBAN,,,,,,,TOTAL 
South Dakota,"5,304 ","6,775 ","2,013 ","1,264 ",19 ,-,"15,375 ",161 ,244 ,148 ,143 ,73 ,15 ,782 ,"16,157 "
Tennessee,38 ,"1,032 ","1,529 ","4,351 ",845 ,150 ,"7,945 ",870 ,"1,531 ","1,099 ","1,498 ",903 ,243 ,"6,144 ","14,089 "
Texas,"3,890 ","13,431 ","8,988 ","17,187 ","2,484 ",376 ,"46,355 ","4,613 ","6,008 ","3,936 ","5,356 ","4,020 ","1,575 ","25,508 ","71,864 "
Utah,368 ,"1,437 ",903 ,"1,129 ",40 ,1 ,"3,877 ",359 ,600 ,254 ,450 ,324 ,82 ,"2,068 ","5,945 "
Vermont,15 ,267 ,618 ,"1,591 ",208 ,22 ,"2,721 ",48 ,146 ,81 ,93 ,38 ,0 ,406 ,"3,127 "
Virginia,65 ,"1,613 ","2,419 ","5,276 ",940 ,128 ,"10,442 ",851 ,"1,398 ",982 ,"1,511 ","1,043 ",363 ,"6,148 ","16,590 "
Washington,522 ,"3,135 ","1,993 ","3,835 ",485 ,140 ,"10,111 ",570 ,"1,606 ","1,089 ","1,496 ",767 ,109 ,"5,636 ","15,748 "
West Virginia,106 ,"1,825 ","1,445 ","2,949 ",318 ,34 ,"6,677 ",298 ,609 ,332 ,453 ,190 ,26 ,"1,907 ","8,584 "
Wisconsin,47 ,"2,029 ","2,904 ","10,989 ",741 ,36 ,"16,746 ",668 ,"2,350 ","1,213 ","1,238 ",439 ,23 ,"5,932 ","22,678 "
Wyoming,217 ,"1,484 ","1,325 ",895 ,27 ,8 ,"3,956 ",224 ,280 ,150 ,108 ,30 ,2 ,793 ,"4,749 "
U.S. Total,"46,997 ","147,435 ","105,510 ","211,067 ","26,312 ","4,321 ","541,642 ","27,715 ","63,709 ","47,378 ","65,503 ","40,957 ","12,920 ","258,182 ","799,825 "
Puerto Rico (2),-,58 ,61 ,311 ,41 ,28 ,499 ,177 ,529 ,357 ,658 ,579 ,290 ,"2,590 ","3,089 "
Grand Total,"46,997 ","147,493 ","105,571 ","211,378 ","26,353 ","4,349 ","542,141 ","27,892 ","64,238 ","47,735 ","66,161 ","41,536 ","13,210 ","260,772 ","802,914 "
