STATE,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,,,,
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL
Georgia,"8,161 ","10,166 ",449 ,-,1 ,"18,777 ",-,"10,619 ",227 ,2 ,29 ,"10,876 ",3 ,"72,876 ","5,848 ",143 ,"4,436 ","83,307 "
Hawaii,300 ,51 ,-,3 ,-,355 ,20 ,122 ,-,-,-,142 ,-,"1,413 ",-,75 ,162 ,"1,651 "
Idaho,"1,789 ","4,305 ",243 ,"3,179 ",45 ,"9,561 ",-,"3,207 ",105 ,"2,789 ",163 ,"6,264 ",11 ,"18,219 ","2,474 ","17,274 ","12,981 ","50,959 "
Illinois,"3,401 ","16,209 ","1,491 ",8 ,5 ,"21,114 ",60 ,"3,259 ","2,382 ",6 ,11 ,"5,718 ",499 ,"2,686 ","110,798 ",550 ,332 ,"114,865 "
Indiana,"6,902 ","8,721 ",294 ,-,-,"15,917 ",51 ,"13,697 ",222 ,7 ,-,"13,977 ",119 ,"64,211 ","4,008 ",688 ,477 ,"69,502 "
Iowa,142 ,"22,111 ",656 ,2 ,0 ,"22,910 ",-,"25,529 ",256 ,0 ,0 ,"25,785 ",1 ,"93,913 ","7,861 ",700 ,183 ,"102,659 "
Kansas,"2,813 ","32,660 ",575 ,-,79 ,"36,127 ",12 ,"15,024 ",82 ,-,-,"15,117 ",7 ,"131,391 ","7,549 ",-,"1,096 ","140,043 "
Kentucky,"9,257 ",15 ,1 ,-,68 ,"9,342 ","14,975 ",25 ,1 ,-,14 ,"15,014 ","7,713 ","59,745 ","3,020 ",778 ,"1,197 ","72,453 "
Louisiana,"7,582 ",9 ,1 ,2 ,3 ,"7,597 ","4,915 ",336 ,3 ,-,-,"5,253 ","2,798 ","44,657 ","3,552 ",5 ,"1,041 ","52,052 "
Maine,"5,280 ",-,0 ,-,-,"5,280 ","3,461 ",-,-,-,-,"3,461 ",13 ,595 ,"18,897 ",251 ,261 ,"20,016 "
Maryland,"1,593 ",529 ,12 ,0 ,-,"2,135 ",497 ,"2,116 ",39 ,0 ,3 ,"2,655 ",287 ,"12,831 ",536 ,152 ,"1,131 ","14,937 "
Massachusetts,242 ,-,"1,141 ",5 ,8 ,"1,396 ",7 ,-,980 ,4 ,1 ,992 ,27 ,-,"6,637 ",380 ,21 ,"7,065 "
Michigan,663 ,"25,080 ",605 ,-,-,"26,347 ",1 ,"6,738 ",65 ,-,-,"6,804 ",16 ,"82,914 ","3,836 ",119 ,"2,910 ","89,795 "
Minnesota,"1,602 ","23,799 ",207 ,101 ,2 ,"25,711 ",32 ,"18,256 ",605 ,134 ,125 ,"19,152 ",6 ,"25,945 ","93,395 ","2,460 ","3,941 ","125,747 "
Mississippi,"5,705 ","13,038 ",410 ,-,63 ,"19,216 ",109 ,"3,495 ",77 ,16 ,30 ,"3,727 ",178 ,"64,282 ","4,607 ",990 ,64 ,"70,122 "
Missouri,"25,970 ",308 ,139 ,1 ,0 ,"26,419 ","9,564 ",430 ,11 ,0 ,-,"10,004 ","1,492 ","111,380 ","8,609 ",125 ,"1,905 ","123,510 "
Montana,"4,981 ","4,700 ",11 ,672 ,699 ,"11,064 ",176 ,"11,563 ",36 ,830 ,"1,621 ","14,226 ","1,039 ","52,286 ","1,854 ","5,300 ","17,409 ","77,888 "
Nebraska,"3,620 ","14,369 ",365 ,-,47 ,"18,402 ",4 ,"13,376 ",649 ,-,105 ,"14,134 ",6 ,"69,647 ","26,421 ",183 ,107 ,"96,363 "
Nevada,"2,432 ","1,020 ",5 ,29 ,51 ,"3,537 ",422 ,"3,492 ",5 ,-,2 ,"3,920 ",434 ,"37,543 ",264 ,-,"5,139 ","43,381 "
New Hampshire,"1,638 ",-,34 ,-,-,"1,672 ","1,204 ",-,497 ,-,15 ,"1,717 ",538 ,-,"11,905 ",8 ,224 ,"12,676 "
New Jersey,3 ,"1,166 ",74 ,-,-,"1,243 ",-,389 ,145 ,-,4 ,538 ,10 ,746 ,"4,638 ",848 ,276 ,"6,518 "
New Mexico,"5,894 ","1,035 ",135 ,-,250 ,"7,314 ","3,620 ","1,110 ",43 ,2 ,296 ,"5,071 ",381 ,"57,502 ","2,174 ",246 ,"16,910 ","77,212 "
New York,"5,688 ","3,081 ",174 ,39 ,14 ,"8,996 ",777 ,"12,296 ","1,821 ",140 ,7 ,"15,041 ",66 ,"9,555 ","59,503 ",415 ,533 ,"70,073 "
North Carolina,"12,030 ",-,3 ,-,26 ,"12,058 ","9,704 ",-,7 ,-,-,"9,711 ","64,947 ",-,"3,812 ","1,637 ","4,241 ","74,637 "
North Dakota,"1,859 ","16,909 ",426 ,-,99 ,"19,293 ",-,-,-,-,-,-,65 ,12 ,"105,367 ",31 ,"2,389 ","107,865 "
Ohio,"12,151 ","5,186 ",414 ,-,-,"17,750 ","1,722 ","7,726 ",648 ,-,-,"10,096 ",4 ,"27,475 ","56,246 ","1,349 ",299 ,"85,373 "
Oklahoma,"9,298 ","23,569 ","1,106 ",32 ,-,"34,005 ",-,"4,723 ",79 ,4 ,-,"4,806 ",-,"93,041 ","10,960 ",763 ,21 ,"104,784 "
Oregon,"2,121 ","9,056 ",107 ,34 ,"1,828 ","13,146 ",123 ,"7,733 ",80 ,32 ,"4,967 ","12,935 ",143 ,"29,462 ","1,826 ","2,141 ","26,065 ","59,637 "
Pennsylvania,"11,504 ",38 ,321 ,-,-,"11,864 ","10,974 ",3 ,255 ,0 ,-,"11,233 ","11,784 ",-,"67,557 ",879 ,"1,157 ","81,377 "
Rhode Island,203 ,-,74 ,-,-,277 ,65 ,-,175 ,-,-,240 ,17 ,-,"1,283 ",14 ,41 ,"1,354 "
South Carolina,"15,945 ",146 ,17 ,-,20 ,"16,129 ","3,061 ",227 ,1 ,-,-,"3,290 ","20,714 ","40,794 ",814 ,312 ,"2,531 ","65,165 "
South Dakota,"1,786 ","16,777 ",288 ,22 ,"1,115 ","19,989 ",-,"9,127 ",626 ,9 ,290 ,"10,051 ",5 ,"30,387 ","52,023 ","2,244 ","2,391 ","87,050 "
Tennessee,"7,689 ",235 ,15 ,-,-,"7,939 ",1 ,"15,179 ",621 ,35 ,4 ,"15,841 ",1 ,"63,601 ","5,195 ",582 ,"1,882 ","71,260 "
Texas,"53,794 ","2,188 ",349 ,2 ,122 ,"56,456 ","16,609 ","7,129 ",249 ,0 ,67 ,"24,054 ",298 ,"196,065 ","16,663 ",-,"3,090 ","216,116 "
Utah,"2,483 ","2,472 ",145 ,-,149 ,"5,249 ",44 ,"5,028 ",317 ,-,337 ,"5,727 ",19 ,"30,109 ","3,204 ",841 ,"6,462 ","40,635 "
Vermont,"1,779 ",-,"1,420 ",-,-,"3,199 ",13 ,-,"1,386 ",-,-,"1,399 ",-,-,"13,641 ",-,253 ,"13,895 "
Virginia,"11,581 ",-,82 ,-,11 ,"11,674 ","7,801 ",-,43 ,-,-,"7,845 ","44,992 ",45 ,530 ,-,"2,884 ","48,452 "
Washington,"2,380 ","10,054 ",284 ,13 ,288 ,"13,019 ",-,"9,448 ",159 ,1 ,443 ,"10,050 ",-,"32,898 ","1,774 ","13,329 ","12,502 ","60,503 "
West Virginia,"8,631 ",-,4 ,-,-,"8,635 ","3,416 ",-,-,2 ,-,"3,418 ","32,027 ",-,946 ,310 ,"1,342 ","34,624 "
Wisconsin,"2,232 ","15,970 ","1,246 ",-,-,"19,448 ",24 ,"8,480 ","4,513 ",-,623 ,"13,640 ",12 ,"6,012 ","94,328 ",-,754 ,"101,106 "
Wyoming,"3,488 ",874 ,6 ,-,28 ,"4,396 ",330 ,"10,793 ",4 ,91 ,48 ,"11,265 ",332 ,"11,100 ","1,168 ","1,496 ","5,636 ","19,732 "
U.S. Total,"294,144 ","336,604 ","16,699 ","4,234 ","7,628 ","659,309 ","96,425 ","281,476 ","20,108 ","4,338 ","12,854 ","415,200 ","195,745 ","1,923,959 ","859,483 ","71,300 ","200,825 ","3,251,312 "
Puerto Rico (5),365 ,-,2 ,-,27 ,394 ,389 ,-,-,-,6 ,396 ,391 ,-,"3,309 ",-,3 ,"3,703 "
Grand Total,"294,509 ","336,604 ","16,700 ","4,234 ","7,656 ","659,703 ","96,814 ","281,476 ","20,108 ","4,338 ","12,860 ","415,596 ","196,136 ","1,923,959 ","862,792 ","71,300 ","200,828 ","3,255,016 "
