Census division and state or area,2000,2010,2013,Total discharges a,Days per discharge,Program payments (thousands of dollars),Program payments per discharge (dollars) b,Total discharges a.1,Days per discharge.1,Program payments (thousands of dollars).1,Program payments per discharge (dollars) b.1,Total discharges a.2,Days per discharge.2,Program payments (thousands of dollars).2,Program payments per discharge (dollars) b.2
Michigan,468095,6.1,3473727,7459,539100,5.3,5249883.0,9828.0,444572.0,5.2,4774488.0,10912.0,,,
Ohio,538445,5.6,3466013,6471,536080,5.1,4339817.0,8229.0,435596.0,5.0,4274105.0,10044.0,,,
Wisconsin,240505,5.4,1520493,6352,193470,5.0,1826415.0,9518.0,173445.0,4.9,1860417.0,10894.0,,,
West North Central,925865,5.4,5759187,6250,839945,5.0,7523433.0,9051.0,755340.0,5.0,7713894.0,10408.0,,,
Iowa,164590,5.4,959210,5844,123715,5.1,1087128.0,8872.0,113340.0,5.1,1134489.0,10194.0,,,
Kansas,134585,5.5,806523,6005,116305,5.1,1024304.0,8896.0,106686.0,5.0,1026321.0,9779.0,,,
Minnesota,193910,5.0,1256854,6545,178610,4.6,1704060.0,9641.0,165137.0,4.8,1887503.0,11674.0,,,
Missouri,281505,5.7,1810063,6460,292685,5.2,2503651.0,8647.0,251397.0,5.1,2418358.0,9788.0,,,
Nebraska,76015,5.2,506171,6686,71475,5.1,665399.0,9393.0,62791.0,4.9,640109.0,10373.0,,,
North Dakota,33640,5.1,193994,5793,24650,4.9,229995.0,9434.0,23930.0,5.3,265168.0,11448.0,,,
South Dakota,41620,5.2,226370,5454,32505,5.0,308895.0,9635.0,32059.0,5.0,341945.0,10938.0,,,
South Atlantic,2403790,6.0,15911326,6655,2588625,5.4,24117041.0,9398.0,2368132.0,5.3,24173755.0,10463.0,,,
Delaware,36845,6.4,275714,7513,44690,5.8,496471.0,11167.0,44515.0,5.4,524807.0,12080.0,,,
District of Columbia,26940,7.9,269614,10121,26585,6.1,325339.0,12556.0,25212.0,6.1,331703.0,13533.0,,,
Florida,754145,5.8,5004157,6675,878690,5.5,7527249.0,8633.0,780473.0,5.3,7274986.0,9534.0,,,
Georgia,320335,5.8,2061225,6469,322870,5.4,2951001.0,9228.0,292632.0,5.4,2829944.0,9930.0,,,
Maryland,217605,5.8,1773771,8190,273955,5.0,3231204.0,11916.0,252324.0,5.3,3390069.0,13691.0,,,
North Carolina,396985,6.0,2467636,6251,407405,5.3,3893911.0,9654.0,375549.0,5.3,3891097.0,10654.0,,,
South Carolina,214540,6.2,1390229,6504,213040,5.6,1987028.0,9403.0,190139.0,5.5,1925323.0,10392.0,,,
Virginia,300785,6.1,1896484,6338,309110,5.3,2759469.0,8994.0,307974.0,5.2,3044384.0,10163.0,,,
West Virginia,135610,5.8,772492,5724,112280,5.6,945370.0,8483.0,99314.0,5.4,961442.0,9928.0,,,
East South Central,1013885,5.8,5704817,5652,963640,5.4,7786714.0,8149.0,842025.0,5.4,7441377.0,9067.0,,,
Alabama,274470,5.5,1492353,5454,253420,5.3,1910245.0,7608.0,227565.0,5.5,1865969.0,8447.0,,,
Kentucky,244210,5.6,1362272,5614,241895,5.2,2044960.0,8525.0,205379.0,5.1,1940123.0,9678.0,,,
Mississippi,191685,6.4,1013536,5310,171515,5.8,1448510.0,8517.0,153733.0,5.7,1390255.0,9248.0,,,
Tennessee,303520,5.9,1836655,6078,296810,5.3,2382999.0,8092.0,255348.0,5.3,2245030.0,9017.0,,,
West South Central,1298505,5.9,8215049,6357,1365910,5.4,12066708.0,8964.0,1203474.0,5.3,11816158.0,10071.0,,,
Arkansas,163480,5.9,872811,5364,152555,5.2,1220475.0,8056.0,137795.0,5.2,1206637.0,8965.0,,,
Louisiana,226020,5.9,1408934,6263,201110,5.6,1637434.0,8255.0,173994.0,5.5,1620476.0,9520.0,,,
Oklahoma,187220,5.8,1069986,5730,191485,5.2,1599516.0,8438.0,165877.0,5.2,1563091.0,9633.0,,,
Texas,721785,5.9,4863318,6774,820760,5.4,7609283.0,9433.0,725808.0,5.3,7425954.0,10516.0,,,
Mountain,488870,5.0,3196062,6569,580410,4.8,5406084.0,9449.0,516836.0,4.8,5780666.0,11478.0,,,
Arizona,131325,5.0,866364,6642,190090,4.8,1803854.0,9680.0,159938.0,4.7,1805706.0,11612.0,,,
Colorado,92655,5.0,625753,6788,119065,4.7,1070536.0,9052.0,103754.0,4.8,1140823.0,11297.0,,,
Idaho,47780,4.6,290241,6102,34810,4.4,318622.0,9213.0,33598.0,4.6,380348.0,11477.0,,,
Montana,44270,4.8,258894,5850,31240,4.7,283979.0,9244.0,30632.0,4.8,327339.0,10987.0,,,
Nevada,46945,6.0,349025,7473,78520,5.5,752101.0,9725.0,71830.0,5.7,850927.0,12182.0,,,
New Mexico,53130,5.2,327251,6196,61660,5.0,561743.0,9216.0,53310.0,4.9,577960.0,11114.0,,,
Utah,50715,4.8,336745,6661,47455,4.4,416811.0,8925.0,45918.0,4.3,474624.0,10555.0,,,
Wyoming,22050,5.0,141785,6442,17570,4.6,198438.0,11517.0,17856.0,4.8,222938.0,12825.0,,,
Pacific,1013345,5.8,8654933,8599,1247065,5.2,14319765.0,11677.0,1084174.0,5.2,15080012.0,14397.0,,,
Alaska,12715,5.8,120546,9682,14650,5.2,212259.0,14792.0,14276.0,5.6,232268.0,16785.0,,,
California,731050,6.0,6543541,9015,934155,5.4,11046507.0,12052.0,799080.0,5.3,11549033.0,15021.0,,,
Hawaii,25510,8.0,213726,8431,26115,6.6,309384.0,12022.0,20894.0,6.4,285986.0,14036.0,,,
Oregon,92985,4.6,624464,6741,87580,4.6,838918.0,9687.0,77948.0,4.7,949722.0,12479.0,,,
Washington,151085,4.9,1152655,7672,184565,4.7,1912697.0,10449.0,171976.0,4.8,2063003.0,12261.0,,,
Outlying areas c,145760,6.8,461482,3187,56325,7.2,293464.0,5274.0,41228.0,7.3,286958.0,7110.0,,,
SOURCE: Centers for Medicare & Medicaid Services.,"NOTES: Medicare program payments represent fee-for-service only and exclude amounts paid for managed care services.
          Totals do not necessarily equal the sum of rounded components.
          Statistics are subject to sampling error.
        ",a. Excludes discharges for managed care enrollees that were paid by the managed care plan.,b. Excludes discharges with covered services for which no program payments were reported.,c. Includes unknown residence.,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,,,,,,,,,,
