Year,OASDI,,,Retired workers,Disabled workers,Wives and husbands,Children,Widowed mothers and fathers,Widow(er)s,Parents,Special age-72 beneficiaries,0
1991,"23,076,535","20,912,298","2,164,237","15,914,665","1,946,823","1,049,463","1,045,006","127,510","2,989,385","2,767",915,0
1992,"24,442,156","22,033,164","2,408,992","16,810,432","2,171,080","1,089,504","1,100,812","128,748","3,138,250","2,676",655,0
1993,"25,662,445","23,011,870","2,650,575","17,595,964","2,390,829","1,117,643","1,160,403","129,752","3,264,849","2,557",448,0
1994,"26,936,223","24,032,186","2,904,037","18,415,099","2,620,982","1,144,466","1,226,468","131,463","3,394,982","2,459",303,0
1995,"28,148,078","24,993,131","3,154,947","19,199,157","2,853,365","1,164,029","1,283,288","131,430","3,514,262","2,349",197,0
1996,"29,426,079","26,017,474","3,408,605","20,038,023","3,087,223","1,177,458","1,356,685","124,678","3,639,632","2,252",129,0
1997,"30,463,716","26,884,933","3,578,782","20,864,462","3,252,919","1,185,143","1,389,552","122,488","3,646,898","2,173",79,0
1998,"31,298,873","27,519,891","3,778,982","21,449,654","3,444,259","1,179,882","1,417,362","120,247","3,685,349","2,074",46,0
1999,"32,578,327","28,548,030","4,030,297","22,339,070","3,679,691","1,188,814","1,473,988","120,157","3,774,601","1,975",30,0
2000,"34,848,920","30,517,277","4,331,642","24,066,918","3,965,304","1,233,598","1,547,808","120,812","3,912,527","1,934",19,0
2001,"36,504,206","31,823,443","4,680,763","25,215,898","4,295,600","1,246,333","1,624,285","122,526","3,997,687","1,868",9,0
2002,"37,854,453","32,823,008","5,031,445","26,125,090","4,625,445","1,242,317","1,692,471","124,267","4,043,051","1,806",5,0
2003,"39,541,528","34,048,860","5,492,667","27,230,634","5,060,493","1,247,504","1,763,910","126,278","4,110,963","1,744",3,0
2004,"41,574,348","35,573,407","6,000,941","28,601,329","5,542,045","1,262,709","1,838,926","126,734","4,200,895","1,707",2,0
2005,"44,351,668","37,743,696","6,607,972","30,521,815","6,114,705","1,298,722","1,945,508","129,246","4,339,977","1,694",1,0
2006,"46,938,032","39,763,705","7,174,327","32,351,856","6,655,048","1,322,423","2,031,723","129,721","4,445,575","1,685",1,0
2007,"49,218,145","41,552,564","7,665,581","34,004,494","7,127,082","1,333,410","2,095,892","128,742","4,526,864","1,661",--,0
2008,"53,666,109","45,189,225","8,476,883","37,207,910","7,895,536","1,391,746","2,262,489","133,261","4,773,510","1,657",--,0
2009,"55,905,731","47,015,977","8,889,754","39,020,920","8,288,762","1,390,950","2,311,770","134,547","4,757,157","1,626",--,0
2010,"58,048,295","48,663,019","9,385,276","40,662,492","8,759,959","1,389,565","2,351,759","134,179","4,748,771","1,570",--,0
2011,"62,213,382","52,022,544","10,190,838","43,736,668","9,523,184","1,441,063","2,470,586","138,495","4,901,819","1,567",0,0
2012,"65,430,104","54,765,045","10,665,058","46,327,075","9,977,027","1,478,070","2,540,605","138,315","4,967,481","1,531",0,0
2013,"68,544,382","57,601,391","10,942,991","49,026,786","10,250,098","1,530,076","2,585,288","137,450","5,013,184","1,500",0,0
2014,"71,693,353","60,573,128","11,120,224","51,826,267","10,435,524","1,597,691","2,621,075","133,232","5,078,097","1,467",0,0
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,0
NOTES: Totals do not necessarily equal the sum of rounded components.,,,,,,,,,,,,0
. . . = not applicable; -- = not available.,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,0
