Year,Total,Retired-worker and dependents benefits,,,Survivors benefits,,,,Special age-72 beneficiaries,Lump-sum death payments,0
1973,"45,741","29,336","3,000",457,"4,002",801,"7,505",48,264,329,0
1974,"51,618","33,369","3,309",533,"4,399",898,"8,497",49,237,327,0
1975,"58,509","38,079","3,719",634,"4,888","1,009","9,597",50,196,337,0
1976,"65,699","43,083","4,117",736,"5,336","1,113","10,757",51,174,332,0
1977,"73,113","48,186","4,559",830,"5,759","1,191","12,068",52,157,312,0
1978,"80,352","53,255","4,983",921,"6,093","1,284","13,278",51,142,344,0
1979,"90,556","60,379","5,554","1,014","6,608","1,409","15,071",52,128,340,0
1980,"105,074","70,358","6,405","1,142","7,389","1,572","17,638",55,119,394,0
1981,"123,795","83,614","7,543","1,321","8,307","1,760","20,749",58,110,332,0
1982,"138,800","95,123","8,539","1,223","8,204","1,861","23,488",59,100,203,0
1983,"149,502","103,578","9,328","1,143","7,911","1,771","25,425",56,85,205,0
1984,"157,862","109,957","9,860","1,135","7,775","1,474","27,325",53,71,212,0
1985,"167,360","116,823","10,517","1,140","7,762","1,474","29,330",51,57,207,0
1986,"176,845","123,584","11,152","1,166","7,843","1,457","31,345",48,47,203,0
1987,"183,644","128,513","11,598","1,183","7,846","1,388","32,833",44,36,203,0
1988,"195,522","136,987","12,292","1,219","8,120","1,392","35,233",43,29,208,0
1989,"207,977","146,027","13,054","1,249","8,254","1,401","37,723",41,21,206,0
1990,"222,993","156,756","13,953","1,316","8,564","1,437","40,705",39,16,206,0
1991,"240,436","169,142","14,986","1,405","9,022","1,490","44,139",38,12,202,0
1992,"254,939","179,372","15,810","1,494","9,431","1,521","47,060",37,9,206,0
1993,"267,804","188,440","16,356","1,563","9,897","1,547","49,746",36,6,214,0
1994,"279,118","196,400","16,854","1,637","10,293","1,551","52,124",34,4,220,0
1995,"291,682","205,315","17,348","1,715","10,717","1,573","54,761",32,3,218,0
1996,"302,914","213,423","17,715","1,799","11,217","1,486","57,025",31,1,218,0
1997,"316,311","223,554","18,154","1,882","11,660","1,466","59,349",30,1,216,0
1998,"326,817","232,324","18,395","1,940","11,936","1,435","60,540",29,b,218,0
1999,"334,437","238,478","18,415","1,992","12,125","1,415","61,769",27,b,216,0
2000,"352,706","253,542","18,969","2,133","12,532","1,406","63,884",26,b,214,0
2001,"372,370","268,976","19,491","2,332","13,134","1,441","66,758",26,b,212,0
2002,"388,170","281,624","19,884","2,475","13,690","1,476","68,782",25,b,213,0
2003,"399,892","291,518","19,951","2,583","14,072","1,486","70,052",24,b,206,0
2004,"415,082","304,261","20,164","2,714","14,538","1,515","71,660",24,b,205,0
2005,"435,373","321,706","20,500","2,888","15,103","1,535","73,411",24,b,206,0
2006,"460,457","342,865","21,005","3,082","15,814","1,562","75,900",24,b,204,0
2007,"485,881","364,278","21,571","3,274","16,486","1,573","78,472",24,b,203,0
2008,"509,056","383,999","22,022","3,482","17,041","1,592","80,692",23,b,205,0
2009,"557,160","424,044","23,613","3,922","18,071","1,647","85,639",23,b,201,0
2010,"577,448","443,390","24,001","4,114","18,024","1,645","86,048",23,b,203,0
2011,"596,212","461,234","24,176","4,288","18,100","1,647","86,541",22,b,204,0
2012,"637,948","497,471","25,348","4,583","18,752","1,676","89,896",22,0,200,0
2013,"672,175","528,862","26,300","4,780","18,923","1,660","91,427",22,0,201,0
2014,"706,821","560,120","27,484","4,974","19,192","1,638","93,192",21,. . .,199,0
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,0
"NOTES: Amounts by type of benefit are estimated. The amounts of benefits paid generally do not reflect occasional adjustments such as reimbursements for uncashed checks, reimbursements to correct earlier accounting errors, and interfund transfers to correct earlier allocation errors.
          Totals do not necessarily equal the sum of rounded components.
. . . = not applicable.
",,,,,,,,,,,0
a. Aged widow(er)s and disabled widow(er)s.,,,,,,,,,,,0
"b. Less than $500,000.",,,,,,,,,,,0
CONTACT: Michael Stephens (410) 965-3028 or statistics@ssa.gov.,,,,,,,,,,,0
