Year,Number (thousands),Average age,Percentage distribution,,,,,,,
1980,931,53.7,100.0,3.4,8.2,5.3,8.2,14.4,25.4,35.0
1985,872,52.6,100.0,3.8,11.2,6.9,8.3,12.9,22.3,34.6
1986,902,52.0,100.0,4.1,12.1,7.6,8.8,12.9,21.6,32.9
1987,929,51.7,100.0,4.2,12.7,8.2,9.4,12.9,20.9,31.7
1988,952,51.4,100.0,4.0,13.1,8.7,9.9,13.2,20.6,30.5
1989,989,51.1,100.0,4.0,13.5,9.2,10.6,13.4,20.1,29.2
1990,"1,046",50.8,100.0,3.9,14.0,9.8,11.1,13.4,19.9,27.9
1991,"1,133",50.5,100.0,4.0,14.3,10.3,11.6,13.8,19.4,26.5
1992,"1,252",50.1,100.0,4.3,14.6,10.7,12.2,14.3,18.8,25.0
1993,"1,371",49.9,100.0,4.3,14.9,11.0,12.6,14.8,18.9,23.5
1994,"1,491",49.9,100.0,4.1,14.8,11.2,13.1,15.3,18.7,22.8
1995,"1,614",49.9,100.0,3.8,14.5,11.5,13.6,15.7,18.8,22.2
1996,"1,736",50.0,100.0,3.4,14.1,11.6,13.9,16.2,19.0,21.7
1997,"1,835",50.2,100.0,3.1,13.3,11.6,14.0,16.8,19.6,21.5
1998,"1,956",50.5,100.0,3.0,12.8,11.5,14.2,17.0,20.0,21.6
1999,"2,071",50.5,100.0,2.8,12.1,11.5,14.3,17.5,20.4,21.5
2000,"2,179",50.7,100.0,2.7,11.5,11.3,14.5,17.9,20.7,21.5
2001,"2,313",50.8,100.0,2.7,11.1,11.1,14.4,18.0,21.1,21.6
2002,"2,467",50.9,100.0,2.7,10.6,10.8,14.4,17.8,21.5,22.1
2003,"2,642",51.2,100.0,3.0,10.1,10.4,14.2,17.7,21.5,23.1
2004,"2,819",51.5,100.0,3.0,9.7,10.0,14.1,17.6,21.8,23.8
2005,"2,993",51.7,100.0,2.9,9.2,9.6,13.8,17.7,22.3,24.5
2006,"3,164",52.0,100.0,2.8,9.0,9.2,13.5,17.6,22.2,25.7
2007,"3,325",52.3,100.0,2.7,8.8,8.7,13.2,17.6,21.8,27.2
2008,"3,502",52.5,100.0,2.6,8.6,8.2,12.9,17.6,21.7,28.3
2009,"3,688",52.6,100.0,2.6,8.6,7.9,12.7,17.7,22.0,28.4
2010,"3,894",52.7,100.0,2.6,8.5,7.7,12.3,17.8,22.3,28.7
2011,"4,082",52.9,100.0,2.4,8.3,7.6,11.7,17.7,22.8,29.5
2012,"4,221",53.1,100.0,2.2,8.2,7.4,11.2,17.5,23.3,30.1
2013,"4,299",53.4,100.0,2.0,8.0,7.2,10.7,17.4,23.8,30.7
2014,"4,327",53.6,100.0,1.9,7.8,7.0,10.2,17.1,24.2,31.8
,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record. Data for 1988 and 1990–2005 are based on a 10 percent sample. All other years are 100 percent data."
,,,,,,,,,,NOTES: Totals do not necessarily equal the sum of rounded components.
,,,,,,,,,,FRA = full retirement age; . . . = not applicable.
,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
