Year,Receipts ,,,,,Expenditures,,,,Assets,
1988,"263,469","249,520","3,445","2,336","8,168","222,514","217,149","2,513","2,851","40,955","109,762"
1989,"289,448","271,925","2,534","2,297","12,692","236,242","230,882","2,427","2,934","53,206","162,968"
1990,"315,443","294,513","4,992","-1,307","17,245","253,135","247,816","2,270","3,049","62,309","225,277"
1991,"329,676","301,605","6,054",125,"21,892","274,205","268,162","2,587","3,457","55,471","280,747"
1992,"342,591","311,280","6,084",-138,"25,365","291,865","285,995","2,664","3,206","50,726","331,473"
1993,"355,578","322,046","5,616",54,"27,862","308,766","302,368","2,963","3,435","46,812","378,285"
1994,"381,111","344,689","5,306",14,"31,103","323,011","316,812","2,674","3,526","58,100","436,385"
1995,"399,497","359,063","5,831",-375,"34,977","339,815","332,554","3,141","4,120","59,683","496,068"
1996,"424,451","378,880","6,844",9,"38,718","353,569","347,050","2,962","3,556","70,883","566,950"
1997,"457,668","405,982","7,896",3,"43,787","369,108","361,952","3,409","3,747","88,560","655,510"
1998,"489,204","430,172","9,707",2,"49,323","382,255","374,969","3,467","3,819","106,950","762,460"
1999,"526,582","459,555","11,559",1,"55,466","392,908","385,765","3,328","3,816","133,673","896,133"
2000,"568,433","492,484","12,314",-835,"64,471","415,121","407,635","3,788","3,698","153,312","1,049,445"
2001,"602,003","516,392","12,715",2,"72,895","438,916","431,931","3,702","3,283","163,088","1,212,533"
2002,"627,085","532,470","13,839",415,"80,362","461,653","453,821","4,185","3,647","165,432","1,377,965"
2003,"631,886","533,518","13,441",1,"84,926","479,086","470,778","4,562","3,747","152,799","1,530,764"
2004,"657,718","553,039","15,703",1,"88,975","501,643","493,263","4,536","3,844","156,075","1,686,839"
2005,"701,758","592,940","14,916",-350,"94,252","529,938","520,748","5,272","3,917","171,821","1,858,660"
2006,"744,873","625,594","16,858",g,"102,420","555,421","546,238","5,337","3,846","189,452","2,048,112"
2007,"784,889","656,120","18,585",8,"110,176","594,501","584,939","5,542","4,020","190,388","2,238,500"
2008,"805,302","672,122","16,879",g,"116,301","625,143","615,344","5,749","4,050","180,159","2,418,658"
2009,"807,490","667,257","21,884",g,"118,349","685,801","675,482","6,182","4,137","121,689","2,540,348"
2010,"781,128","637,283","23,942","2,405","117,498","712,526","701,609","6,525","4,392","68,602","2,608,950"
2011,"805,057","564,231","23,792","102,680","114,355","736,083","725,103","6,405","4,574","68,975","2,677,925"
2012,"840,190","589,508","27,258","114,280","109,143","785,781","774,791","6,338","4,651","54,409","2,732,334"
2013,"855,021","726,217","21,086","4,899","102,820","822,925","812,259","6,166","4,499","32,096","2,764,431"
2014,"884,276","755,969","29,637",465,"98,204","859,230","848,463","6,066","4,701","25,046","2,789,476"
SOURCE: Department of the Treasury.,,,,,,,,,,,
"NOTES: The DI fund was established in 1957. For trust fund data prior to 1957, see OASI data (Table 4.A1).
          Totals do not necessarily equal the sum of rounded components.
. . . = not applicable.
",,,,,,,,,,,
"a. The definitions of the categories ""net payroll tax contributions"" and ""reimbursements from the general fund of the Treasury"" were revised in 2011. Data in these two columns for 1984 and later may vary from those in prior editions, but total receipts are unchanged.",,,,,,,,,,,
"b. Beginning in 1983, includes transfers from the general fund of the Treasury representing contributions that would have been paid on deemed wage credits for military service in 1957–2001, if such credits were considered to be covered wages.",,,,,,,,,,,
"c. Includes payments (1) in 1966 and later, for costs of noncontributory wage credits for military service performed before 1957; (2) in 1971–1982, for costs of deemed wage credits for military service performed after 1956; (3) in 1968 and later, for costs of benefits to certain uninsured persons who attained age 72 before 1968; (4) in 1984 for employees, and in 1984–1989 for self-employed persons, for payroll tax credits provided under Public Law 98-21; and (5) in 2010–2012, for payroll tax revenue forgone under the provisions of Public Laws 111-147, 111-312, 112-78, and 112-96.",,,,,,,,,,,
"d. Includes net profits or losses on marketable securities; interest adjustments on amounts reimbursed from, or paid to, other trust funds or the general fund of the Treasury; and relatively small amounts of gifts to the fund.",,,,,,,,,,,
"e. Beginning in 1966, includes payments for vocational rehabilitation services furnished to disabled persons receiving benefits because of their disabilities. Beginning in 1983, amounts are reduced by amount of reimbursement for unnegotiated benefit checks.",,,,,,,,,,,
"f. The OASI fund borrowed from the DI and Hospital Insurance Trust Funds in 1982, and repaid the borrowed amounts in 1985 and 1986. Amounts for these years are equal to total receipts less total expenditures, plus amounts borrowed or less amounts repaid.",,,,,,,,,,,
"g.  Between -$500,000 and $500,000.",,,,,,,,,,,
CONTACT: Michael Stephens (410) 965-3028 or statistics@ssa.gov.,,,,,,,,,,,
