Year of entitlement,All retired workers,,,,Men,,,,Women,,,,0
1989,"442,378",1.1,95.3,"1,259.04","195,659",1.0,96.5,"1,327.78","246,719",1.3,94.1,"1,204.52",0
1988,"379,858",1.0,96.3,"1,249.03","161,421",0.8,97.3,"1,303.08","218,437",1.1,95.2,"1,209.09",0
1987,"327,525",0.8,97.1,"1,250.56","134,757",0.7,98.0,"1,296.49","192,768",1.0,96.2,"1,218.45",0
1986,"278,595",0.7,97.8,"1,242.04","111,190",0.6,98.6,"1,269.92","167,405",0.9,97.1,"1,223.52",0
1985,"219,917",0.6,98.4,"1,234.91","83,385",0.4,99.0,"1,243.18","136,532",0.7,97.8,"1,229.85",0
1984,"169,070",0.4,98.8,"1,234.49","60,675",0.3,99.3,"1,226.36","108,395",0.6,98.4,"1,239.05",0
1983,"134,804",0.3,99.2,"1,251.92","45,917",0.2,99.6,"1,234.87","88,887",0.5,98.8,"1,260.73",0
1982,"99,593",0.3,99.4,"1,268.11","31,609",0.2,99.7,"1,246.62","67,984",0.4,99.2,"1,278.10",0
1981,"70,582",0.2,99.6,"1,307.34","20,829",0.1,99.8,"1,306.33","49,753",0.3,99.4,"1,307.76",0
1980,"51,589",0.1,99.8,"1,316.92","13,775",0.1,99.9,"1,340.93","37,814",0.2,99.6,"1,308.18",0
1979,"34,680",0.1,99.8,"1,319.22","8,198",(L),99.9,"1,371.00","26,482",0.1,99.7,"1,303.19",0
1978,"22,478",0.1,99.9,"1,297.40","4,856",(L),100.0,"1,326.35","17,622",0.1,99.8,"1,289.42",0
1977,"13,950",(L),99.9,"1,261.85","2,921",(L),100.0,"1,293.63","11,029",0.1,99.9,"1,253.43",0
1976,"10,260",(L),100.0,"1,230.12","1,846",(L),100.0,"1,235.67","8,414",(L),99.9,"1,228.90",0
Before 1976,"14,141",(L),100.0,"1,171.97","2,023",(L),100.0,"1,155.87","12,118",0.1,100.0,"1,174.65",0
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,0
"NOTES: Because entitlements can be awarded retroactively, data for current and prior years are subject to revision with each annual update of this table.",,,,,,,,,,,,,0
Totals do not necessarily equal the sum of rounded components.,,,,,,,,,,,,,0
. . . = not applicable; (L) = less than 0.05 percent.,,,,,,,,,,,,,0
a. Represents those entitled in specified year or later.,,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,0
