Year,All workers ,,,Wage and salary,,,Self-employed ,,
2010,"157,329","81,542","75,787","146,734","75,164","71,570","17,944","10,399","7,545"
2011 ,"158,956","82,502","76,454","147,920","76,001","71,919","18,801","10,710","8,091"
2012 ,"161,261","83,750","77,511","150,144","77,256","72,888","19,044","10,748","8,296"
2013 ,"163,355","84,838","78,517","152,378","78,482","73,896","18,609","10,411","8,198"
 ,Median earnings e (dollars,,,,,,,,
1937,761,945,484,761,945,484,. . .,. . .,. . .
1940,746,935,472,746,935,472,. . .,. . .,. . .
1945,"1,159","1,654",770,"1,159","1,654",770,. . .,. . .,. . .
1950,"1,926","2,532","1,124","1,926","2,532","1,124",. . .,. . .,. . .
1955,"2,438","3,315","1,351","2,383","3,348","1,338","2,397","2,550","1,552"
1960,"2,894","3,879","1,679","2,833","3,875","1,676","2,903","3,129","1,695"
1965,"3,414","4,685","1,984","3,319","4,630","1,979","3,858","4,242","1,898"
1970,"4,375","6,180","2,735","4,317","6,173","2,770","5,104","5,683","2,360"
1975,"5,803","8,250","3,730","5,790","8,315","3,794","6,700","7,846","3,113"
1980,"8,549","11,963","6,012","8,612","12,166","6,106","8,699","10,572","4,133"
1985,"11,265","14,959","8,293","11,638","15,706","8,525","9,877","12,301","5,529"
1986,"11,831","15,579","8,796","12,064","16,025","9,019","10,424","12,908","6,152"
1987,"12,327","16,073","9,261","12,576","16,559","9,500","10,886","13,401","6,573"
1988,"12,825","16,613","9,753","13,086","17,055","9,992","11,478","14,090","7,036"
1989,"13,314","17,014","10,265","13,762","17,800","10,577","11,602","14,538","7,010"
1990,"13,898","17,582","10,837","14,432","18,483","11,199","11,220","14,097","6,898"
1991,"14,278","17,765","11,369","14,859","18,730","11,767","11,125","13,703","7,186"
1992,"14,739","18,208","11,842","15,386","19,292","12,268","11,392","13,966","7,452"
1993,"15,000","18,430","12,093","15,665","19,516","12,546","11,595","14,128","7,720"
1994,"15,560","19,249","12,422","16,010","19,969","12,807","12,051","14,737","8,002"
1995,"16,108","19,907","12,897","16,618","20,672","13,296","12,198","14,931","8,301"
1996,"16,712","20,779","13,335","17,256","21,591","13,763","12,481","15,300","8,628"
1997,"17,562","21,814","14,043","18,127","22,693","14,482","12,910","15,911","8,944"
1998,"18,513","23,028","14,834","19,103","23,920","15,290","13,462","16,565","9,365"
1999,"19,265","23,927","15,465","19,885","24,839","15,938","14,051","17,338","9,784"
2000,"20,225","25,032","16,287","20,885","25,999","16,801","14,927","18,538","10,270"
2001,"20,905","25,643","17,037","21,629","26,647","17,595","15,010","18,681","10,470"
2002,"21,193","25,765","17,461","21,987","26,892","18,085","14,429","17,761","10,514"
2003,"21,610","26,173","17,845","22,473","27,364","18,497","14,512","17,998","10,678"
2004,"22,335","27,061","18,421","23,242","28,305","19,138","14,912","18,430","11,100"
2005,"22,985","27,886","18,886","23,905","29,154","19,633","15,543","19,289","11,559"
2006,"23,857","28,918","19,598","24,843","30,262","20,396","15,889","19,769","11,911"
2007,"24,595","29,741","20,360","25,685","31,188","21,213","15,727","19,525","12,082"
2008,"25,206","30,245","21,046","26,383","31,814","22,021","15,441","19,301","12,237"
2009,"24,807","29,311","21,143","26,121","31,000","22,256","14,408","17,780","12,006"
2010,"24,921","29,533","21,136","26,300","31,279","22,327","14,152","17,583","11,961"
2011 ,"25,510","30,358","21,486","26,907","32,104","22,731","14,896","18,707","12,340"
2012 ,"26,098","31,193","21,904","27,490","32,876","23,126","15,363","19,392","12,762"
2013 ,"26,605","31,775","22,314","27,986","33,435","23,517","15,107","19,362","12,926"
,,,,,,,,,"SOURCE: Social Security Administration, Master Earnings File, 1 percent sample."
,,,,,,,,,NOTE: . . . = not applicable.
,,,,,,,,,a. Workers with earnings in both wage and salary employment and self-employment are counted in each type of employment but only once in the total.
,,,,,,,,,b. Not covered before 1951.
,,,,,,,,,c. Totals do not necessarily equal the sum of rounded components.
,,,,,,,,,d. Preliminary data.
,,,,,,,,,"e. For all workers, medians relate to combined earnings from wage and salary employment and self-employment. For all wage and salary workers, medians relate to wages and salaries only."
,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
