Census division and state or area,Total Medicare enrollees,Medicare Part D,,,,Retiree drug subsidy (RDS) ,Other creditable coverage d (no Part D plan or RDS,"No Part D plan, RDS, or other creditable coverage",0
Florida,"3,757,076","2,635,951","789,805","25,269","1,820,877","229,855","432,489","458,781",1
Georgia,"1,410,623","957,592","343,172","14,417","600,003","64,896","180,340","207,795",1
Maryland,"876,414","448,322","148,714","6,284","293,324","104,277","115,948","207,867",1
North Carolina,"1,662,626","1,170,602","368,870","19,864","781,868","90,816","190,344","210,864",1
South Carolina,"874,832","529,547","186,847","10,345","332,355","101,142","125,249","118,894",1
Virginia,"1,268,980","744,360","223,423","11,068","509,869","67,529","207,892","249,199",1
West Virginia,"403,949","271,870","93,221","4,688","173,961","29,007","49,305","53,767",1
East South Central,"3,454,345","2,424,386","911,129","42,144","1,471,113","138,913","425,423","465,623",0
Alabama,"921,920","637,872","238,483","11,314","388,075","39,082","122,072","122,894",1
Kentucky,"825,749","588,419","209,270","10,302","368,847","32,938","92,032","112,360",1
Mississippi,"536,685","369,560","171,300","5,205","193,055","13,615","71,851","81,659",1
Tennessee,"1,169,991","828,535","292,076","15,323","521,136","53,278","139,468","148,710",1
West South Central,"5,361,339","3,565,834","1,284,251","52,632","2,228,951","292,836","695,387","807,282",0
Arkansas,"571,695","375,944","143,644","6,795","225,505","29,741","82,442","83,568",1
Louisiana,"750,974","525,480","211,320","7,220","306,940","45,542","78,311","101,641",1
Oklahoma,"650,482","416,755","132,926","5,979","277,850","20,028","95,188","118,511",1
Texas,"3,388,188","2,247,655","796,361","32,638","1,418,656","197,525","439,446","503,562",1
Mountain,"3,394,592","2,189,888","569,116","24,675","1,596,097","214,143","470,777","519,784",0
Arizona,"1,051,472","710,171","188,807","7,183","514,181","63,344","137,439","140,518",1
Colorado,"722,199","454,939","112,306","4,728","337,905","64,465","96,646","106,149",1
Idaho,"260,728","165,663","42,633","2,119","120,911","14,182","37,044","43,839",1
Montana,"188,317","114,530","29,020","1,965","83,545","9,782","27,716","36,289",1
Nevada,"414,206","261,587","63,046","3,566","194,975","23,967","67,452","61,200",1
New Mexico,"348,509","231,780","78,960","2,612","150,208","14,046","46,181","56,502",1
Utah,"320,283","199,590","42,163","1,965","155,462","20,542","42,900","57,251",1
Wyoming,"88,878","51,628","12,181",537,"38,910","3,815","15,399","18,036",1
Pacific,"7,399,558","5,277,326","1,734,724","39,024","3,503,578","399,442","772,714","950,076",0
Alaska,"76,144","30,597","17,072",221,"13,304","18,138","12,162","15,247",1
California,"5,294,006","3,938,842","1,366,246","25,999","2,546,597","243,296","492,963","618,905",1
Hawaii,"229,524","159,424","40,638","1,198","117,588","5,409","29,635","35,056",1
Oregon,"699,518","485,173","119,650","5,110","360,413","26,493","84,611","103,241",1
Washington,"1,100,366","663,290","191,118","6,496","465,676","106,106","153,343","177,627",1
Outlying areas ,"1,182,386","571,624","17,882",367,"553,375","18,563","64,013","528,186",0
,,,,,,,,SOURCE: Centers for Medicare & Medicaid Services.,0
,,,,,,,,"a. Individuals are automatically eligible for the full low-income subsidy (LIS) if they are dually eligible for Medicare and Medicaid benefits, enrolled in a Medicare savings program, or receiving Supplemental Security Income.",0
,,,,,,,,"b. Individuals not automatically eligible for full LIS must apply for LIS coverage. Applicants may be found eligible for full or partial LIS, depending on their income and resources.",0
,,,,,,,,c. RDS provides a Medicare subsidy to employers and unions who continue assisting their Medicare-eligible retirees with prescription drug coverage.,0
,,,,,,,,d. Creditable coverage is alternative prescription drug coverage in which the actuarial value of the coverage equals or exceeds the actuarial value of standard Medicare prescription drug coverage.,0
,,,,,,,,e. Includes unknown residence.,0
,,,,,,,,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,0
