Year,Estimated number of workers covered per month (millions),Benefits paid during year (millions of dollars),,,,,,Cost of program as a percentage of covered payroll ,Benefits as a percentage of covered payroll ,0
2010 ,124.5,"58,916","31,634","13,420","13,862","29,268","29,648",1.25,1.01,0
2011 ,125.8,"60,929","32,696","13,603","14,630","30,506","30,423",1.29,1.01,0
2012 ,127.9,"63,030","34,370","13,795","14,865","31,496","31,534",1.32,1.00,0
2013,129.6,"63,574","35,316","13,297","14,961","31,549","32,025",1.37,0.98,0
"SOURCES: National Academy of Social Insurance estimates based on data received from state agencies, the Department of Labor, A.M. Best Company, and the National Council on Compensation Insurance.",,,,,,,,,,0
"NOTES: Beginning in 1959, includes Alaska and Hawaii. States periodically update prior-year data, and any such changes are included in the current table.
          Totals do not necessarily equal the sum of rounded components.
",,,,,,,,,,0
a. Net cash and medical benefits paid during calendar year by private insurance companies under standard workers' compensation policies.,,,,,,,,,,0
"b. Net cash and medical benefits paid by competitive and exclusive state funds and federal benefits, including those paid under the Federal Employees' Compensation Act for civilian employees; the portion of the Black Lung benefit program that is financed by employers; and a portion of benefits under the Longshore and Harbor Workers' Compensation Act that are not reflected in state data, namely, benefits paid by self-insured employers and by special funds under the LHWCA.",,,,,,,,,,0
c. Cash and medical benefits paid by self-insurers.,,,,,,,,,,0
"d. Total costs to employers who purchase insurance from private carriers and state funds consist of premiums written in the calendar year plus the payments made under deductible provisions. For self-insured employers, the costs include benefit payments and administrative costs. Data for 1996–2007 are revised to reflect an update to the methodology for calculating employer costs.",,,,,,,,,,0
"e. The National Academy of Social Insurance has revised its estimates for 2009–2012. For details, see Appendix D, Workers' Compensation: Benefits, Coverage, and Costs, 2013 (https://www.nasi.org/research/2015/report-workers-compensation-benefits-coverage-costs-2013).",,,,,,,,,,0
CONTACT: Ishita Sengupta (202) 452-8097 or statistics@ssa.gov.,,,,,,,,,,0
