"2,000.00–2,049.90",2.3,1.4,1.3,0.1,1.7,1.2,0.9,(L),0
"2,050.00–2,099.90",2.2,1.3,1.3,(L),1.7,1.1,0.8,(L),0
"2,100.00–2,149.90",2.1,1.3,1.3,(L),1.6,1.3,0.6,(L),0
"2,150.00–2,199.90",2.0,1.5,1.2,(L),1.5,1.1,0.5,(L),0
"2,200.00–2,249.90",2.0,1.2,1.3,(L),1.5,1.1,0.5,(L),0
"2,250.00–2,299.90",1.9,1.4,1.3,(L),1.4,1.1,0.4,(L),0
"2,300.00–2,349.90",1.9,1.4,1.3,(L),1.3,1.0,0.3,(L),0
"2,350.00–2,399.90",1.8,1.3,1.3,(L),1.2,1.0,0.3,(L),0
"2,400.00–2,449.90",1.7,1.4,1.3,(L),1.2,1.0,0.2,(L),0
"2,450.00–2,499.90",1.7,1.3,1.3,(L),1.1,0.9,0.2,(L),0
"2,500.00–2,549.90",1.5,1.2,1.1,(L),1.0,0.9,0.1,(L),0
"2,550.00–2,599.90",1.6,1.4,1.3,(L),1.0,0.9,0.1,(L),0
"2,600.00–2,649.90",1.5,1.3,1.3,(L),0.9,0.9,0.1,(L),0
"2,650.00–2,699.90",1.4,1.3,1.1,(L),0.9,0.8,0.1,(L),0
"2,700.00–2,749.90",1.5,1.3,1.1,(L),0.8,0.8,(L),(L),0
"2,750.00–2,799.90",1.3,1.6,1.4,(L),0.7,1.0,(L),(L),0
"2,800.00–2,849.90",1.2,1.9,1.7,(L),0.7,1.0,(L),(L),0
"2,850.00–2,899.90",1.1,2.2,1.7,(L),0.6,1.2,(L),(L),0
"2,900.00–2,949.90",1.2,2.1,1.7,(L),0.6,1.2,(L),(L),0
"2,950.00–2,999.90",1.2,1.9,1.7,(L),0.6,1.0,(L),(L),0
"3,000.00–3,049.90",1.5,1.9,1.8,(L),0.7,1.0,(L),(L),0
"3,050.00–3,099.90",1.6,1.8,1.5,(L),0.8,1.0,(L),(L),0
"3,100.00–3,149.90",1.6,1.7,1.3,(L),0.8,0.9,(L),(L),0
"3,150.00–3,199.90",1.3,1.6,1.3,0.8,0.8,(L),(L),(L),0
"3,200.00–3,249.90",1.3,1.5,1.3,(L),0.7,0.8,(L),(L),0
"3,250.00–3,299.90",1.2,1.4,1.2,(L),0.6,0.6,(L),(L),0
"3,300.00 or more",10.5,29.0,23.2,(L),5.2,11.2,0.1,(L),0
Average monthly family benefit (dollars),"2,149.49","2,644.62","2,415.33",851.85,"1,736.25","1,864.63","1,277.67",737.27,0
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,0
NOTES: Totals do not necessarily equal the sum of rounded components.,,,,,,,,,0
(L) = less than 0.05 percent.,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,0
