Year,Average monthly Social Security benefit in current-payment status,,,,Average monthly Supplemental Security Income amount for—,,Consumer Price Index ,0
1976,224.86,907.17,503.40,"2,030.90",94.37,380.72,58.2,0
1977,243.00,918.78,546.60,"2,066.69",96.62,365.32,62.1,0
1978,263.20,912.84,591.90,"2,052.85",100.43,348.32,67.7,0
1979,294.30,900.93,655.00,"2,005.14",122.67,375.53,76.7,0
1980,341.40,928.86,759.20,"2,065.59",128.20,348.80,86.3,0
1981,385.97,964.10,858.00,"2,143.17",137.81,344.23,94.0,0
1982,419.30,"1,008.73",885.50,"2,130.28",145.69,350.49,97.6,0
1983,440.77,"1,021.65",923.00,"2,139.39",157.89,365.97,101.3,0
1984,460.57,"1,026.99",948.30,"2,114.54",157.88,352.04,105.3,0
1985,478.62,"1,028.18",981.50,"2,108.47",164.26,352.87,109.3,0
1986,488.44,"1,037.88",994.00,"2,112.14",173.66,369.01,110.5,0
1987,512.65,"1,043.07","1,032.30","2,100.38",180.64,367.54,115.4,0
1988,536.77,"1,045.92","1,070.40","2,085.73",188.23,366.78,120.5,0
1989,566.85,"1,055.48","1,120.04","2,085.53",198.81,370.19,126.1,0
1990,602.56,"1,057.41","1,177.70","2,066.70",212.66,373.19,133.8,0
1991,629.32,"1,071.53","1,216.76","2,071.76",221.30,376.80,137.9,0
1992,652.64,"1,079.91","1,252.40","2,072.33",227.39,376.26,141.9,0
1993,674.06,"1,085.52","1,282.60","2,065.53",236.52,380.90,145.8,0
1994,697.34,"1,093.76","1,328.40","2,083.56",242.54,380.42,149.7,0
1995,719.80,"1,101.04","1,365.50","2,088.73",250.65,383.40,153.5,0
1996,744.96,"1,102.88","1,450.60","2,147.55",260.75,386.03,158.6,0
1997,774.84,"1,127.91","1,502.60","2,187.29",268.46,390.79,161.3,0
1998,779.69,"1,116.97","1,537.70","2,202.88",277.45,397.47,163.9,0
1999,804.30,"1,122.10","1,590.40","2,218.81",289.19,403.46,168.3,0
2000,844.48,"1,139.56","1,675.40","2,260.83",299.69,404.41,174.0,0
2001,874.44,"1,161.96","1,755.10","2,332.19",314.22,417.54,176.7,0
2002,895.00,"1,161.67","1,812.10","2,352.02",330.04,428.38,180.9,0
2003,922.08,"1,174.74","1,880.97","2,396.37",342.28,436.07,184.3,0
2004,954.89,"1,178.18","1,952.80","2,409.45",350.53,432.50,190.3,0
2005,"1,002.00","1,195.48","2,061.30","2,459.32",360.25,429.81,196.8,0
2006,"1,044.40","1,215.19","2,146.70","2,497.75",373.05,434.05,201.8,0
2007,"1,078.60","1,205.98","2,221.10","2,483.40",384.15,429.52,210.0,0
2008,"1,152.90","1,287.83","2,371.80","2,649.38",393.46,439.51,210.2,0
2009,"1,164.30","1,266.22","2,403.30","2,613.69",399.14,434.08,215.9,0
2010,"1,175.50","1,259.16","2,418.40","2,590.51",399.75,428.20,219.2,0
2011,"1,228.57","1,278.10","2,513.46","2,614.80",397.62,413.65,225.7,0
2012,"1,261.61","1,290.19","2,561.39","2,619.41",409.31,418.58,229.6,0
2013,"1,293.83","1,303.83","2,603.72","2,623.84",417.44,420.67,233.0,0
2014,"1,328.58","1,328.58","2,644.62","2,644.62",419.80,419.80,234.8,0
,,,,,,,"SOURCES: Social Security Administration, Master Beneficiary Record and Supplemental Security Record, 100 percent data.",0
,,,,,,,"a. Through 1973, data refer to Old-Age Assistance program. Beginning January 1974, the Supplemental Security Income program superseded the Old-Age Assistance program in the 50 states and the District of Columbia.",0
,,,,,,,"b. Data from Bureau of Labor Statistics, Consumer Price Index for All Urban Consumers (CPI-U) for all items (1982–1984 = 100).",0
,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
