State or area ,Number b (thousands,,,Taxable earnings c (millions of dollars,,,OASDI contributions d (millions of dollars,,
New York,"10,452","9,693","1,256","418,250","393,045","25,206","51,863","48,738","3,126"
North Carolina,"4,967","4,654",546,"166,806","157,694","9,112","20,684","19,554","1,130"
North Dakota,491,463,53,"17,322","15,906","1,416","2,148","1,972",176
Ohio,"5,801","5,429",621,"191,035","180,501","10,535","23,688","22,382","1,306"
Oklahoma,"1,984","1,862",209,"64,619","61,057","3,562","8,013","7,571",442
Oregon,"2,001","1,871",215,"70,929","66,611","4,318","8,795","8,260",535
Pennsylvania,"6,864","6,504",640,"255,238","242,289","12,948","31,649","30,044","1,606"
Rhode Island,598,562,62,"22,119","20,928","1,190","2,743","2,595",148
South Carolina,"2,354","2,220",234,"75,977","72,293","3,684","9,421","8,964",457
South Dakota,556,520,66,"16,224","15,011","1,213","2,012","1,861",150
Tennessee,"3,329","3,085",409,"108,922","100,420","8,503","13,506","12,452","1,054"
Texas,"12,701","11,750","1,606","466,658","435,479","31,179","57,866","53,999","3,866"
Utah,"1,462","1,399",132,"49,108","46,981","2,127","6,089","5,826",264
Vermont,387,360,46,"12,866","12,018",847,"1,595","1,490",105
Virginia,"4,515","4,271",443,"185,823","177,178","8,645","23,042","21,970","1,072"
Washington,"3,648","3,443",341,"149,581","142,151","7,430","18,548","17,627",921
West Virginia,890,849,75,"28,786","27,319","1,468","3,569","3,388",182
Wisconsin,"3,261","3,101",292,"114,863","109,537","5,326","14,243","13,583",660
Wyoming,340,320,38,"12,378","11,651",727,"1,535","1,445",90
Outlying area, ,,,,,,,,
Puerto Rico,"1,101","1,014",109,"24,888","22,832","2,056","3,086","2,831",255
Other and unknown ,923,868,59,"27,029","25,847","1,181","3,352","3,205",146
,,,,,,,,,"SOURCE: Social Security Administration, Continuous Work History Sample, 1 percent sample."
,,,,,,,,,NOTE: Data are based on preliminary estimates.
,,,,,,,,,a. Most state assignments are based on end-of-year residence obtained from electronically filed employer wage reports; the remainder are based on location of employer from reports filed on paper.
,,,,,,,,,b. Workers with earnings in both wage and salary employment and self-employment are counted in each type of employment but only once in the total. National and state totals and subtotals are unduplicated counts of workers in each type of employment.
,,,,,,,,,"c. Includes Social Security taxable wages as reported by employers and Social Security taxable self-employment income as reported by self-employed individuals. Annual maximum taxable earnings for Social Security (OASDI) from a single employer or from self-employment were $113,700 in 2013. Totals do not necessarily equal the sum of rounded components."
,,,,,,,,,"d. For 2013 earnings, paid at the rate of 6.2 percent of taxable wages by both employees and employers, 6.2 percent of taxable tips by employees, and 12.4 percent of self-employment income by self-employed workers. Data are unadjusted for multi-employer tax refunds. Totals do not necessarily equal the sum of rounded components."
,,,,,,,,,"e. Persons employed in American Samoa, Guam, Northern Mariana Islands, and U.S. Virgin Islands; U.S. citizens employed abroad by U.S. employers; persons employed on U.S. oceanborne vessels; and workers with unknown residence."
,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
