Year of award action a,Number (thousands),Average age,Percentage distribution by age b,"Total, all ages",62,63,64,65 to FRA c,FRA d,FRA to 69 g,70–74,75 or older,Total,Newly entitled e,Disability conversions f
1998,733,64.0,100.0,53.1,7.0,8.9,. . .,22.0,12.4,9.6,4.1,2.4,2.5,,
1999,737,63.6,100.0,55.1,6.8,9.2,. . .,22.6,12.5,10.1,3.8,1.8,0.7,,
2000,854,63.8,100.0,52.2,5.9,9.3,. . .,23.6,13.9,9.7,6.5,2.2,0.4,,
2001,795,63.7,100.0,51.3,7.1,11.5,. . .,23.7,12.8,10.9,3.1,2.6,0.6,,
2002,811,63.6,100.0,52.9,6.6,12.2,. . .,23.9,12.7,11.2,2.3,1.8,0.3,,
2003,822,63.6,100.0,54.3,6.4,12.2,3.1,18.0,7.8,10.2,3.7,1.9,0.4,,
2004,874,63.6,100.0,55.0,6.7,10.6,4.5,17.6,7.5,10.1,3.8,1.6,0.3,,
2005,939,63.6,100.0,54.3,6.9,9.5,6.2,17.1,7.4,9.7,3.8,1.8,0.3,,
2006,942,63.8,100.0,50.2,7.5,9.4,8.4,18.2,7.7,10.5,4.0,2.0,0.4,,
2007,961,63.9,100.0,47.6,7.3,10.0,10.6,18.9,7.8,11.1,3.7,1.6,0.2,,
2008,1079,63.9,100.0,48.3,6.9,9.0,11.6,18.9,7.7,11.2,3.2,1.5,0.7,,
2009,1288,63.9,100.0,49.8,6.5,7.2,10.2,20.5,8.6,11.9,3.9,1.5,0.5,,
2010,1248,63.9,100.0,47.9,8.1,7.0,9.8,21.6,9.3,12.2,3.8,1.6,0.2,,
2011,1238,63.8,100.0,46.5,7.3,8.0,9.8,22.1,9.7,12.4,4.2,1.8,0.2,,
2012,1316,64.0,100.0,42.4,6.9,7.5,11.4,25.2,11.2,14.1,4.5,2.0,0.2,,
2013,1347,64.2,100.0,40.2,6.4,6.9,10.7,27.8,12.3,15.4,4.9,3.0,0.2,,
2014,1339,64.2,100.0,39.7,6.6,6.9,10.3,27.5,11.9,15.5,5.7,3.1,0.2,,
"SOURCE: Social Security Administration, Master Beneficiary Record. Data for 1985–2001 are based on a 1 percent sample. All other years are 100 percent data.",NOTES: Percentage distributions for 2003–2009 differ slightly from those in prior editions of this table because of changes in the methodology of calculating age (see footnote b) and in the presentation of legislated FRA (see footnotes c–g).,"Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",Totals do not necessarily equal the sum of rounded components.,. . . = not applicable; FRA = full retirement age.,"a. Reflects the date the award action was posted on the Master Beneficiary Record. Entitlement can be retroactive and thus precede the date of award. For data by year of entitlement, see table 6.B5.1.","b. Age on birthday in year of award for 1940–1980. Age in month of award for 1985–2002. Age in month of entitlement for 2003 and later. (In previous editions of this table, the transition from age in month of award to age in month of entitlement did not take effect until 2006.)",c. Workers entitled in the period between attainment of age 65 and the month prior to attaining FRA.,"d. FRA is 65 for workers attaining age 65 before 2003, and increases by 2 months per year for workers attaining age 65 in a year after 2002, until it becomes 66 for workers attaining age 65 between 2008 and 2019.","e. For 1940–2002, includes workers entitled in the period between attainment of age 65 and the month prior to attaining age 66. Beginning with 2003, includes workers entitled only in the month they attain FRA.",f. Disabled worker benefit automatically converts to a retired worker benefit in the month the worker attains FRA.,"g. For 1940–2002, includes workers entitled in the period between attainment of age 66 and the month prior to attaining age 70. Beginning with 2003, includes workers entitled in the period between the month after attaining FRA and the month prior to attaining age 70.","h. In response to a March 1997 audit by the Social Security Administration (SSA) Office of the Inspector General, notifications of eligibility for higher benefits were mailed to approximately 200,000 surviving spouses, resulting in higher numbers for 1997. SSA subsequently initiated the Widow(er)'s Insurance Benefits/Retirement Insurance Benefits (WIB/RIB) outreach program to identify and notify surviving spouses who are eligible for higher retirement benefits at FRA and age 70.",CONTACT: (410) 965-0090 or statistics@ssa.gov.,,
