State or area,Covered employment (excludes federal government),,Insured unemployment as percent of covered employment ,Number of first payments,Average weekly benefit for total unemployment,,Average weekly insured unemployment,Average actual duration (weeks),Claimants exhausting benefits,,Contributions collected f (millions of dollars,Benefits paid g (millions of dollars,Average employer contribution rate h (percent
Rhode Island,446,"20,990",2.9,"36,995",350.88,38.8,"12,785",16.4,"16,329",42.6,245,201,3.8
South Carolina,"1,813","71,453",1.7,"83,081",247.91,32.7,"30,759",12.7,"37,103",41.5,446,261,2.5
South Dakota,393,"14,417",0.7,"7,315",276.02,39.2,"2,609",14.6,"1,322",17.5,42,32,1.1
Tennessee,"2,647","115,349",1.6,"126,742",234.67,28.0,"41,327",15.0,"58,583",41.6,589,455,2.5
Texas,"10,835","550,948",1.4,"450,061",341.30,34.9,"155,937",16.0,"220,944",48.5,"2,511","2,273",2.9
Utah,"1,220","50,247",1.2,"49,669",345.25,43.6,"15,078",13.3,"17,854",35.1,354,206,1.5
Vermont,295,"12,226",2.1,"21,454",313.12,39.2,"6,125",13.8,"4,406",20.4,136,85,4.1
Virginia,"3,469","174,596",1.2,"123,969",295.37,30.5,"42,609",16.1,"61,789",48.6,770,576,2.9
Washington,"2,889","151,846",2.3,"195,029",387.30,38.3,"67,842",16.2,"70,084",34.2,"1,300","1,147",1.8
West Virginia,680,"26,708",2.5,"51,736",275.00,36.4,"17,150",15.9,"18,256",33.0,207,224,3.0
Wisconsin,"2,692","114,691",2.8,"214,125",276.14,33.7,"76,692",15.9,"74,736",33.1,"1,165",839,4.0
Wyoming,272,"12,141",1.5,"15,311",359.10,41.8,"4,067",15.4,"6,124",37.3,133,80,3.1
Outlying areas,,,,,,,,,,,,,
Puerto Rico,910,"23,937",4.1,"88,404",119.14,23.6,"37,309",20.4,"52,957",59.1,178,211,3.5
U.S. Virgin Islands,38,"1,385",2.9,"2,751",337.16,47.8,"1,086",19.4,"1,994",51.1,7,15,1.6
,,,,,,,,,,,,,"SOURCES: Department of Labor, Employment and Training Administration and Bureau of Labor Statistics; based on data submitted by state agencies."
,,,,,,,,,,,,,"NOTES: Except where noted, excludes data for federal employees and for ex-servicemembers; includes data for state and local government employees where covered by state law after 1955.
          Totals do not necessarily equal the sum of rounded components.
"
,,,,,,,,,,,,,a. Total wages earned in covered employment during all pay periods ended within the year.
,,,,,,,,,,,,,b. Based on average covered employment in 12-month period.
,,,,,,,,,,,,,c. Includes dependents' allowances for states that provide such benefits.
,,,,,,,,,,,,,d. Based on average total weekly wage in current year.
,,,,,,,,,,,,,e. Percentages based on first payments for 12-month period.
,,,,,,,,,,,,,"f. Contributions, penalties, and interest from employers and contributions from employees in states taxing workers; adjusted to exclude refunds of contributions and dishonored checks; excludes state and local government employees covered on reimbursable basis."
,,,,,,,,,,,,,g. Adjusted to exclude voided benefit checks and for transfers under interstate combined-wage plan; excludes Extended Benefits and Emergency Unemployment Compensation.
,,,,,,,,,,,,,"h. Estimated data. Contribution rate as a percentage of taxable payroll; excludes state and local jurisdictions covering state and local government employees on a reimbursable basis. Standard contribution rate for most states, 2.7 percent."
,,,,,,,,,,,,,CONTACT: Scott Gibbons (202) 693-3008 or statistics@ssa.gov.
