Year,All retired workers,,,,Men,,,,Women,,,
2003,922.10,857.80,"1,086.80",. . .,"1,038.70",957.50,"1,220.60",. . .,797.60,759.50,911.30,. . .
2004,954.90,891.10,"1,121.00",. . .,"1,076.10",995.40,"1,261.50",. . .,826.10,788.00,940.10,. . .
2005,"1,002.00",936.90,"1,174.80",. . .,"1,129.50","1,047.40","1,322.70",. . .,867.30,828.20,986.40,. . .
2006,"1,044.40",978.20,"1,222.90",. . .,"1,177.50","1,094.10","1,377.20",. . .,904.60,864.40,"1,028.50",. . .
2007,"1,078.60","1,011.30","1,262.30",. . .,"1,215.70","1,131.20","1,421.10",. . .,935.20,894.00,"1,063.30",. . .
2008,"1,152.90","1,080.80","1,354.60",. . .,"1,299.10","1,209.80","1,519.50",. . .,"1,000.70",955.60,"1,145.80",. . .
2009,"1,164.30","1,091.10","1,371.10",. . .,"1,311.70","1,221.40","1,536.80",. . .,"1,011.40",964.70,"1,162.50",. . .
2010,"1,175.50","1,100.70","1,386.80",. . .,"1,323.10","1,231.10","1,552.70",. . .,"1,022.90",974.80,"1,178.90",. . .
2011,"1,228.57","1,148.83","1,453.27",. . .,"1,381.38","1,283.24","1,625.49",. . .,"1,071.53","1,019.81","1,238.59",. . .
2012,"1,261.61","1,176.36","1,497.40",. . .,"1,417.05","1,311.91","1,673.46",. . .,"1,102.77","1,047.12","1,279.19",. . .
2013,"1,293.83","1,202.12","1,539.74",. . .,"1,451.27","1,338.17","1,718.59",. . .,"1,133.83","1,073.35","1,319.66",. . .
2014,"1,328.58","1,229.91","1,584.85",. . .,"1,488.07","1,366.30","1,766.94",. . .,"1,167.49","1,101.75","1,362.83",. . .
,,,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,,,,,,,NOTE: . . . = not applicable.
,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
