AMW (dollars),April 1952,Sept. 1952,Sept. 1954,January 1959,January 1965,February 1968,January 1970,January 1971,Sept. 1972,June 1974,June 1975,June 1976,June 1977,June 1978,June 1979,June 1980,June 1981,June 1982,Dec. 1983,Dec. 1984,Dec. 1985,Dec. 1986,Dec. 1987,Dec. 1988,Dec. 1989,Dec. 1990,Dec. 1991,Dec. 1992,Dec. 1993,Dec. 1994,Dec. 1995,Dec. 1996,Dec. 1997,Dec. 1998,Dec. 1999,Dec. 2000,Dec. 2001,Dec. 2002,Dec. 2003,Dec. 2004,Dec. 2005,Dec. 2006,Dec. 2007,Dec. 2008,Dec. 2009,Dec. 2010,Dec. 2011,Dec. 2012,Dec. 2013,Dec. 2014
Next 435,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.98,25.12,27.93,30.00,31.05,32.14,33.14,33.57,34.98,36.38,38.09,40.15,41.64,42.89,44.01,45.24,46.42,47.76,48.76,49.40,50.63,52.40,53.77,54.52,55.66,57.17,59.51,61.47,62.89,66.54,66.54,66.54,68.94,70.11,71.16,72.37
Next 250,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,22.86,25.42,27.30,28.26,29.25,30.16,30.55,31.83,33.10,34.66,36.53,37.88,39.02,40.03,41.15,42.22,43.44,44.35,44.93,46.05,47.66,48.90,49.59,50.63,52.00,54.13,55.91,57.20,60.52,60.52,60.52,62.70,63.77,64.73,65.83
Next 315,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,22.24,23.89,24.73,25.60,26.39,26.73,27.85,28.96,30.32,31.96,33.14,34.13,35.02,36.00,36.94,38.01,38.81,39.31,40.30,41.71,42.79,43.39,44.30,45.50,47.36,48.92,50.05,52.95,52.95,52.95,54.86,55.79,56.63,57.59
Next 225,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.48,22.23,23.01,23.72,24.03,25.04,26.04,27.26,28.73,29.79,30.68,31.48,32.36,33.20,34.16,34.88,35.33,36.21,37.48,38.46,38.99,39.81,40.89,42.56,43.97,44.98,47.59,47.59,47.59,49.30,50.14,50.89,51.76
Next 275,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.70,21.42,22.08,22.37,23.31,24.24,25.38,26.75,27.74,28.57,29.31,30.13,30.91,31.81,32.48,32.90,33.72,34.90,35.81,36.31,37.07,38.08,39.64,40.94,41.89,44.32,44.32,44.32,45.92,46.70,47.40,48.21
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.70,21.34,21.62,22.53,23.43,24.53,25.85,26.81,27.61,28.33,29.12,29.88,30.74,31.39,31.79,32.59,33.73,34.61,35.09,35.83,36.79,38.30,39.57,40.48,42.82,42.82,42.82,44.36,45.11,45.79,46.57
Next 150,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.63,20.90,21.78,22.65,23.71,24.99,25.91,26.69,27.38,28.15,28.88,29.72,30.34,30.74,31.51,32.61,33.46,33.93,34.64,35.57,37.03,38.25,39.13,41.40,41.40,41.40,42.89,43.62,44.27,45.02
Next 200,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.26,21.11,21.95,22.98,24.22,25.12,25.87,26.54,27.28,27.99,28.80,29.40,29.79,30.53,31.60,32.42,32.88,33.57,34.47,35.89,37.07,37.92,40.12,40.12,40.12,41.56,42.27,42.90,43.63
Next 150,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.84,21.67,22.69,23.92,24.81,25.55,26.21,26.94,27.64,28.44,29.04,29.41,30.15,31.21,32.02,32.46,33.15,34.04,35.44,36.61,37.45,39.62,39.62,39.62,41.05,41.75,42.38,43.10
Next 100,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.80,21.78,22.96,23.81,24.52,25.16,25.86,26.53,27.30,27.87,28.24,28.94,29.95,30.73,31.16,31.82,32.68,34.02,35.14,35.95,38.03,38.03,38.03,39.40,40.07,40.67,41.36
Next 250,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.94,22.07,22.89,23.58,24.19,24.87,25.52,26.26,26.81,27.16,27.84,28.81,29.56,29.98,30.61,31.43,32.72,33.80,34.58,36.58,36.58,36.58,37.90,38.54,39.12,39.79
Next 275,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.08,21.86,22.52,23.11,23.76,24.38,25.08,25.61,25.94,26.59,27.52,28.23,28.63,29.23,30.02,31.25,32.28,33.02,34.94,34.94,34.94,36.20,36.82,37.37,38.01
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.74,21.36,21.92,22.53,23.12,23.79,24.29,24.61,25.22,26.10,26.78,27.16,27.73,28.48,29.64,30.62,31.33,33.14,33.14,33.14,34.33,34.91,35.43,36.03
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.60,21.14,21.73,22.29,22.94,23.42,23.73,24.32,25.17,25.82,26.19,26.74,27.46,28.58,29.53,30.21,31.96,31.96,31.96,33.11,33.67,34.18,34.76
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.52,21.09,21.64,22.27,22.74,23.03,23.61,24.44,25.07,25.42,25.96,26.66,27.75,28.67,29.32,31.03,31.03,31.03,32.15,32.70,33.19,33.75
Next 250,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.56,21.09,21.71,22.17,22.45,23.02,23.82,24.44,24.78,25.30,25.99,27.05,27.94,28.59,30.24,30.24,30.24,31.33,31.86,32.34,32.89
Next 50,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.52,21.12,21.56,21.84,22.39,23.17,23.78,24.11,24.62,25.28,26.32,27.18,27.81,29.42,29.42,29.42,30.48,31.00,31.47,32.00
Next 125,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.58,21.01,21.29,21.82,22.58,23.17,23.49,23.99,24.63,25.64,26.49,27.10,28.67,28.67,28.67,29.70,30.20,30.65,31.17
Next 225,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.42,20.69,21.20,21.94,22.52,22.83,23.31,23.94,24.92,25.74,26.34,27.86,27.86,27.86,28.86,29.35,29.79,30.30
Next 250,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.26,20.77,21.49,22.05,22.36,22.83,23.45,24.41,25.21,25.79,27.29,27.29,27.29,28.27,28.75,29.18,29.68
Next 350,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.50,21.22,21.77,22.07,22.54,23.15,24.09,24.89,25.46,26.94,26.94,26.94,27.91,28.38,28.81,29.30
Next 300,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.70,21.24,21.54,21.99,22.58,23.51,24.28,24.84,26.28,26.28,26.28,27.23,27.69,28.11,28.59
Next 350,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.52,20.81,21.24,21.82,22.71,23.46,24.00,25.39,25.39,25.39,26.30,26.75,27.15,27.61
Next 375,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.28,20.71,21.26,22.14,22.87,23.39,24.75,24.75,24.75,25.64,26.08,26.47,26.92
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.42,20.97,21.83,22.55,23.07,24.41,24.41,24.41,25.29,25.72,26.11,26.55
Next 75,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.54,21.38,22.09,22.60,23.91,23.91,23.91,24.77,25.19,25.57,26.00
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.82,21.51,22.00,23.28,23.28,23.28,24.12,24.53,24.90,25.32
Next 350,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.66,21.14,22.36,22.36,22.36,23.16,23.55,23.90,24.31
Next 275,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.46,21.65,21.65,21.65,22.43,22.81,23.15,23.54
Next 375,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.16,21.16,21.16,21.92,22.29,22.62,23.00
Next 400,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.00,20.00,20.72,21.07,21.39,21.75
Next 275,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.34,20.65,21.00
Next 300,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.30,20.65
Next 275,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,20.34
Next 125,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00
Percentage increase in PIA,f 77.,g 12.,h 13.,i 7.,j 7.,13.0,15.0,10.0,20.0,k 11.,l 8.,6.4,5.9,6.5,9.9,14.3,11.2,7.4,3.5,3.5,3.1,1.3,4.2,4.0,4.7,5.4,3.7,3.0,2.6,2.8,2.6,2.9,2.1,1.3,m 2.,3.5,2.6,1.4,2.1,2.7,4.1,3.3,2.3,5.8,0.0,0.0,3.6,1.7,1.5,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). Social Security Administration, ""Cost-of-Living Increase and Other Determinations for 2015,"" Federal Register, vol. 79, no. 209 (October 29, 2014). See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOTES: The average monthly wage (AMW) computation is based on earnings after 1950. The amounts shown in the table are percentages of the AMW computed using unrounded data.
          . . . = not applicable.
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a. Applied to first $100 of AMW.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b. Applied to next $200 of AMW.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c. Applied to next $190 before 1955 and to next $240 effective for January 1955.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d. Applied to next $150 effective for January 1973 and to next $350 effective for January 1974.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e. Applied to next $100 before January 1975.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f. Average increase in benefits of about 77 percent—from 100 percent at the lowest level to 50 percent at the highest level.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"g. Increase of 12.5 percent or $5, if larger."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"h. Average increase of about 13 percent, with minimum increase of $5."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"i. Increase of 7 percent or $3, if larger."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"j. Increase of 7 percent or $4, if larger."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k. Increase effective in two steps: 7 percent for March–May and 4 percent for June.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"l. Beginning June 1975, all benefit increases are based on automatic cost-of-living adjustments (COLAs)."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"m. The COLA for December 1999 was originally determined to be 2.4 percent, based on the Consumer Price Index (CPI). The underlying CPI was later recomputed by the Bureau of Labor Statistics; a 2.5 percent COLA would have been consistent with the recomputed CPI. Pursuant to Public Law 106-554, benefits were calculated and paid in August 2001 and later as if the COLA for December 1999 had been 2.5 percent. Affected beneficiaries received a one-time payment to cover the shortfall that occurred before August 2001."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
