Year,Total,Women,,,,,,,Men,,,,0
1991,"4,959,610","4,852,656",40.2,"2,158,022",41.5,"2,693,388",35.7,"1,246","106,954","27,195","79,654",105,0
1992,"5,140,627","5,032,206",41.0,"2,242,029",42.3,"2,789,029",36.3,"1,148","108,421","26,849","81,475",97,0
1993,"5,285,960","5,176,650",41.6,"2,312,000",43.1,"2,863,510",37.0,"1,140","109,310","26,330","82,920",60,0
1994,"5,419,910","5,308,300",42.1,"2,359,470",43.9,"2,947,820",37.6,"1,010","111,610","26,920","84,660",30,0
1995,"5,533,200","5,420,320",42.5,"2,397,710",44.5,"3,021,720",38.0,890,"112,880","26,660","86,190",30,0
1996,"5,629,780","5,517,510",42.8,"2,429,520",45.3,"3,087,130",38.3,860,"112,270","25,750","86,480",40,0
1997,"5,729,620","5,617,590",42.7,"2,461,060",46.0,"3,155,760",39.6,770,"112,030","24,540","87,460",30,0
1998,"5,810,410","5,699,080",42.8,"2,482,950",46.7,"3,215,380",40.4,750,"111,330","23,740","87,560",30,0
1999,"5,883,950","5,772,260",42.9,"2,499,200",47.3,"3,272,420",41.0,640,"111,690","23,560","88,100",30,0
2000,"6,009,800","5,896,390",42.9,"2,568,470",48.2,"3,327,360",41.6,560,"113,410","24,660","88,720",30,0
2001,"6,076,350","5,961,580",42.9,"2,583,730",48.9,"3,377,330",42.4,520,"114,770","25,570","89,170",30,0
2002,"6,134,800","6,016,680",42.7,"2,591,820",49.5,"3,424,390",43.0,470,"118,120","27,090","91,000",30,0
2003,"6,183,070","6,063,250",42.4,"2,602,590",50.1,"3,460,280",43.7,380,"119,820","28,160","91,640",20,0
2004,"6,229,670","6,107,410",42.0,"2,618,980",50.7,"3,488,020",44.3,410,"122,260","29,070","93,170",20,0
2005,"6,289,650","6,164,730",41.6,"2,650,260",51.4,"3,514,100",44.9,370,"124,920","30,070","94,810",40,0
2006,"6,347,442","6,216,955",41.2,"2,676,186",52.1,"3,540,363",45.6,406,"130,487","31,650","98,794",43,0
2007,"6,406,313","6,271,488",40.7,"2,706,165",52.8,"3,564,946",46.1,377,"134,825","33,613","101,168",44,0
2008,"6,474,588","6,334,322",40.0,"2,745,455",53.8,"3,588,472",46.7,395,"140,266","36,136","104,085",45,0
2009,"6,589,036","6,442,116",39.2,"2,822,655",54.8,"3,619,057",47.3,404,"146,920","39,640","107,239",41,0
2010,"6,679,529","6,524,650",38.4,"2,874,713",55.6,"3,649,546",47.3,391,"154,879","43,569","111,267",43,0
2011,"6,753,427","6,589,996",37.5,"2,914,913",56.2,"3,674,690",48.4,393,"163,431","47,857","115,529",45,0
2012,"6,834,461","6,661,358",36.7,"2,958,387",56.8,"3,702,591",49.0,380,"173,103","52,800","120,251",52,0
2013,"6,910,051","6,726,312",35.8,"2,994,570",57.2,"3,731,365",49.6,377,"183,739","58,212","125,478",49,0
2014,"6,976,357","6,781,271",34.9,"3,018,695",57.4,"3,762,211",50.1,365,"195,086","64,019","131,019",48,0
"SOURCE: Social Security Administration, Master Beneficiary Record. Data for 1993–2005 are based on a 10 percent sample. All other years are 100 percent data.",,,,,,,,,,,,,0
NOTE: -- = not available.,,,,,,,,,,,,,0
a. Distributions by type of secondary benefit are estimated.,,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,0
